"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.107259910E-1,5.237401340E1,4.854651700E0,3.420992070E0,0.000000000E0,0.000000000E0,2.426799965E1,1.219727993E0
3.931396821E0,5.237409319E1,4.854498540E0,-1.584231712E1,0.000000000E0,0.000000000E0,2.588261414E1,3.564408493E1
4.928846404E0,5.237411061E1,4.854424060E0,-1.056346625E1,0.000000000E0,0.000000000E0,1.931613159E1,2.555830574E1
5.930321195E0,5.237421634E1,4.854459280E0,6.444637232E0,0.000000000E0,0.000000000E0,1.488839626E1,1.911689568E1
6.930370257E0,5.237424974E1,4.854479220E0,1.028948331E1,0.000000000E0,0.000000000E0,1.206034946E1,1.582722664E1
7.931140517E0,5.237427982E1,4.854492520E0,8.682294496E0,0.000000000E0,0.000000000E0,9.933637619E0,1.269460678E1
8.931782652E0,5.237426790E1,4.854522060E0,5.252912576E0,0.000000000E0,0.000000000E0,8.555504799E0,1.080094910E1
9.930468381E0,5.237424797E1,4.854505590E0,5.900091827E0,0.000000000E0,0.000000000E0,7.124220848E0,9.439920425E0
1.092994848E1,5.237424680E1,4.854492310E0,5.086361774E0,0.000000000E0,0.000000000E0,7.934980392E0,1.075421524E1
1.192963588E1,5.237425044E1,4.854502000E0,7.306221142E0,0.000000000E0,0.000000000E0,8.088455200E0,1.105406189E1
1.293266291E1,5.237427305E1,4.854553130E0,8.997322606E0,0.000000000E0,0.000000000E0,6.946401596E0,9.676710129E0
1.393126057E1,5.237431204E1,4.854648770E0,5.302730718E0,4.849999905E0,6.000000000E1,6.641304016E0,8.894289970E0
1.493058572E1,5.237432932E1,4.854708920E0,5.742914405E0,3.660000086E0,6.170000076E1,6.420077801E0,8.339593887E0
1.593248864E1,5.237432648E1,4.854790940E0,6.032386729E0,3.859999895E0,7.709999847E1,6.094812393E0,7.933082581E0
1.693535744E1,5.237436845E1,4.854843500E0,1.118427061E1,2.630000114E0,7.500000000E1,5.490073681E0,6.959560871E0
1.793273291E1,5.237439224E1,4.854921890E0,1.320577285E1,3.430000067E0,9.490000153E1,4.834988117E0,6.119293213E0
1.893002254E1,5.237440930E1,4.854962770E0,1.301172874E1,8.399999738E-1,9.409999847E1,4.505652905E0,5.622669697E0
1.993081916E1,5.237440859E1,4.854994550E0,1.338631894E1,1.720000029E0,1.140999985E2,4.319665909E0,5.391542912E0
2.093128155E1,5.237438305E1,4.855002000E0,1.209484453E1,2.319999933E0,1.780000000E2,4.091703415E0,5.018138885E0
2.193417364E1,5.237436644E1,4.854986870E0,1.088076213E1,3.079999924E0,2.243000031E2,4.151278973E0,5.226389408E0
2.293265374E1,5.237434836E1,4.854958700E0,7.696516284E0,3.259999990E0,2.550000000E2,4.306432724E0,5.623550892E0
2.393059671E1,5.237434461E1,4.854909420E0,7.629526851E0,4.030000210E0,2.568999939E2,4.251998425E0,5.573863029E0
2.493237160E1,5.237433934E1,4.854887280E0,7.116994393E0,6.100000143E-1,2.528000031E2,4.225474834E0,5.475185871E0
2.593112733E1,5.237433397E1,4.854870300E0,8.756076118E0,2.269999981E0,2.528000031E2,4.940196514E0,5.484769344E0
2.693174327E1,5.237432280E1,4.854820130E0,1.004692487E1,4.550000191E0,2.465000000E2,4.546074867E0,5.524958134E0
2.793075426E1,5.237430693E1,4.854757640E0,9.584586042E0,4.190000057E0,2.453999939E2,4.635221004E0,5.370962143E0
2.892927337E1,5.237428899E1,4.854696080E0,1.054595090E1,4.500000000E0,2.441000061E2,4.717399597E0,5.586256027E0
2.993205718E1,5.237426990E1,4.854636040E0,1.174236142E1,4.369999886E0,2.411999969E2,4.846890450E0,5.691707611E0
3.092961483E1,5.237424822E1,4.854580670E0,1.310496973E1,4.269999981E0,2.360000000E2,5.070190907E0,5.950408936E0
3.193023400E1,5.237422389E1,4.854525060E0,1.307871921E1,4.860000134E0,2.353000031E2,5.242043495E0,6.248118877E0
3.293241947E1,5.237419887E1,4.854470560E0,1.320084483E1,4.429999828E0,2.323999939E2,6.041690826E0,6.568968296E0
3.393244452E1,5.237417227E1,4.854418960E0,1.438913202E1,4.710000038E0,2.316999969E2,6.480943680E0,7.256273270E0
3.493065707E1,5.237413871E1,4.854373710E0,1.144368510E1,5.070000172E0,2.455000000E2,6.508590221E0,7.363607883E0
3.593114874E1,5.237410902E1,4.854323460E0,1.266968846E1,5.659999847E0,2.220000000E2,6.726329327E0,7.520603657E0
3.693113452E1,5.237404499E1,4.854230260E0,7.976490264E0,6.079999924E0,2.263999939E2,6.421002865E0,7.232512951E0
3.793291228E1,5.237402118E1,4.854155310E0,8.858005132E0,5.639999866E0,2.353999939E2,6.029000282E0,6.525020599E0
3.893092332E1,5.237400958E1,4.854083830E0,7.396643652E0,4.550000191E0,2.396000061E2,5.515222549E0,6.143862247E0
3.992977941E1,5.237398822E1,4.854039430E0,8.329510256E0,4.179999828E0,2.330000000E2,6.301224232E0,6.191097736E0
4.092866774E1,5.237394498E1,4.853944600E0,4.701831033E0,5.949999809E0,2.388999939E2,6.032965660E0,6.380814552E0
4.193283123E1,5.237390246E1,4.853861550E0,3.425294911E0,4.789999962E0,2.358999939E2,5.490734100E0,6.097050667E0
4.293046665E1,5.237386679E1,4.853764990E0,1.792437328E0,5.909999847E0,2.415000000E2,5.962401390E0,6.162068367E0
4.392988483E1,5.237381834E1,4.853672170E0,3.131894600E-1,6.369999886E0,2.331999969E2,6.278075218E0,6.197826385E0
4.493220050E1,5.237379444E1,4.853601990E0,-6.421460518E-1,5.510000229E0,2.340000000E2,6.457774162E0,6.002418995E0
4.592932477E1,5.237377073E1,4.853519820E0,-1.283249171E-2,6.269999981E0,2.426000061E2,7.059426308E0,7.196460247E0
4.693188545E1,5.237374903E1,4.853464830E0,-9.449627398E-1,4.510000229E0,2.355000000E2,8.831935883E0,9.014338493E0
4.793068654E1,5.237373126E1,4.853417440E0,-4.043047392E-1,3.349999905E0,2.368999939E2,1.080320549E1,1.080216312E1
4.893291050E1,5.237370686E1,4.853337540E0,-1.143460067E0,5.949999809E0,2.446000061E2,1.271093178E1,1.264314938E1
4.993060368E1,5.237368294E1,4.853300130E0,-1.568747293E0,3.779999971E0,2.240000000E2,1.460775566E1,1.438249779E1
5.093186758E1,5.237366398E1,4.853215610E0,-5.738888728E-1,5.219999790E0,2.465000000E2,1.364555550E1,1.409411526E1
5.193309993E1,5.237364255E1,4.853149950E0,-1.672895047E0,5.119999886E0,2.433000031E2,1.190217400E1,1.284099007E1
5.293014102E1,5.237362799E1,4.853061340E0,-2.964410247E-1,6.030000210E0,2.488000031E2,1.058655262E1,1.177394009E1
5.393051347E1,5.237361158E1,4.852988990E0,1.427431945E0,4.199999809E0,2.541000061E2,9.436197281E0,1.076738834E1
5.493179550E1,5.237359883E1,4.852922500E0,1.326977309E-1,4.480000019E0,2.476999969E2,8.597120285E0,1.001678562E1
5.593155013E1,5.237357209E1,4.852820970E0,1.548067588E0,5.190000057E0,2.483999939E2,8.771921158E0,9.526441574E0
5.693232472E1,5.237354654E1,4.852720730E0,2.218444748E0,5.610000134E0,2.521999969E2,9.660769463E0,8.439390182E0
5.793170456E1,5.237353499E1,4.852672260E0,1.703141621E0,3.839999914E0,2.538999939E2,7.567139626E0,7.748393059E0
5.893155529E1,5.237352028E1,4.852578230E0,2.321657722E0,5.949999809E0,2.541999969E2,6.838159561E0,7.182740688E0
5.993079623E1,5.237351331E1,4.852498550E0,3.614814597E0,4.650000095E0,2.513000031E2,6.151112556E0,6.572545528E0
6.092918013E1,5.237348997E1,4.852404730E0,3.071331400E0,5.559999943E0,2.531999969E2,5.681463242E0,6.275827885E0
6.193272289E1,5.237345514E1,4.852301950E0,3.110834687E0,5.050000191E0,2.465000000E2,5.775003433E0,6.209888935E0
6.293046758E1,5.237344065E1,4.852220160E0,3.673511033E0,5.409999847E0,2.586000061E2,5.468942642E0,6.041091919E0
6.392978216E1,5.237342601E1,4.852126520E0,4.034092891E0,5.199999809E0,2.511999969E2,1.060301971E1,5.866458893E0
6.493135357E1,5.237341060E1,4.852064890E0,3.363747416E0,4.480000019E0,2.570000000E2,1.054282570E1,5.950172901E0
6.593043008E1,5.237340159E1,4.851993950E0,4.089889899E0,4.769999981E0,2.615000000E2,1.038863754E1,5.679777145E0
6.693178154E1,5.237339623E1,4.851930550E0,3.853395396E0,4.800000191E0,2.577000122E2,1.028392887E1,5.534246445E0
6.793183857E1,5.237339109E1,4.851873660E0,4.731345897E0,4.420000076E0,2.653999939E2,1.030193424E1,5.506643295E0
6.893093575E1,5.237337419E1,4.851814120E0,5.867396029E0,3.970000029E0,2.480000000E2,1.038814735E1,5.704839706E0
6.993290070E1,5.237336301E1,4.851746580E0,5.688996423E0,4.400000095E0,2.516999969E2,1.028847313E1,5.516300201E0
7.093130716E1,5.237335604E1,4.851693420E0,5.712820544E0,4.170000076E0,2.541999969E2,1.039565372E1,5.675598145E0
7.192983648E1,5.237334372E1,4.851626680E0,8.013057498E0,4.000000000E0,2.528999939E2,1.042331505E1,5.801909924E0
7.293030153E1,5.237331836E1,4.851531200E0,6.798183791E0,4.349999905E0,2.453000031E2,1.043548679E1,5.920792580E0
7.392919591E1,5.237330616E1,4.851472140E0,6.792517168E0,4.250000000E0,2.526999969E2,1.046056652E1,5.967138290E0
7.493064159E1,5.237329140E1,4.851409880E0,8.292582399E0,4.429999828E0,2.486000061E2,1.042910671E1,5.939331055E0
7.593008612E1,5.237327966E1,4.851335180E0,8.679302368E0,4.909999847E0,2.536000061E2,1.084247208E1,6.311170101E0
7.692846164E1,5.237326771E1,4.851269910E0,8.062487474E0,3.750000000E0,2.513999939E2,1.065532398E1,6.239296436E0
7.793246763E1,5.237325754E1,4.851209920E0,8.845519451E0,4.199999809E0,2.521000061E2,1.058151531E1,6.157382965E0
7.893478945E1,5.237324651E1,4.851136690E0,8.344606993E0,4.500000000E0,2.510000000E2,1.058500290E1,6.361747742E0
7.993249174E1,5.237323254E1,4.851068210E0,9.047184375E0,4.150000095E0,2.475000000E2,1.047252655E1,6.109448910E0
8.092916611E1,5.237322008E1,4.851007530E0,9.766064788E0,3.460000038E0,2.453999939E2,1.043919945E1,5.983215332E0
8.193115815E1,5.237320919E1,4.850943320E0,9.760885299E0,4.179999828E0,2.491999969E2,1.025674248E1,5.625254154E0
8.293249950E1,5.237319546E1,4.850874180E0,1.031136303E1,4.530000210E0,2.486999969E2,1.034806252E1,5.827441216E0
8.393416403E1,5.237318029E1,4.850813940E0,9.716275050E0,3.619999886E0,2.475000000E2,1.041775131E1,5.998625755E0
8.492971169E1,5.237316881E1,4.850765960E0,8.587691063E0,2.940000057E0,2.436000061E2,1.037992287E1,5.948782921E0
8.593004070E1,5.237315190E1,4.850712460E0,9.279225648E0,4.349999905E0,2.403000031E2,1.055929661E1,5.790079117E0
8.693198830E1,5.237313216E1,4.850643470E0,8.429426474E0,4.460000038E0,2.461999969E2,1.050216484E1,5.854775429E0
8.793055257E1,5.237311581E1,4.850579120E0,7.584334458E0,3.759999990E0,2.438999939E2,1.044436741E1,5.811582565E0
8.893398241E1,5.237310120E1,4.850515940E0,8.281481891E0,4.039999962E0,2.518000031E2,1.036608887E1,5.640556335E0
8.993126554E1,5.237308960E1,4.850459320E0,8.649352686E0,2.799999952E0,2.501999969E2,1.041616631E1,5.810282707E0
9.093242372E1,5.237307612E1,4.850409040E0,8.372876376E0,3.230000019E0,2.466000061E2,1.069552326E1,5.822347641E0
9.192950866E1,5.237301985E1,4.850323190E0,9.867742718E0,5.210000038E0,2.233999939E2,1.096844482E1,5.847737312E0
9.293325158E1,5.237302283E1,4.850252730E0,9.339080539E0,4.510000229E0,2.586000061E2,1.058354092E1,5.550864220E0
9.393169663E1,5.237300294E1,4.850163460E0,8.007457871E0,5.159999847E0,2.603999939E2,1.051398373E1,5.463116646E0
9.493154694E1,5.237299405E1,4.850068560E0,7.834050500E0,4.539999962E0,2.553000031E2,1.084508610E1,5.777109623E0
