"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.926027600E-2,-2.049600029E1,-2.231379890E1,-3.868619919E1
1.092602760E-1,-2.050819969E1,-2.202099991E1,-3.862519836E1
1.192602760E-1,-2.067899895E1,-2.181359863E1,-3.874720001E1
1.292602760E-1,-2.073999977E1,-2.174040031E1,-3.883259964E1
1.392602760E-1,-2.066679955E1,-2.160619926E1,-3.879599762E1
1.492602760E-1,-2.053260040E1,-2.153299904E1,-3.886919785E1
1.592602760E-1,-2.063019943E1,-2.137439919E1,-3.891799927E1
1.692602760E-1,-2.073999977E1,-2.119140053E1,-3.893019867E1
1.792602760E-1,-2.082539940E1,-2.089859962E1,-3.899119949E1
1.892602760E-1,-2.100839996E1,-2.065460014E1,-3.908879852E1
1.992602760E-1,-2.102059937E1,-2.038619995E1,-3.918639755E1
2.092602760E-1,-2.131340027E1,-2.003240013E1,-3.927180099E1
2.192602760E-1,-2.170380020E1,-1.970299911E1,-3.939379883E1
2.292602760E-1,-2.221619987E1,-1.927599907E1,-3.949139786E1
2.392602760E-1,-2.260659981E1,-1.895879936E1,-3.952799988E1
2.492602760E-1,-2.303359985E1,-1.861719894E1,-3.951580048E1
2.592602760E-1,-2.355819893E1,-1.823900032E1,-3.952799988E1
2.692602760E-1,-2.404619980E1,-1.788520050E1,-3.952799988E1
2.792602760E-1,-2.468059921E1,-1.749480057E1,-3.941819763E1
2.892602760E-1,-2.508320045E1,-1.716539955E1,-3.933279800E1
2.992602760E-1,-2.529059982E1,-1.683600044E1,-3.927180099E1
3.092602760E-1,-2.560779953E1,-1.655539894E1,-3.912540054E1
3.192602760E-1,-2.581519890E1,-1.625040054E1,-3.912540054E1
3.292602760E-1,-2.597379875E1,-1.604299927E1,-3.923519897E1
3.392602760E-1,-2.607139969E1,-1.582339954E1,-3.919860077E1
3.492602760E-1,-2.632759857E1,-1.516459942E1,-3.961339951E1
3.592602760E-1,-2.658379936E1,-1.496939945E1,-3.962559891E1
3.692602760E-1,-2.693759918E1,-1.482299995E1,-3.951580048E1
3.792602760E-1,-2.752319908E1,-1.462779999E1,-3.939379883E1
3.892602760E-1,-2.804780006E1,-1.444479942E1,-3.916199875E1
3.992602760E-1,-2.870660019E1,-1.422519970E1,-3.888140106E1
4.092602760E-1,-2.942639923E1,-1.398119926E1,-3.855199814E1
4.192602760E-1,-3.019499969E1,-1.374940014E1,-3.823479843E1
4.292602760E-1,-3.079279900E1,-1.394460011E1,-3.745399857E1
4.392602760E-1,-3.129299927E1,-1.373719978E1,-3.713679886E1
4.492602760E-1,-3.180539894E1,-1.344439983E1,-3.684399796E1
4.592602760E-1,-3.224459839E1,-1.322480011E1,-3.662440109E1
4.692602760E-1,-3.254959869E1,-1.301739979E1,-3.651459885E1
4.792602760E-1,-3.285459900E1,-1.284659958E1,-3.639260101E1
4.892602760E-1,-3.312300110E1,-1.273680019E1,-3.625839996E1
4.992602760E-1,-3.337919998E1,-1.263920021E1,-3.609980011E1
5.092602760E-1,-3.367200089E1,-1.260260010E1,-3.590459824E1
5.192602760E-1,-3.396479797E1,-1.262699986E1,-3.577040100E1
5.292602760E-1,-3.420879745E1,-1.268799973E1,-3.555080032E1
5.392602760E-1,-3.452600098E1,-1.278559971E1,-3.528239822E1
5.492602760E-1,-3.486759949E1,-1.289540005E1,-3.502619934E1
5.592602760E-1,-3.513599777E1,-1.300519943E1,-3.481879807E1
5.692602760E-1,-3.533119965E1,-1.311499977E1,-3.457479858E1
5.792602760E-1,-3.550199890E1,-1.332240009E1,-3.444059753E1
5.892602760E-1,-3.569720078E1,-1.351760006E1,-3.425759888E1
5.992602760E-1,-3.586800003E1,-1.371280003E1,-3.408679962E1
6.092602760E-1,-3.600220108E1,-1.393239975E1,-3.406240082E1
6.192602760E-1,-3.601440048E1,-1.415199947E1,-3.406240082E1
6.292602760E-1,-3.598999786E1,-1.439599991E1,-3.402579880E1
6.392602760E-1,-3.595339966E1,-1.465219975E1,-3.394039917E1
6.492602760E-1,-3.592900085E1,-1.488399982E1,-3.403799820E1
6.592602760E-1,-3.584359741E1,-1.507919979E1,-3.407460022E1
6.692602760E-1,-3.567279816E1,-1.525000000E1,-3.422100067E1
6.792602760E-1,-3.552639771E1,-1.545739937E1,-3.431859970E1
6.892602760E-1,-3.536779785E1,-1.567700005E1,-3.431859970E1
6.992602760E-1,-3.533119965E1,-1.587220001E1,-3.422100067E1
7.092602760E-1,-3.530680084E1,-1.603079987E1,-3.418439865E1
7.192602760E-1,-3.531900024E1,-1.626259995E1,-3.417219925E1
7.292602760E-1,-3.533119965E1,-1.644560051E1,-3.395259857E1
7.392602760E-1,-3.547760010E1,-1.660420036E1,-3.376959991E1
7.492602760E-1,-3.557519913E1,-1.676280022E1,-3.363539886E1
7.592602760E-1,-3.570940018E1,-1.673839951E1,-3.372079849E1
7.692602760E-1,-3.581919861E1,-1.688479996E1,-3.365979767E1
7.792602760E-1,-3.584359741E1,-1.704339981E1,-3.356219864E1
7.892602760E-1,-3.595339966E1,-1.720199966E1,-3.344020081E1
7.992602760E-1,-3.591679764E1,-1.726300049E1,-3.333039856E1
8.092602760E-1,-3.592900085E1,-1.738500023E1,-3.335480118E1
8.192602760E-1,-3.567279816E1,-1.751919937E1,-3.337919998E1
8.292602760E-1,-3.559959793E1,-1.761680031E1,-3.336700058E1
8.392602760E-1,-3.545319748E1,-1.793400002E1,-3.314739990E1
8.492602760E-1,-3.528239822E1,-1.805599976E1,-3.313520050E1
8.592602760E-1,-3.511159897E1,-1.819019890E1,-3.319619751E1
8.692602760E-1,-3.489199829E1,-1.805599976E1,-3.383060074E1
8.792602760E-1,-3.468460083E1,-1.820240021E1,-3.398920059E1
8.892602760E-1,-3.442839813E1,-1.839760017E1,-3.409899902E1
8.992602760E-1,-3.430640030E1,-1.864159966E1,-3.433079910E1
9.092602760E-1,-3.405019760E1,-1.888559914E1,-3.450159836E1
9.192602760E-1,-3.384280014E1,-1.904419899E1,-3.464799881E1
9.292602760E-1,-3.365979767E1,-1.925160027E1,-3.477000046E1
9.392602760E-1,-3.350119781E1,-1.945899963E1,-3.492860031E1
9.492602760E-1,-3.334259796E1,-2.004459953E1,-3.458699799E1
9.592602760E-1,-3.330599976E1,-2.031299973E1,-3.457479858E1
9.692602760E-1,-3.329380035E1,-2.056920052E1,-3.451379776E1
9.792602760E-1,-3.334259796E1,-2.076440048E1,-3.433079910E1
9.892602760E-1,-3.345240021E1,-2.093519974E1,-3.413560104E1
9.992602760E-1,-3.353779984E1,-2.114259911E1,-3.385499954E1
1.009260276E0,-3.368420029E1,-2.128899956E1,-3.365979767E1
1.019260276E0,-3.373299789E1,-2.139879990E1,-3.345240021E1
1.029260276E0,-3.384280014E1,-2.142319870E1,-3.318399811E1
1.039260276E0,-3.387939835E1,-2.150860023E1,-3.306200027E1
1.049260276E0,-3.397700119E1,-2.152079964E1,-3.303759766E1
1.059260276E0,-3.400139999E1,-2.154520035E1,-3.302539825E1
1.069260276E0,-3.396479797E1,-2.156959915E1,-3.303759766E1
1.079260276E0,-3.387939835E1,-2.163059998E1,-3.318399811E1
1.089260276E0,-3.380619812E1,-2.172819901E1,-3.326939774E1
1.099260276E0,-3.373299789E1,-2.181359863E1,-3.337919998E1
1.109260276E0,-3.364759827E1,-2.188679886E1,-3.346459961E1
1.119260276E0,-3.357439804E1,-2.195999908E1,-3.352560043E1
1.129260276E0,-3.341579819E1,-2.213080025E1,-3.356219864E1
1.139260276E0,-3.333039856E1,-2.228940010E1,-3.352560043E1
1.149260276E0,-3.330599976E1,-2.248460007E1,-3.348899841E1
1.159260276E0,-3.326939774E1,-2.265539932E1,-3.340359879E1
1.169260276E0,-3.313520050E1,-2.282620049E1,-3.341579819E1
1.179260276E0,-3.302539825E1,-2.305799866E1,-3.335480118E1
1.189260276E0,-3.295219803E1,-2.331419945E1,-3.331819916E1
1.199260276E0,-3.290340042E1,-2.354599953E1,-3.324499893E1
1.209260276E0,-3.285459900E1,-2.368019867E1,-3.307419968E1
1.219260276E0,-3.279359818E1,-2.391199875E1,-3.306200027E1
1.229260276E0,-3.234220123E1,-2.416819954E1,-3.306200027E1
1.239260276E0,-3.237879944E1,-2.432679939E1,-3.301319885E1
1.249260276E0,-3.243980026E1,-2.452199936E1,-3.295219803E1
1.259260276E0,-3.257399750E1,-2.461960030E1,-3.286679840E1
1.269260276E0,-3.261059952E1,-2.472939873E1,-3.285459900E1
1.279260276E0,-3.259840012E1,-2.474160004E1,-3.291559982E1
1.289260276E0,-3.268379974E1,-2.486359978E1,-3.293999863E1
1.299260276E0,-3.278139877E1,-2.485140038E1,-3.290340042E1
1.309260276E0,-3.325719833E1,-2.482699966E1,-3.283020020E1
1.319260276E0,-3.329380035E1,-2.485140038E1,-3.284239960E1
1.329260276E0,-3.341579819E1,-2.481480026E1,-3.269599915E1
1.339260276E0,-3.350119781E1,-2.490019989E1,-3.267160034E1
1.349260276E0,-3.358660126E1,-2.492459869E1,-3.261059952E1
1.359260276E0,-3.364759827E1,-2.504660034E1,-3.243980026E1
1.369260276E0,-3.376959991E1,-2.504660034E1,-3.236660004E1
1.379260276E0,-3.380619812E1,-2.513199997E1,-3.231779861E1
1.389260276E0,-3.387939835E1,-2.514419937E1,-3.223239899E1
1.399260276E0,-3.394039917E1,-2.519299889E1,-3.214699936E1
1.409260276E0,-3.397700119E1,-2.535159874E1,-3.213479996E1
1.419260276E0,-3.396479797E1,-2.541259956E1,-3.201279831E1
1.429260276E0,-3.402579880E1,-2.553459930E1,-3.179319954E1
1.439260276E0,-3.409899902E1,-2.565659904E1,-3.163459969E1
1.449260276E0,-3.411119843E1,-2.586400032E1,-3.146379852E1
1.459260276E0,-3.422100067E1,-2.607139969E1,-3.128079987E1
1.469260276E0,-3.396479797E1,-2.638859940E1,-3.117099953E1
1.479260276E0,-3.401359940E1,-2.668140030E1,-3.096360016E1
1.489260276E0,-3.402579880E1,-2.685219955E1,-3.082939911E1
1.499260276E0,-3.419659805E1,-2.707180023E1,-3.067079926E1
1.509260276E0,-3.429420090E1,-2.730360031E1,-3.053660011E1
1.519260276E0,-3.439179993E1,-2.727919960E1,-3.067079926E1
1.529260276E0,-3.451379776E1,-2.743779945E1,-3.046339989E1
1.539260276E0,-3.451379776E1,-2.755979919E1,-3.039019966E1
1.549260276E0,-3.481879807E1,-2.762080002E1,-3.028039932E1
1.559260276E0,-3.480659866E1,-2.771839905E1,-3.026819992E1
1.569260276E0,-3.481879807E1,-2.785260010E1,-3.023159981E1
1.579260276E0,-3.456259918E1,-2.797459984E1,-3.015839958E1
1.589260276E0,-3.451379776E1,-2.804780006E1,-3.007299995E1
1.599260276E0,-3.442839813E1,-2.841379929E1,-2.973139954E1
1.609260276E0,-3.431859970E1,-2.853579903E1,-2.976799965E1
1.619260276E0,-3.423320007E1,-2.865779877E1,-2.959719849E1
1.629260276E0,-3.419659805E1,-2.846259880E1,-2.987779999E1
1.639260276E0,-3.426979828E1,-2.856019974E1,-2.965819931E1
1.649260276E0,-3.429420090E1,-2.867000008E1,-2.941419983E1
1.659260276E0,-3.451379776E1,-2.874320030E1,-2.924339867E1
1.669260276E0,-3.455039978E1,-2.887739944E1,-2.923119926E1
1.679260276E0,-3.455039978E1,-2.892619896E1,-2.917020035E1
1.689260276E0,-3.451379776E1,-2.899939919E1,-2.908479881E1
1.699260276E0,-3.451379776E1,-2.912139893E1,-2.909700012E1
1.709260276E0,-3.440399933E1,-2.956060028E1,-2.864559937E1
1.719260276E0,-3.428199768E1,-2.962159920E1,-2.874320030E1
1.729260276E0,-3.412339783E1,-2.974359894E1,-2.886520004E1
1.739260276E0,-3.395259857E1,-2.984119987E1,-2.902379990E1
1.749260276E0,-3.374520111E1,-2.995100021E1,-2.908479881E1
1.759260276E0,-3.367200089E1,-3.003639984E1,-2.920679855E1
1.769260276E0,-3.351340103E1,-3.015839958E1,-2.930439949E1
1.779260276E0,-3.341579819E1,-3.018280029E1,-2.941419983E1
1.789260276E0,-3.329380035E1,-3.021939850E1,-2.952400017E1
1.799260276E0,-3.320840073E1,-3.024379921E1,-2.952400017E1
1.809260276E0,-3.311079788E1,-3.018280029E1,-2.970699883E1
1.819260276E0,-3.292779922E1,-3.015839958E1,-2.995100021E1
1.829260276E0,-3.279359818E1,-3.006079865E1,-3.028039932E1
1.839260276E0,-3.257399750E1,-2.999979973E1,-3.051219940E1
1.849260276E0,-3.239099884E1,-2.995100021E1,-3.084159851E1
1.859260276E0,-3.219580078E1,-2.991440010E1,-3.108559990E1
1.869260276E0,-3.196399879E1,-2.985339928E1,-3.143939972E1
1.879260276E0,-3.170779991E1,-2.987779999E1,-3.179319954E1
1.889260276E0,-3.141499901E1,-2.995100021E1,-3.191519928E1
1.899260276E0,-3.128079987E1,-2.997539902E1,-3.198839951E1
1.909260276E0,-3.118319893E1,-2.997539902E1,-3.195179939E1
1.919260276E0,-3.110999870E1,-2.996319962E1,-3.203720093E1
1.929260276E0,-3.118319893E1,-2.998760033E1,-3.192739868E1
1.939260276E0,-3.130519867E1,-2.995100021E1,-3.190299988E1
1.949260276E0,-3.151259995E1,-2.990219879E1,-3.178100014E1
1.959260276E0,-3.184199905E1,-2.979240036E1,-3.165899849E1
1.969260276E0,-3.224459839E1,-2.964599991E1,-3.151259995E1
1.979260276E0,-3.263499832E1,-2.959719849E1,-3.134179878E1
1.989260276E0,-3.267160034E1,-2.959719849E1,-3.113439941E1
1.999260276E0,-3.307419968E1,-2.949959946E1,-3.100020027E1
2.009260276E0,-3.342799759E1,-2.921899986E1,-3.100020027E1
2.019260276E0,-3.370859909E1,-2.898719978E1,-3.106119919E1
2.029260276E0,-3.386719894E1,-2.876759911E1,-3.117099953E1
2.039260276E0,-3.383060074E1,-2.849919891E1,-3.140279961E1
2.049260276E0,-3.370859909E1,-2.829179955E1,-3.178100014E1
2.059260276E0,-3.347679901E1,-2.803559875E1,-3.217139816E1
2.069260276E0,-3.346459961E1,-2.776719856E1,-3.273260117E1
