"event","experiment time","system time","system time text"
"START",0.000000000E0,1686150873.709,"2023-06-07 17:14:33.709 UTC+02:00"
"PAUSE",3.601544745E2,1686151233.864,"2023-06-07 17:20:33.864 UTC+02:00"
