"event","experiment time","system time","system time text"
"START",0.000000000E0,1686157021.146,"2023-06-07 18:57:01.146 UTC+02:00"
"PAUSE",4.201322327E2,1686157441.278,"2023-06-07 19:04:01.278 UTC+02:00"
