"event","experiment time","system time","system time text"
"START",0.000000000E0,1686147823.136,"2023-06-07 16:23:43.136 UTC+02:00"
"PAUSE",4.200942061E2,1686148243.230,"2023-06-07 16:30:43.230 UTC+02:00"
