"event","experiment time","system time","system time text"
"START",0.000000000E0,1686150410.925,"2023-06-07 17:06:50.925 UTC+02:00"
"PAUSE",3.601166153E2,1686150771.042,"2023-06-07 17:12:51.042 UTC+02:00"
