"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.394748070E-1,5.238582660E1,4.881861800E0,3.853435196E0,0.000000000E0,0.000000000E0,4.059299850E1,2.752054930E0
2.436284113E0,5.238575857E1,4.881328100E0,1.267709723E-1,2.009999990E0,1.050000000E1,1.270814800E1,1.540315437E1
3.437732290E0,5.238575973E1,4.881317190E0,5.129268692E0,1.970000029E0,9.100000381E0,5.232087135E0,6.400053024E0
4.436925102E0,5.238576809E1,4.881334630E0,7.211993277E0,2.849999905E0,1.060000038E1,4.616958141E0,5.430540085E0
5.437175831E0,5.238579332E1,4.881350980E0,7.603090619E0,1.970000029E0,1.299999952E0,4.437182903E0,5.344663143E0
6.437138174E0,5.238581173E1,4.881350910E0,6.026944657E0,2.190000057E0,7.099999905E0,4.456520081E0,5.415078163E0
7.438448330E0,5.238582409E1,4.881363450E0,5.906730132E0,2.349999905E0,8.000000000E0,4.028483391E0,4.566888332E0
8.438079319E0,5.238585197E1,4.881370520E0,6.904149045E0,2.500000000E0,5.000000000E0,3.962147236E0,4.403183460E0
9.441978538E0,5.238586771E1,4.881351720E0,4.461899538E0,1.950000048E0,3.287999878E2,3.790092468E0,4.043249607E0
1.043640213E1,5.238589122E1,4.881350980E0,4.399920532E0,2.559999943E0,3.527999878E2,3.790092468E0,3.943494797E0
1.143639755E1,5.238591260E1,4.881341250E0,5.142620785E0,1.840000033E0,3.307000122E2,3.790092468E0,3.893706083E0
1.243702140E1,5.238592856E1,4.881321960E0,4.685844935E0,2.890000105E0,3.266000061E2,3.790092468E0,3.867533922E0
1.343694244E1,5.238594392E1,4.881296030E0,5.153685952E0,2.339999914E0,3.083999939E2,3.790092468E0,3.947452545E0
1.443790916E1,5.238595614E1,4.881264810E0,6.001219166E0,2.549999952E0,3.002000122E2,3.790092468E0,4.084881306E0
1.543885348E1,5.238596715E1,4.881234850E0,5.606747014E0,1.919999957E0,2.991000061E2,3.790092468E0,4.103130817E0
1.643714760E1,5.238597677E1,4.881202160E0,5.818045238E0,2.750000000E0,2.943999939E2,3.790092468E0,4.094857693E0
1.743692583E1,5.238598341E1,4.881171430E0,6.097211495E0,1.779999971E0,2.867000122E2,3.790092468E0,3.970818281E0
1.843989530E1,5.238598976E1,4.881139460E0,6.231662266E0,2.490000010E0,2.880000000E2,3.790092468E0,3.919030190E0
1.943803478E1,5.238599637E1,4.881106580E0,7.140282795E0,2.160000086E0,2.885000000E2,3.790092468E0,3.887339115E0
2.043578749E1,5.238600058E1,4.881073630E0,6.234385740E0,2.349999905E0,2.855000000E2,3.790092468E0,3.868375301E0
2.143614666E1,5.238600519E1,4.881040260E0,6.546628652E0,2.240000010E0,2.772000122E2,3.946947575E0,4.085096359E0
2.243766504E1,5.238600735E1,4.881005770E0,6.052226832E0,2.460000038E0,2.747999878E2,4.209001064E0,4.238493443E0
2.343846702E1,5.238600857E1,4.880959160E0,5.183732152E0,3.630000114E0,2.728999939E2,4.368211269E0,4.321503639E0
2.443653978E1,5.238600597E1,4.880915420E0,5.155321650E0,2.410000086E0,2.598999939E2,4.053682804E0,4.087810040E0
2.543662176E1,5.238600106E1,4.880878290E0,5.916767700E0,2.750000000E0,2.615000000E2,4.079235077E0,4.267593384E0
2.643680015E1,5.238599722E1,4.880838470E0,6.577383614E0,2.460000038E0,2.602000122E2,3.994714737E0,4.219356060E0
2.744000942E1,5.238599398E1,4.880801660E0,6.231044119E0,2.230000019E0,2.637999878E2,3.790092468E0,3.841502190E0
2.843732520E1,5.238599134E1,4.880763790E0,6.167114520E0,2.549999952E0,2.645000000E2,3.790092468E0,3.869157553E0
2.943679957E1,5.238598865E1,4.880740530E0,4.811201178E0,6.999999881E-1,2.627000122E2,3.826779127E0,3.909170866E0
3.043610723E1,5.238598354E1,4.880717880E0,5.609337513E0,2.269999981E0,2.627000122E2,4.331326962E0,4.202353001E0
3.143624827E1,5.238597660E1,4.880687560E0,6.069637210E0,1.970000029E0,2.566000061E2,4.083611965E0,4.175874233E0
3.243718176E1,5.238597068E1,4.880650520E0,5.355373882E0,3.079999924E0,2.576000061E2,4.120498180E0,4.252915859E0
3.343766832E1,5.238596650E1,4.880611440E0,4.773375001E0,2.240000010E0,2.617000122E2,4.303431988E0,4.537721634E0
3.443798629E1,5.238596148E1,4.880575480E0,5.157502243E0,2.660000086E0,2.572999878E2,4.836422920E0,4.775403976E0
