"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.583979700E-2,-1.643339920E1,-5.153279877E1,-2.748659897E1
1.058397970E-1,-1.614060020E1,-5.165480042E1,-2.734020042E1
1.158397970E-1,-1.522559929E1,-5.181340027E1,-2.732799911E1
1.258397970E-1,-1.539639950E1,-5.192319870E1,-2.721819878E1
1.358397970E-1,-1.546959972E1,-5.193539810E1,-2.704739952E1
1.458397970E-1,-1.554279995E1,-5.198419952E1,-2.691320038E1
1.558397970E-1,-1.556719971E1,-5.215499878E1,-2.663259888E1
1.658397970E-1,-1.550619984E1,-5.222819901E1,-2.647399902E1
1.758397970E-1,-1.534759998E1,-5.258200073E1,-2.579080009E1
1.858397970E-1,-1.521339989E1,-5.300899887E1,-2.498559952E1
1.958397970E-1,-1.529879951E1,-5.347259903E1,-2.397299957E1
2.058397970E-1,-1.505480003E1,-5.405820084E1,-2.274079895E1
2.158397970E-1,-1.484739971E1,-5.471699905E1,-2.147200012E1
2.258397970E-1,-1.442039967E1,-5.540019989E1,-2.010560036E1
2.358397970E-1,-1.420079994E1,-5.598579788E1,-1.878800011E1
2.458397970E-1,-1.422519970E1,-5.670560074E1,-1.710439873E1
2.558397970E-1,-1.421299934E1,-5.720579910E1,-1.562819958E1
2.658397970E-1,-1.423740005E1,-5.762059784E1,-1.417640018E1
2.758397970E-1,-1.437160015E1,-5.774259949E1,-1.322480011E1
2.858397970E-1,-1.445699978E1,-5.801099777E1,-1.202919960E1
2.958397970E-1,-1.455459976E1,-5.825499725E1,-1.079699993E1
3.058397970E-1,-1.489620018E1,-5.843799973E1,-9.528200150E0
3.158397970E-1,-1.511579990E1,-5.853559875E1,-8.430199623E0
3.258397970E-1,-1.521339989E1,-5.853559875E1,-7.673799992E0
3.358397970E-1,-1.543299961E1,-5.855999756E1,-7.112599850E0
3.458397970E-1,-1.585999966E1,-5.852339935E1,-6.819799900E0
3.558397970E-1,-1.636019897E1,-5.862099838E1,-6.197599888E0
3.658397970E-1,-1.695800018E1,-5.845019913E1,-6.112199783E0
3.758397970E-1,-1.765340042E1,-5.818179703E1,-6.185400009E0
3.858397970E-1,-1.842199898E1,-5.788899994E1,-6.441599846E0
3.958397970E-1,-1.912960052E1,-5.765719986E1,-6.697799683E0
4.058397970E-1,-1.984939957E1,-5.743759918E1,-6.905200005E0
4.158397970E-1,-2.038619995E1,-5.723019791E1,-7.051599979E0
4.258397970E-1,-2.077659988E1,-5.697399902E1,-7.173599720E0
4.358397970E-1,-2.093519974E1,-5.686420059E1,-7.161399841E0
4.458397970E-1,-2.105719948E1,-5.672999954E1,-7.246799946E0
4.558397970E-1,-2.106939888E1,-5.669339752E1,-7.271199703E0
4.658397970E-1,-2.091079903E1,-5.665679932E1,-7.405399799E0
4.758397970E-1,-2.070339966E1,-5.654699707E1,-7.551799774E0
4.858397970E-1,-2.052039909E1,-5.651039886E1,-7.698199749E0
4.958397970E-1,-2.033740044E1,-5.643719864E1,-8.039799690E0
5.058397970E-1,-1.999580002E1,-5.646159744E1,-8.198399544E0
5.158397970E-1,-1.981279945E1,-5.641279984E1,-8.588799477E0
5.258397970E-1,-1.945899963E1,-5.638839722E1,-8.845000267E0
5.358397970E-1,-1.906859970E1,-5.640060043E1,-9.271999359E0
5.458397970E-1,-1.869039917E1,-5.642499924E1,-9.613599777E0
5.558397970E-1,-1.832439995E1,-5.642499924E1,-9.930799484E0
