"Time (s)","Illuminance (lx)"
3.518547000E-3,1.066311035E4
7.019781800E-2,1.083327832E4
1.368453180E-1,1.136841797E4
2.035153180E-1,1.258996582E4
2.701701620E-1,1.258996582E4
3.368450060E-1,1.258996582E4
4.035085470E-1,1.007592773E4
4.701852140E-1,1.004116504E4
5.368482350E-1,1.004116504E4
6.035349010E-1,1.004116504E4
6.701720370E-1,1.030299805E4
7.368361510E-1,1.093925293E4
8.034991720E-1,1.193217773E4
8.701653180E-1,1.357310352E4
9.368536510E-1,1.357310352E4
1.003505943E0,1.357310352E4
1.070165578E0,1.320597070E4
1.136829328E0,1.093047754E4
1.203500735E0,1.085116504E4
1.270203131E0,1.085116504E4
1.336853495E0,1.085116504E4
1.403498860E0,1.104860254E4
1.470163235E0,1.179765039E4
1.536825422E0,1.204476758E4
1.603492870E0,1.250599512E4
1.670194068E0,1.250599512E4
1.736828235E0,1.250599512E4
1.803499901E0,1.124624316E4
1.870162297E0,9.756044922E3
1.936820839E0,8.812395508E3
2.003514693E0,8.812395508E3
2.070152297E0,8.812395508E3
2.136833131E0,1.042645508E4
2.203499953E0,1.227656250E4
2.270184381E0,1.271470508E4
2.336816620E0,1.271470508E4
2.403486776E0,1.271470508E4
2.470151985E0,1.206846094E4
2.536813547E0,1.025136035E4
2.603499693E0,7.989975098E3
2.670148860E0,7.989975098E3
2.736814381E0,7.989975098E3
2.803498912E0,8.596192383E3
2.870148651E0,1.085433789E4
2.936815943E0,1.208675293E4
3.003491360E0,1.283728516E4
3.070176256E0,1.397337793E4
3.136811881E0,1.397337793E4
3.203482453E0,1.397337793E4
3.270140422E0,1.333563770E4
3.336807089E0,1.307630273E4
3.403497610E0,1.307630273E4
3.470139276E0,1.333563770E4
3.536808131E0,1.380300781E4
3.603474693E0,1.505162305E4
3.670166776E0,1.638893359E4
3.736803651E0,1.724861328E4
3.803474485E0,1.724861328E4
3.870135943E0,1.724861328E4
3.936801151E0,1.456035840E4
4.003470735E0,1.176633008E4
4.070157506E0,1.176633008E4
4.136802610E0,1.176633008E4
4.203468078E0,1.297397266E4
4.270145370E0,1.512324023E4
4.336796776E0,1.604434570E4
4.403492662E0,1.617057031E4
4.470154797E0,1.617057031E4
4.536795735E0,1.617057031E4
4.603465370E0,1.487760840E4
4.670139068E0,1.347887305E4
4.736793443E0,1.347887305E4
4.803498026E0,1.347887305E4
4.870130422E0,1.385417285E4
4.936789797E0,1.385417285E4
5.003474485E0,1.385417285E4
5.070133443E0,1.385417285E4
5.136787870E0,1.380300781E4
5.203466620E0,1.368015820E4
5.270132818E0,1.293988574E4
5.336786047E0,1.077441797E4
5.403458703E0,1.067465332E4
5.470146985E0,1.021410059E4
5.536784693E0,7.390170410E3
5.603456203E0,7.390170410E3
5.670117818E0,7.390170410E3
5.736782297E0,1.145009277E4
5.803488651E0,1.145009277E4
5.870161620E0,1.145009277E4
5.936781620E0,6.757357910E3
6.003453860E0,5.362267578E3
6.070117610E0,3.671662598E3
6.136777401E0,3.109387695E3
6.203485787E0,3.109387695E3
6.270110110E0,3.109387695E3
6.336775110E0,3.221505127E3
6.403451256E0,4.129177734E3
6.470136985E0,4.592564941E3
6.536800943E0,4.592564941E3
6.603459276E0,4.592564941E3
6.670114901E0,4.125802734E3
6.736773339E0,3.327480225E3
6.803445735E0,2.806582520E3
6.870109693E0,2.794027588E3
6.936773547E0,2.794027588E3
7.003451776E0,2.806582520E3
7.070107037E0,2.807662598E3
7.136768131E0,3.433927734E3
7.203440214E0,5.013832520E3
7.270116203E0,5.013832520E3
7.336767662E0,5.013832520E3
7.403451256E0,4.748625000E3
7.470097818E0,2.600437500E3
7.536774901E0,2.349067627E3
7.603437193E0,2.349067627E3
7.670103495E0,2.349067627E3
7.736757089E0,2.698312500E3
7.803435943E0,2.958390137E3
7.870127818E0,3.289140137E3
7.936765631E0,3.289140137E3
8.003433131E0,3.289140137E3
8.070105214E0,2.945430176E3
8.136757089E0,2.611102539E3
8.203428443E0,2.605297607E3
8.270119276E0,2.580592529E3
8.336761047E0,2.605297607E3
8.403427714E0,2.611102539E3
8.470092089E0,2.658622559E3
8.536761203E0,3.082117676E3
8.603424068E0,3.082117676E3
8.670085318E0,3.082117676E3
8.736754797E0,2.747114990E3
8.803426568E0,2.152440186E3
8.870087506E0,2.151832520E3
8.936750318E0,1.725165039E3
9.003470422E0,1.725165039E3
9.070087870E0,1.725165039E3
9.136747610E0,1.836675049E3
9.203415839E0,2.171880127E3
9.270081776E0,2.400030029E3
9.336772506E0,2.400030029E3
9.403416985E0,2.400030029E3
9.470082818E0,1.682505127E3
9.536742870E0,1.566337524E3
9.603423651E0,1.566337524E3
9.670108547E0,1.566337524E3
9.736744068E0,1.590637573E3
9.803412818E0,1.698705078E3
9.870081047E0,1.978695068E3
9.936740110E0,2.474617676E3
1.000342954E1,2.956702637E3
1.007007553E1,2.956702637E3
1.013674001E1,2.956702637E3
1.020341037E1,2.298712646E3
1.027007230E1,1.920037598E3
1.033673574E1,1.920037598E3
1.040344949E1,1.920037598E3
1.047007074E1,1.943257568E3
1.053674063E1,1.982272583E3
1.060340490E1,2.184232666E3
1.067009261E1,2.559060059E3
1.073675850E1,2.184232666E3
1.080340449E1,2.184232666E3
1.087006751E1,1.492087524E3
1.093673146E1,1.209802490E3
1.100339850E1,1.209802490E3
1.107006370E1,1.209802490E3
