"event","experiment time","system time","system time text"
"START",0.000000000E0,1686144540.625,"2023-06-07 15:29:00.625 UTC+02:00"
"PAUSE",5.625492456E1,1686144596.880,"2023-06-07 15:29:56.880 UTC+02:00"
"START",5.625492456E1,1686144610.530,"2023-06-07 15:30:10.530 UTC+02:00"
"PAUSE",3.563523239E2,1686144910.627,"2023-06-07 15:35:10.627 UTC+02:00"
