"event","experiment time","system time","system time text"
"START",0.000000000E0,1686152017.652,"2023-06-07 17:33:37.652 UTC+02:00"
"PAUSE",6.993422910E-1,1686152018.351,"2023-06-07 17:33:38.351 UTC+02:00"
"START",6.993422910E-1,1686152042.485,"2023-06-07 17:34:02.485 UTC+02:00"
"PAUSE",1.111462744E2,1686152152.932,"2023-06-07 17:35:52.932 UTC+02:00"
"START",1.111462744E2,1686152177.684,"2023-06-07 17:36:17.684 UTC+02:00"
"PAUSE",3.110953689E2,1686152377.633,"2023-06-07 17:39:37.633 UTC+02:00"
"START",3.110953689E2,1686152400.537,"2023-06-07 17:40:00.537 UTC+02:00"
"PAUSE",4.293376712E2,1686152518.779,"2023-06-07 17:41:58.779 UTC+02:00"
