"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.245021980E-1,-9.064599991E0,-5.649819946E1,-1.150459957E1
1.345021980E-1,-9.076799393E0,-5.644939804E1,-1.118739986E1
1.445021980E-1,-9.076799393E0,-5.643719864E1,-1.107759953E1
1.545021980E-1,-9.076799393E0,-5.647380066E1,-1.093120003E1
1.645021980E-1,-9.113399506E0,-5.644939804E1,-1.087020016E1
1.745021980E-1,-9.101200104E0,-5.613219833E1,-1.151679993E1
1.845021980E-1,-9.052399635E0,-5.626639938E1,-1.134599972E1
1.945021980E-1,-8.979199409E0,-5.638839722E1,-1.126060009E1
2.045021980E-1,-8.930399895E0,-5.644939804E1,-1.111419964E1
2.145021980E-1,-8.832799911E0,-5.655920029E1,-1.111419964E1
2.245021980E-1,-8.735199928E0,-5.664459991E1,-1.099219990E1
2.345021980E-1,-8.649800301E0,-5.669339752E1,-1.083360004E1
2.445021980E-1,-8.515600204E0,-5.681539917E1,-1.065059948E1
2.545021980E-1,-8.418000221E0,-5.714479828E1,-9.906399727E0
2.645021980E-1,-8.332599640E0,-5.714479828E1,-9.760000229E0
2.745021980E-1,-8.222800255E0,-5.696179962E1,-9.796599388E0
2.845021980E-1,-8.088600159E0,-5.701059723E1,-9.576999664E0
2.945021980E-1,-8.027600288E0,-5.698619843E1,-9.308599472E0
3.045021980E-1,-7.978799820E0,-5.701059723E1,-9.137800217E0
3.145021980E-1,-7.844599724E0,-5.708379745E1,-9.088999748E0
3.245021980E-1,-7.795799732E0,-5.712039948E1,-8.918199539E0
3.345021980E-1,-7.734799862E0,-5.714479828E1,-8.771800041E0
3.445021980E-1,-7.625000000E0,-5.720579910E1,-8.625399590E0
3.545021980E-1,-7.625000000E0,-5.744979858E1,-8.247200012E0
3.645021980E-1,-7.625000000E0,-5.744979858E1,-8.125200272E0
3.745021980E-1,-7.661599636E0,-5.751079941E1,-8.015399933E0
3.845021980E-1,-7.576200008E0,-5.752299881E1,-7.905600071E0
3.945021980E-1,-7.551799774E0,-5.751079941E1,-7.783599854E0
4.045021980E-1,-7.527400017E0,-5.752299881E1,-7.820199966E0
4.145021980E-1,-7.441999912E0,-5.757180023E1,-7.807999611E0
4.245021980E-1,-7.429800034E0,-5.759619904E1,-7.722599983E0
4.345021980E-1,-7.368799686E0,-5.757180023E1,-7.612799644E0
4.445021980E-1,-7.344399929E0,-5.765719986E1,-7.563999653E0
4.545021980E-1,-7.246799946E0,-5.762059784E1,-7.527400017E0
4.645021980E-1,-7.246799946E0,-5.760839844E1,-7.478600025E0
4.745021980E-1,-7.258999825E0,-5.762059784E1,-7.441999912E0
4.845021980E-1,-7.112599850E0,-5.762059784E1,-7.393199921E0
4.945021980E-1,-7.161399841E0,-5.760839844E1,-7.356599808E0
5.045021980E-1,-7.112599850E0,-5.762059784E1,-7.393199921E0
5.145021980E-1,-7.112599850E0,-5.760839844E1,-7.454199791E0
5.245021980E-1,-7.088200092E0,-5.758399963E1,-7.502999783E0
5.345021980E-1,-7.112599850E0,-5.760839844E1,-7.515199661E0
5.445021980E-1,-7.137000084E0,-5.760839844E1,-7.539599895E0
5.545021980E-1,-7.210199833E0,-5.762059784E1,-7.588399887E0
5.645021980E-1,-7.332200050E0,-5.758399963E1,-7.576200008E0
5.745021980E-1,-7.319999695E0,-5.757180023E1,-7.649399757E0
5.845021980E-1,-7.454199791E0,-5.748640060E1,-7.673799992E0
5.945021980E-1,-7.258999825E0,-5.744979858E1,-7.783599854E0
6.045021980E-1,-7.356599808E0,-5.738879776E1,-7.905600071E0
6.145021980E-1,-7.381000042E0,-5.732780075E1,-7.978799820E0
6.245021980E-1,-7.405399799E0,-5.736439896E1,-8.088600159E0
6.345021980E-1,-7.466399670E0,-5.732780075E1,-8.137399673E0
6.445021980E-1,-7.527400017E0,-5.729119873E1,-8.308199883E0
6.545021980E-1,-7.685999870E0,-5.723019791E1,-8.442399979E0
6.645021980E-1,-7.734799862E0,-5.724239731E1,-8.527799606E0
6.745021980E-1,-8.052000046E0,-5.721799850E1,-8.625399590E0
6.845021980E-1,-8.076399803E0,-5.719359970E1,-8.722999573E0
6.945021980E-1,-8.186200142E0,-5.720579910E1,-8.906000137E0
7.045021980E-1,-8.234999657E0,-5.713259888E1,-9.040200233E0
7.145021980E-1,-8.271599770E0,-5.709600067E1,-9.308599472E0
7.245021980E-1,-8.332599640E0,-5.703499985E1,-9.430600166E0
7.345021980E-1,-8.295999527E0,-5.701059723E1,-9.637999535E0
7.445021980E-1,-8.381400108E0,-5.692519760E1,-9.906399727E0
7.545021980E-1,-8.491199493E0,-5.687639999E1,-1.011380005E1
7.645021980E-1,-8.637599945E0,-5.679100037E1,-1.036999989E1
7.745021980E-1,-8.661999702E0,-5.676659775E1,-1.051639938E1
7.845021980E-1,-8.832799911E0,-5.664459991E1,-1.073600006E1
7.945021980E-1,-8.930399895E0,-5.636399841E1,-1.121179962E1
8.045021980E-1,-9.076799393E0,-5.631520081E1,-1.145580006E1
8.145021980E-1,-9.247599602E0,-5.620539856E1,-1.167539978E1
8.245021980E-1,-9.357399940E0,-5.611999893E1,-1.188280010E1
8.345021980E-1,-9.491600037E0,-5.602239990E1,-1.207800007E1
8.445021980E-1,-9.564800262E0,-5.591259766E1,-1.223659992E1
8.545021980E-1,-9.723400116E0,-5.577840042E1,-1.250500011E1
8.645021980E-1,-9.808799744E0,-5.575399780E1,-1.265139961E1
8.745021980E-1,-9.967399597E0,-5.586380005E1,-1.262699986E1
8.845021980E-1,-1.006499958E1,-5.577840042E1,-1.277339935E1
8.945021980E-1,-1.017479992E1,-5.570520020E1,-1.291979980E1
9.045021980E-1,-1.029679966E1,-5.561980057E1,-1.311499977E1
9.145021980E-1,-1.040660000E1,-5.555879974E1,-1.331019974E1
9.245021980E-1,-1.054080009E1,-5.550999832E1,-1.355420017E1
9.345021980E-1,-1.061399937E1,-5.542459869E1,-1.381040001E1
9.445021980E-1,-1.073600006E1,-5.526599884E1,-1.413980007E1
9.545021980E-1,-1.079699993E1,-5.515620041E1,-1.427400017E1
9.645021980E-1,-1.089459991E1,-5.508300018E1,-1.457899952E1
9.745021980E-1,-1.102880001E1,-5.499760056E1,-1.485960007E1
