"Time (s)","Illuminance (lx)"
5.871460000E-4,1.424304102E4
6.726667700E-2,1.452620312E4
1.339267820E-1,1.483326074E4
2.005787610E-1,1.555308105E4
2.672421980E-1,1.587721582E4
3.339116770E-1,1.617401270E4
4.005761570E-1,1.641275977E4
4.672388130E-1,1.671981836E4
5.339075110E-1,1.674708789E4
6.005752190E-1,1.674708789E4
6.672379270E-1,1.674708789E4
7.339065210E-1,1.668910547E4
8.005725630E-1,1.662430469E4
8.672346980E-1,1.651853320E4
9.339029790E-1,1.612622266E4
1.000570323E0,1.582942578E4
1.067235011E0,1.555652344E4
1.133900375E0,1.484352051E4
1.200568032E0,1.452282812E4
1.267231104E0,1.422258789E4
1.333900011E0,1.395994531E4
1.400569334E0,1.370405273E4
1.467230479E0,1.370405273E4
1.533898344E0,1.370405273E4
1.600566782E0,1.397013770E4
1.667228032E0,1.420895312E4
1.733899282E0,1.449549023E4
1.800561990E0,1.517103027E4
1.867225063E0,1.547464551E4
1.933895479E0,1.577481836E4
2.000561157E0,1.603752832E4
2.067224594E0,1.645373242E4
2.133898657E0,1.656969727E4
2.200558761E0,1.664475781E4
2.267221990E0,1.664475781E4
2.333892511E0,1.664475781E4
2.400556886E0,1.662774805E4
2.467219698E0,1.653898633E4
2.533886729E0,1.625926562E4
2.600553448E0,1.604434570E4
2.667219802E0,1.576462598E4
2.733887823E0,1.509597070E4
2.800553240E0,1.474456543E4
2.867215271E0,1.439316016E4
2.933883657E0,1.406909277E4
3.000550063E0,1.360509766E4
3.067214282E0,1.360509766E4
3.133883240E0,1.360509766E4
3.200552407E0,1.360509766E4
3.267211313E0,1.379274805E4
3.333881469E0,1.405545801E4
3.400546469E0,1.438634277E4
3.467210479E0,1.507545020E4
3.533882094E0,1.539276855E4
3.600549907E0,1.566911328E4
3.667208917E0,1.618083105E4
3.733874698E0,1.633776855E4
3.800544386E0,1.644009766E4
3.867205636E0,1.651515820E4
3.933877094E0,1.651515820E4
4.000540323E0,1.651515820E4
4.067202615E0,1.648444531E4
4.133871886E0,1.627971777E4
4.200539177E0,1.610232812E4
4.267205115E0,1.586013770E4
4.333870532E0,1.557353320E4
4.400537094E0,1.489468555E4
4.467200167E0,1.454672266E4
4.533866573E0,1.419869336E4
4.600534282E0,1.362899316E4
4.667197302E0,1.344134277E4
4.733866782E0,1.343452539E4
4.800533396E0,1.343452539E4
4.867195896E0,1.343452539E4
4.933864594E0,1.359828027E4
5.000532511E0,1.386436523E4
5.067194073E0,1.457736816E4
5.133864802E0,1.494585059E4
5.200532615E0,1.530407324E4
5.267190948E0,1.589085059E4
5.333860636E0,1.613985840E4
5.400526365E0,1.635477832E4
5.467188552E0,1.644691602E4
5.533859907E0,1.653216797E4
5.600523813E0,1.653216797E4
5.667187563E0,1.653216797E4
5.733856886E0,1.641964648E4
5.800522719E0,1.630705566E4
5.867184177E0,1.614667578E4
5.933855011E0,1.589766797E4
6.000521469E0,1.530407324E4
6.067183240E0,1.495948535E4
6.133851573E0,1.460808105E4
6.200521052E0,1.395650293E4
6.267182146E0,1.365970508E4
6.333850584E0,1.344134277E4
6.400517615E0,1.339699512E4
6.467179073E0,1.339699512E4
6.533849229E0,1.339699512E4
6.600514802E0,1.359146289E4
6.667178032E0,1.422940527E4
6.733845532E0,1.458762793E4
6.800518813E0,1.494585059E4
6.867175323E0,1.528355273E4
6.933843813E0,1.590786035E4
7.000509854E0,1.613304102E4
7.067176052E0,1.625589062E4
7.133846313E0,1.640594336E4
7.200507927E0,1.643328125E4
7.267170219E0,1.643328125E4
7.333840844E0,1.643328125E4
7.400505323E0,1.631387305E4
7.467173188E0,1.618764844E4
7.533840115E0,1.599655566E4
7.600503761E0,1.544049023E4
7.667166886E0,1.509597070E4
7.733835948E0,1.473774805E4
7.800507511E0,1.436926562E4
7.867165427E0,1.373814062E4
7.933836261E0,1.349595020E4
8.000501157E0,1.331174316E4
8.067164386E0,1.324687598E4
8.133834386E0,1.324687598E4
8.200500636E0,1.324687598E4
8.267165427E0,1.366996582E4
8.333830323E0,1.398721582E4
8.400495844E0,1.434543848E4
8.467159646E0,1.473430566E4
8.533835844E0,1.544393359E4
8.600495323E0,1.578163574E4
8.667157094E0,1.603752832E4
8.733827823E0,1.630023828E4
8.800504907E0,1.634796094E4
8.867154229E0,1.634796094E4
8.933823761E0,1.634796094E4
9.000489907E0,1.631724805E4
9.067152719E0,1.626608301E4
9.133823136E0,1.619102344E4
9.200488761E0,1.581916602E4
9.267150896E0,1.554626270E4
9.333820740E0,1.520167578E4
9.400486990E0,1.486397266E4
9.467149802E0,1.404519824E4
9.533818552E0,1.371431348E4
9.600487094E0,1.343115039E4
9.667148552E0,1.309682324E4
9.733815532E0,1.309682324E4
9.800482146E0,1.309682324E4
9.867147927E0,1.314798828E4
9.933816157E0,1.348569043E4
1.000047944E1,1.376203516E4
1.006714366E1,1.410999805E4
1.013381189E1,1.487760840E4
1.016085944E1,3.451086328E4
1.022752016E1,3.451086328E4
1.029418444E1,3.450748828E4
1.036085188E1,3.450748828E4
1.042751756E1,3.450748828E4
1.049418152E1,3.475311719E4
1.056085516E1,3.495777734E4
1.062751386E1,3.507718750E4
1.069418100E1,3.523750000E4
1.076084860E1,3.538080078E4
1.082751110E1,3.539787891E4
1.089417725E1,3.542177344E4
1.096085016E1,3.546267969E4
1.102751069E1,3.561961719E4
1.109417605E1,3.560253906E4
1.116084334E1,3.566051953E4
1.122750970E1,3.567078125E4
1.129417324E1,3.567078125E4
1.136084131E1,3.567078125E4
1.142750464E1,3.596076172E4
1.149417162E1,3.606308984E4
1.156084417E1,3.609042969E4
1.162750975E1,3.651345312E4
1.169416902E1,3.664649219E4
1.176084256E1,3.957012109E4
1.182750568E1,4.100638672E4
1.189416777E1,4.223110547E4
1.196083735E1,5.000001953E4
1.202749902E1,5.000001953E4
1.209416464E1,5.000001953E4
1.216083303E1,5.000001953E4
1.222749928E1,5.000001953E4
1.229416292E1,5.000001953E4
1.236083131E1,5.000001953E4
1.242749714E1,5.000001953E4
1.249416068E1,5.000001953E4
1.256082891E1,5.000001953E4
1.262749391E1,5.000001953E4
1.269415964E1,5.000001953E4
1.276082735E1,5.000001953E4
1.282749261E1,5.000001953E4
1.289415996E1,5.000001953E4
1.296082428E1,5.000001953E4
1.302749058E1,5.000001953E4
1.309415933E1,5.000001953E4
1.316082464E1,5.000001953E4
1.322748662E1,5.000001953E4
1.329415527E1,5.000001953E4
1.336082324E1,5.000001953E4
1.342748344E1,5.000001953E4
1.349415470E1,5.000001953E4
1.356081829E1,5.000001953E4
1.362748527E1,5.000001953E4
1.369415261E1,3.800769922E4
1.376081756E1,2.059188867E4
1.382748032E1,1.791726758E4
1.389414949E1,1.604778809E4
1.396081610E1,1.513687598E4
1.402748319E1,1.399059082E4
1.409414881E1,1.383372070E4
1.416081423E1,1.365288770E4
1.422747881E1,1.358464551E4
1.429414902E1,1.354374023E4
1.436081136E1,1.337310059E4
1.442747610E1,1.337310059E4
1.449414516E1,1.337310059E4
1.456080933E1,1.357782812E4
1.462747480E1,1.381320020E4
1.469413954E1,1.407928516E4
1.476080746E1,1.559405273E4
1.482747563E1,1.638549023E4
1.489413871E1,1.748061133E4
1.496080334E1,2.075226758E4
1.502746865E1,2.201789258E4
1.509413464E1,2.316417773E4
1.516080610E1,2.539188086E4
1.522746923E1,4.083237109E4
1.529413303E1,4.083237109E4
1.536080100E1,4.083237109E4
1.542746589E1,3.135523633E4
1.549413350E1,3.135523633E4
1.556079558E1,3.135523633E4
1.562746183E1,3.605627344E4
1.569412865E1,3.605627344E4
1.576079714E1,3.605627344E4
1.582746199E1,2.646310547E4
1.589412980E1,2.027463867E4
1.596079480E1,2.027463867E4
1.602746094E1,2.027463867E4
1.609412381E1,2.058851367E4
1.616079339E1,2.085459766E4
1.622745792E1,2.117529102E4
1.629412194E1,2.326995117E4
1.636079183E1,2.512923828E4
1.642745787E1,2.520085547E4
1.649411964E1,2.573302539E4
1.656079068E1,2.732960352E4
1.662745292E1,2.779015625E4
1.669411912E1,2.779015625E4
1.676078615E1,2.779015625E4
1.682745037E1,2.756841797E4
1.689411569E1,2.742855859E4
1.696078594E1,2.735012305E4
1.702745016E1,2.582516406E4
1.709411454E1,2.514287305E4
1.716078266E1,2.470277344E4
1.722745079E1,2.455947070E4
1.729411397E1,2.383283398E4
1.736078699E1,2.336546289E4
1.742744386E1,2.297315430E4
1.749411016E1,2.278550391E4
1.756078094E1,2.278550391E4
1.762745011E1,2.278550391E4
1.769411058E1,2.388062305E4
1.776077704E1,2.390789258E4
1.782744199E1,2.401704102E4
1.789410579E1,2.406820508E4
1.796077470E1,2.542259375E4
1.802743746E1,2.662686133E4
1.809410740E1,5.000001953E4
1.816077246E1,5.000001953E4
1.822743782E1,5.000001953E4
1.829410157E1,5.000001953E4
1.836077402E1,5.000001953E4
1.842743673E1,5.000001953E4
1.849409933E1,5.000001953E4
1.856076923E1,5.000001953E4
1.862743178E1,5.000001953E4
1.869409641E1,5.000001953E4
1.876077277E1,5.000001953E4
1.882743277E1,5.000001953E4
1.889409621E1,2.459018359E4
1.896076386E1,2.371342578E4
1.902743032E1,2.315391797E4
1.909409485E1,2.273771289E4
1.916076324E1,2.267635547E4
1.922742506E1,2.267635547E4
1.929409194E1,2.267635547E4
1.936076214E1,2.280939844E4
1.942742579E1,2.319144922E4
1.949409058E1,2.359064258E4
1.956075944E1,2.400003125E4
1.962742371E1,2.461407812E4
1.969408735E1,2.515988281E4
1.976075548E1,2.591041602E4
1.982742006E1,5.000001953E4
1.989408459E1,5.000001953E4
1.996075506E1,5.000001953E4
2.002742089E1,5.000001953E4
2.009408360E1,5.000001953E4
2.016075204E1,5.000001953E4
2.022741829E1,5.000001953E4
2.029408068E1,5.000001953E4
2.036075162E1,5.000001953E4
2.042741350E1,5.000001953E4
2.049407964E1,5.000001953E4
2.056075069E1,5.000001953E4
2.062741381E1,5.000001953E4
2.069407829E1,5.000001953E4
2.076074595E1,5.000001953E4
2.082741344E1,2.656887891E4
2.089407725E1,2.556245312E4
2.096074485E1,2.497567578E4
2.102740766E1,2.445369922E4
2.109407318E1,2.330066406E4
2.116074178E1,2.277524414E4
2.122740735E1,2.277524414E4
2.129407225E1,2.277524414E4
2.136074032E1,2.308911914E4
2.142740464E1,2.389425781E4
2.149406902E1,2.479146875E4
2.156073850E1,2.652108789E4
2.162740365E1,2.911383203E4
2.169406683E1,5.000001953E4
2.176073662E1,5.000001953E4
2.182740173E1,5.000001953E4
2.189406449E1,5.000001953E4
2.196073475E1,5.000001953E4
2.202739970E1,5.000001953E4
2.209406360E1,5.000001953E4
2.216073235E1,5.000001953E4
2.222739464E1,5.000001953E4
2.229406423E1,5.000001953E4
2.236073173E1,5.000001953E4
2.242739485E1,5.000001953E4
2.249405923E1,5.000001953E4
2.256072881E1,5.000001953E4
2.262739454E1,5.000001953E4
2.269405766E1,2.665075586E4
2.276072787E1,2.590704102E4
2.282739121E1,2.549421094E4
2.289405454E1,2.525546289E4
2.296072506E1,2.492113672E4
2.302739121E1,2.464816602E4
2.309405256E1,2.426611523E4
2.316072579E1,2.426611523E4
2.322738735E1,2.426611523E4
2.329405032E1,2.431383789E4
2.336072089E1,2.489379883E4
2.342738813E1,2.695437109E4
2.349404839E1,5.000001953E4
2.356071944E1,5.000001953E4
2.362738303E1,5.000001953E4
2.369404600E1,5.000001953E4
2.376071720E1,5.000001953E4
