"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.652594300E-1,-9.760000229E0,-3.014620018E1,-7.405400085E1
9.752594300E-1,-9.760000229E0,-3.015839958E1,-7.407839966E1
9.852594300E-1,-9.772199631E0,-3.014620018E1,-7.407839966E1
9.952594300E-1,-9.796599388E0,-3.014620018E1,-7.411499786E1
1.005259430E0,-9.906399727E0,-3.015839958E1,-7.410279846E1
1.015259430E0,-9.918600082E0,-3.018280029E1,-7.406620026E1
1.025259430E0,-9.967399597E0,-3.013399887E1,-7.406620026E1
1.035259430E0,-1.008939934E1,-3.014620018E1,-7.407839966E1
1.045259430E0,-1.011380005E1,-3.012179947E1,-7.409059906E1
1.055259430E0,-1.010159969E1,-3.013399887E1,-7.410279846E1
1.065259430E0,-9.845399857E0,-3.012179947E1,-7.404180145E1
1.075259430E0,-9.833199501E0,-3.010960007E1,-7.406620026E1
1.085259430E0,-9.698999405E0,-3.009739876E1,-7.420040131E1
1.095259430E0,-9.650199890E0,-3.014620018E1,-7.424919891E1
1.105259430E0,-9.576999664E0,-3.020719910E1,-7.427359772E1
1.115259430E0,-9.564800262E0,-3.012179947E1,-7.429799652E1
1.125259430E0,-9.467200279E0,-3.012179947E1,-7.435900116E1
1.135259430E0,-9.479399681E0,-3.009739876E1,-7.432239532E1
1.145259430E0,-9.711199760E0,-3.010960007E1,-7.434680176E1
1.155259430E0,-9.686800003E0,-3.006079865E1,-7.429799652E1
1.165259430E0,-9.735599518E0,-2.969479942E1,-7.472499847E1
1.175259430E0,-9.747799873E0,-2.967039871E1,-7.470059967E1
1.185259430E0,-9.760000229E0,-2.963379860E1,-7.467620087E1
1.195259430E0,-9.711199760E0,-2.971920013E1,-7.460299683E1
1.205259430E0,-9.808799744E0,-2.971920013E1,-7.454199982E1
1.215259430E0,-9.821000099E0,-2.973139954E1,-7.459079742E1
1.225259430E0,-9.845399857E0,-2.971920013E1,-7.460299683E1
1.235259430E0,-9.857600212E0,-2.980459976E1,-7.459079742E1
1.245259430E0,-9.845399857E0,-3.020719910E1,-7.407839966E1
1.255259430E0,-9.881999969E0,-3.021939850E1,-7.406620026E1
1.265259430E0,-9.942999840E0,-2.999979973E1,-7.451760101E1
1.275259430E0,-1.002839947E1,-2.998760033E1,-7.459079742E1
1.285259430E0,-1.001620007E1,-3.001199913E1,-7.461519623E1
1.295259430E0,-1.001620007E1,-3.003639984E1,-7.461519623E1
1.305259430E0,-1.000399971E1,-3.006079865E1,-7.459079742E1
1.315259430E0,-1.004059982E1,-3.002419853E1,-7.459079742E1
1.325259430E0,-1.002839947E1,-2.997539902E1,-7.459079742E1
1.335259430E0,-9.979599953E0,-2.996319962E1,-7.456639862E1
1.345259430E0,-9.955200195E0,-3.023159981E1,-7.412719727E1
1.355259430E0,-9.942999840E0,-3.023159981E1,-7.405400085E1
1.365259430E0,-9.967399597E0,-3.023159981E1,-7.407839966E1
1.375259430E0,-9.967399597E0,-3.020719910E1,-7.415159607E1
1.385259430E0,-1.004059982E1,-3.018280029E1,-7.418820190E1
1.395259430E0,-1.000399971E1,-3.014620018E1,-7.418820190E1
1.405259430E0,-1.004059982E1,-3.018280029E1,-7.420040131E1
1.415259430E0,-1.004059982E1,-3.017059898E1,-7.429799652E1
1.425259430E0,-1.002839947E1,-3.009739876E1,-7.424919891E1
1.435259430E0,-1.006499958E1,-3.006079865E1,-7.431019592E1
1.445259430E0,-1.002839947E1,-3.003639984E1,-7.428579712E1
1.455259430E0,-1.002839947E1,-3.003639984E1,-7.417599487E1
1.465259430E0,-9.955200195E0,-3.007299995E1,-7.411499786E1
1.475259430E0,-9.942999840E0,-3.007299995E1,-7.415159607E1
1.485259430E0,-9.942999840E0,-3.004859924E1,-7.420040131E1
1.495259430E0,-9.967399597E0,-3.004859924E1,-7.416379547E1
1.505259430E0,-9.942999840E0,-3.012179947E1,-7.423699951E1
1.515259430E0,-9.869799614E0,-3.010960007E1,-7.422480011E1
1.525259430E0,-9.869799614E0,-3.008519936E1,-7.420040131E1
1.535259430E0,-9.833199501E0,-3.010960007E1,-7.423699951E1
1.545259430E0,-9.857600212E0,-3.006079865E1,-7.431019592E1
1.555259430E0,-9.845399857E0,-3.008519936E1,-7.432239532E1
1.565259430E0,-9.821000099E0,-3.010960007E1,-7.431019592E1
1.575259430E0,-9.821000099E0,-3.009739876E1,-7.423699951E1
