"Time (s)","Illuminance (lx)"
0.000000000E0,1.441800049E3
5.402062800E-2,1.442610107E3
1.206758360E-1,1.442002563E3
1.873373470E-1,1.442002563E3
2.540050030E-1,1.441597534E3
3.206764090E-1,1.441800049E3
3.873362010E-1,1.441597534E3
4.540033880E-1,1.441597534E3
5.206722420E-1,1.441597534E3
5.873329190E-1,1.441597534E3
6.540031280E-1,1.441597534E3
7.206678670E-1,1.441597534E3
7.873307840E-1,1.440922607E3
8.540002630E-1,1.440922607E3
9.206675030E-1,1.441125000E3
9.873289610E-1,1.441125000E3
1.054004169E0,1.441125000E3
1.120670367E0,1.441395020E3
1.187327086E0,1.441395020E3
1.253997242E0,1.441395020E3
1.320661409E0,1.441395020E3
1.387329951E0,1.441395020E3
1.453995367E0,1.441597534E3
1.520660784E0,1.441597534E3
1.587322711E0,1.441597534E3
1.653996044E0,1.441597534E3
1.720659326E0,1.441800049E3
1.787323805E0,1.441800049E3
1.853991097E0,1.441597534E3
1.920657347E0,1.441800049E3
1.987321722E0,1.441800049E3
2.053988492E0,1.442205078E3
2.120658180E0,1.441800049E3
2.187317294E0,1.442205078E3
2.253986201E0,1.442407593E3
2.320656409E0,1.443082520E3
2.387318909E0,1.442407593E3
2.453984586E0,1.442610107E3
2.520654013E0,1.442610107E3
2.587312503E0,1.443082520E3
2.653987034E0,1.442880005E3
2.720654742E0,1.442880005E3
2.787311305E0,1.443082520E3
2.853980263E0,1.442880005E3
2.920649378E0,1.442880005E3
2.987309847E0,1.442610107E3
3.053979326E0,1.442610107E3
3.120650472E0,1.442610107E3
3.187306826E0,1.442610107E3
3.253975576E0,1.442205078E3
3.320644742E0,1.442610107E3
3.387305472E0,1.442205078E3
3.453979951E0,1.443082520E3
3.520641878E0,1.442205078E3
3.587303961E0,1.442205078E3
3.653971305E0,1.442205078E3
3.720638492E0,1.442205078E3
3.787305784E0,1.442205078E3
3.853971409E0,1.442205078E3
3.920635784E0,1.442205078E3
3.987297972E0,1.442002563E3
4.053970159E0,1.442002563E3
4.120641044E0,1.442002563E3
4.187296617E0,1.442205078E3
4.253964951E0,1.442407593E3
4.320631930E0,1.442407593E3
4.387295472E0,1.442407593E3
4.453968284E0,1.442407593E3
4.520628284E0,1.442407593E3
4.587293701E0,1.442880005E3
4.653962867E0,1.442407593E3
4.720628076E0,1.442880005E3
4.787291930E0,1.442610107E3
4.853961044E0,1.442880005E3
4.920627659E0,1.442610107E3
4.987289847E0,1.443082520E3
5.053958492E0,1.443082520E3
5.120631930E0,1.443082520E3
5.187288544E0,1.442610107E3
5.253961826E0,1.442407593E3
5.320627503E0,1.442407593E3
5.387285680E0,1.442407593E3
5.453956201E0,1.442610107E3
5.520629222E0,1.442610107E3
5.587288805E0,1.443082520E3
5.653952867E0,1.442610107E3
5.720618284E0,1.442610107E3
5.787284847E0,1.442610107E3
5.853954326E0,1.442610107E3
5.920615836E0,1.442610107E3
5.987279117E0,1.442407593E3
6.053947711E0,1.442407593E3
6.120615576E0,1.442407593E3
6.187280472E0,1.442407593E3
6.253950888E0,1.442610107E3
6.320613701E0,1.442610107E3
6.387275159E0,1.442610107E3
6.453944951E0,1.442610107E3
6.520610576E0,1.442610107E3
6.587275576E0,1.442610107E3
6.653944117E0,1.442205078E3
6.720610992E0,1.442205078E3
6.787271409E0,1.442205078E3
6.853943180E0,1.441597534E3
6.920611878E0,1.441597534E3
6.987268076E0,1.441597534E3
7.053938128E0,1.441395020E3
7.120609638E0,1.441125000E3
7.187269638E0,1.441125000E3
7.253935576E0,1.441395020E3
7.320602034E0,1.440720093E3
7.387264117E0,1.440720093E3
7.453934534E0,1.440720093E3
7.520601097E0,1.440720093E3
7.587268180E0,1.440517578E3
7.653931305E0,1.440517578E3
7.720600628E0,1.440517578E3
7.787260211E0,1.440315063E3
7.853929534E0,1.439842529E3
7.920604638E0,1.439842529E3
7.987257659E0,1.439842529E3
8.053931722E0,1.439235107E3
8.120594222E0,1.439842529E3
8.187256826E0,1.439235107E3
8.253928701E0,1.439032593E3
8.320592138E0,1.438830078E3
8.387254534E0,1.438830078E3
8.453922659E0,1.438560059E3
8.520590784E0,1.438560059E3
8.587256930E0,1.438830078E3
8.653923961E0,1.439032593E3
