"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.129276120E-1,3.523360062E1,-2.766959953E1,-3.251300049E1
1.229276120E-1,3.529459763E1,-2.781599998E1,-3.240319824E1
1.329276120E-1,3.509939957E1,-2.816979980E1,-3.213479996E1
1.429276120E-1,3.502619934E1,-2.843820000E1,-3.202499771E1
1.529276120E-1,3.486759949E1,-2.862119865E1,-3.186639977E1
1.629276120E-1,3.474559784E1,-2.882859993E1,-3.167119980E1
1.729276120E-1,3.457479858E1,-2.895059967E1,-3.175659943E1
1.829276120E-1,3.446500015E1,-2.926779938E1,-3.156139946E1
1.929276120E-1,3.420879745E1,-2.990219879E1,-3.118319893E1
2.029276120E-1,3.386719894E1,-3.060980034E1,-3.075619888E1
2.129276120E-1,3.356219864E1,-3.129299927E1,-3.026819992E1
2.229276120E-1,3.314739990E1,-3.215919876E1,-2.967039871E1
2.329276120E-1,3.297660065E1,-3.311079788E1,-2.908479881E1
2.429276120E-1,3.252519989E1,-3.408679962E1,-2.853579903E1
2.529276120E-1,3.213479996E1,-3.514820099E1,-2.777939987E1
2.629276120E-1,3.159799957E1,-3.608760071E1,-2.730360031E1
2.729276120E-1,3.092700005E1,-3.696599960E1,-2.699860001E1
2.829276120E-1,3.013399887E1,-3.753939819E1,-2.714499855E1
2.929276120E-1,2.935319901E1,-3.843000031E1,-2.705959892E1
3.029276120E-1,2.859679985E1,-3.918639755E1,-2.702299881E1
3.129276120E-1,2.749880028E1,-3.996719742E1,-2.691320038E1
3.229276120E-1,2.659599876E1,-4.074800110E1,-2.682779884E1
3.329276120E-1,2.558339882E1,-4.149219894E1,-2.684000015E1
3.429276120E-1,2.454640007E1,-4.218759918E1,-2.677899933E1
3.529276120E-1,2.352159882E1,-4.285860062E1,-2.659599876E1
3.629276120E-1,2.256999969E1,-4.387120056E1,-2.601039886E1
3.729276120E-1,2.155739975E1,-4.455439758E1,-2.587619972E1
3.829276120E-1,2.047159958E1,-4.518880081E1,-2.570539856E1
3.929276120E-1,1.945899963E1,-4.577439880E1,-2.554679871E1
4.029276120E-1,1.837319946E1,-4.642099762E1,-2.524180031E1
4.129276120E-1,1.744599915E1,-4.712859726E1,-2.468059921E1
4.229276120E-1,1.666519928E1,-4.779959869E1,-2.397299957E1
4.329276120E-1,1.621380043E1,-4.839739990E1,-2.311899948E1
4.429276120E-1,1.607959938E1,-4.884880066E1,-2.206979942E1
4.529276120E-1,1.639679909E1,-4.920259857E1,-2.072780037E1
4.629276120E-1,1.709219933E1,-4.947100067E1,-1.934919930E1
4.729276120E-1,1.800720024E1,-4.953199768E1,-1.801939964E1
4.829276120E-1,1.928820038E1,-4.939780045E1,-1.683600044E1
4.929276120E-1,2.069120026E1,-4.908060074E1,-1.581120014E1
5.029276120E-1,2.222839928E1,-4.861700058E1,-1.500599957E1
5.129276120E-1,2.361919975E1,-4.810459900E1,-1.445699978E1
5.229276120E-1,2.487579918E1,-4.759219742E1,-1.410319996E1
