"Time (s)","Illuminance (lx)"
2.345313300E-2,4.189725037E2
9.012334100E-2,4.189725037E2
1.567846950E-1,3.765150146E2
2.234368310E-1,3.680100098E2
2.900953200E-1,3.680100098E2
3.567556330E-1,3.680100098E2
4.234530810E-1,3.895425110E2
4.900703200E-1,3.895425110E2
5.567559970E-1,3.895425110E2
6.234311540E-1,1.251450043E2
6.901057370E-1,1.251450043E2
7.567746950E-1,1.166400070E2
8.234484970E-1,1.183275070E2
8.900888620E-1,1.251450043E2
9.567507370E-1,1.183275070E2
1.023420320E0,8.079750061E1
1.090018289E0,8.295750427E1
1.156770633E0,8.295750427E1
1.223414175E0,8.295750427E1
1.290082612E0,1.337174988E2
1.356748966E0,1.486350098E2
1.423415112E0,1.618650055E2
1.490100841E0,1.752975006E2
1.556763445E0,1.759050140E2
1.623409695E0,1.759050140E2
1.690052716E0,1.759050140E2
1.756779539E0,1.671975098E2
1.823432612E0,1.630800018E2
1.890076570E0,1.567350006E2
1.956740112E0,1.396575012E2
2.023404487E0,1.249425049E2
2.090108237E0,1.175175018E2
2.156758966E0,1.117125015E2
2.223404070E0,1.102275009E2
2.290053289E0,1.102275009E2
2.356740008E0,1.102275009E2
2.423409695E0,1.113075027E2
2.490095841E0,1.428300018E2
2.556734487E0,1.466775055E2
2.623399956E0,1.584225006E2
2.690076258E0,1.605825043E2
2.756738237E0,1.605825043E2
2.823416206E0,1.584225006E2
2.890060216E0,1.580175018E2
2.956730372E0,1.387799988E2
3.023400529E0,1.264275055E2
3.090088966E0,1.142775040E2
3.156750529E0,1.040175018E2
3.223435320E0,9.807750702E1
3.290064070E0,9.402750397E1
3.356726883E0,9.342000580E1
3.423391206E0,9.342000580E1
3.490080945E0,9.213750458E1
3.556759487E0,9.342000580E1
3.623392300E0,9.342000580E1
3.690058341E0,9.551250458E1
3.756724904E0,9.807750702E1
3.823431570E0,9.807750702E1
3.890073862E0,9.807750702E1
3.956720008E0,9.591750336E1
4.023396779E0,9.274500275E1
4.090059591E0,8.937000275E1
4.156745112E0,8.869500732E1
4.223401466E0,8.680500031E1
4.290053289E0,8.680500031E1
4.356719383E0,8.680500031E1
4.423381466E0,8.957250214E1
4.490080216E0,9.274500275E1
4.556733550E0,9.976500702E1
4.623379070E0,1.017225037E2
4.690049956E0,1.019250031E2
4.756729383E0,1.019250031E2
4.823376622E0,1.040175018E2
4.890063445E0,1.134000015E2
4.956722300E0,1.225800018E2
5.023379800E0,1.364850006E2
5.090044591E0,1.435050049E2
5.156734904E0,1.528875122E2
5.223389279E0,1.643625031E2
5.290046779E0,1.643625031E2
5.356706675E0,1.643625031E2
5.423375216E0,1.541700134E2
5.490040841E0,1.407375031E2
5.556729070E0,1.407375031E2
5.623372820E0,1.407375031E2
5.690039800E0,1.460700073E2
5.756701622E0,1.573424988E2
5.823372925E0,1.573424988E2
5.890061362E0,1.573424988E2
5.956701154E0,1.460700073E2
6.023365425E0,1.460700073E2
6.090034279E0,1.460700073E2
6.156707404E0,1.481625061E2
6.223378029E0,1.788750000E2
6.290037300E0,2.081025085E2
6.356696206E0,2.405025024E2
6.423370216E0,2.750625000E2
6.490062612E0,3.140775146E2
6.556715320E0,3.784725037E2
6.623398445E0,5.364900513E2
6.690029383E0,5.840100098E2
6.756697716E0,6.419925537E2
6.823357404E0,6.524550171E2
6.890044122E0,6.558300171E2
6.956713550E0,6.908625488E2
7.023355320E0,7.516125488E2
7.090026362E0,7.516125488E2
7.156707612E0,7.516125488E2
7.223368133E0,6.737850342E2
7.290044487E0,5.983200073E2
7.356686883E0,5.015250244E2
7.423350945E0,5.015250244E2
7.490021154E0,5.015250244E2
7.556732716E0,5.349375000E2
7.623348445E0,5.368950195E2
7.690019695E0,5.368950195E2
7.756691362E0,5.368950195E2
7.823354591E0,4.522500305E2
7.890038237E0,4.074300232E2
7.956698133E0,3.633525085E2
8.023344904E0,2.596725159E2
8.090015112E0,2.384100037E2
8.156678237E0,2.283525085E2
8.223357872E0,2.283525085E2
8.290035945E0,2.283525085E2
8.356678654E0,2.334825134E2
8.423342612E0,2.343600159E2
8.490020112E0,2.343600159E2
8.556721050E0,2.377350159E2
8.623354487E0,2.403000031E2
8.690006154E0,2.413800049E2
8.756670789E0,2.419875031E2
8.823336362E0,2.419875031E2
8.890031362E0,2.403000031E2
8.956691154E0,2.403000031E2
9.023336622E0,2.400975037E2
9.090005112E0,2.400975037E2
9.156662195E0,2.384100037E2
9.223344487E0,2.384100037E2
9.290023654E0,2.384100037E2
9.356668445E0,2.428650055E2
9.423330320E0,2.428650055E2
9.490002716E0,2.456325073E2
9.556665529E0,2.475225067E2
9.623345633E0,2.515725098E2
9.690005529E0,2.641950073E2
9.756661466E0,2.641950073E2
9.823332872E0,2.641950073E2
9.889997404E0,2.569049988E2
9.956681206E0,2.373300018E2
1.002333157E1,1.963575134E2
1.008999980E1,1.588274994E2
1.015666522E1,1.509300079E2
1.022332178E1,1.396575012E2
1.029002032E1,1.350000000E2
1.035667324E1,1.350000000E2
1.042332074E1,1.350000000E2
1.048999168E1,1.350000000E2
1.055665522E1,1.422225037E2
1.062333438E1,1.422225037E2
1.069000871E1,1.422225037E2
1.075665220E1,1.422225037E2
1.082331938E1,1.428300018E2
1.088998678E1,1.428300018E2
1.095667115E1,1.437075043E2
1.102331261E1,1.445850067E2
