"Time (s)","Illuminance (lx)"
2.081876800E-2,2.424937500E3
8.749231000E-2,2.485080078E3
1.541559560E-1,2.507489990E3
2.208282480E-1,2.508975098E3
2.874679350E-1,2.637967529E3
3.541396020E-1,2.637967529E3
4.207973620E-1,2.507489990E3
4.874856950E-1,2.247344971E3
5.541654870E-1,2.247344971E3
6.208027270E-1,2.247344971E3
6.874616850E-1,2.321325195E3
7.541267890E-1,2.492775146E3
8.207956430E-1,2.505937500E3
8.874816850E-1,2.624940186E3
9.541275180E-1,2.624940186E3
1.020796789E0,2.654977539E3
1.087405852E0,2.654977539E3
1.154157831E0,3.204900146E3
1.220791529E0,3.204900146E3
1.287456268E0,3.571830078E3
1.354129185E0,4.810860352E3
1.420790018E0,5.466757812E3
1.487469289E0,6.060352539E3
1.554148352E0,6.060352539E3
1.620796477E0,6.060352539E3
1.687451893E0,4.645417480E3
1.754122206E0,3.831772705E3
1.820786685E0,3.381480225E3
1.887470956E0,3.266932617E3
1.954157779E0,3.266932617E3
2.020788456E0,3.266932617E3
2.087401581E0,3.289140137E3
2.154140643E0,3.289140137E3
2.220782987E0,3.508987549E3
2.287469445E0,4.024957764E3
2.354114289E0,5.413229980E3
2.420784706E0,5.579077637E3
2.487444393E0,5.600002930E3
2.554139393E0,5.813640137E3
2.620811685E0,5.813640137E3
2.687445956E0,5.813640137E3
2.754112102E0,5.375700195E3
2.820782935E0,3.534300049E3
2.887458195E0,3.534300049E3
2.954146529E0,3.534300049E3
3.020777206E0,4.889092773E3
3.087445643E0,4.889092773E3
3.154121685E0,4.889092773E3
3.220773352E0,5.276340332E3
3.287453352E0,4.249867676E3
3.354115643E0,4.249867676E3
3.420773352E0,4.841167480E3
3.487435227E0,4.841167480E3
3.554124029E0,4.841167480E3
3.620765123E0,5.293417480E3
3.687430279E0,4.841167480E3
3.754100123E0,3.907642578E3
3.820768873E0,3.907642578E3
3.887440435E0,3.197205078E3
3.954125435E0,3.118972656E3
4.020763039E0,3.025350098E3
4.087434393E0,3.025350098E3
4.154093195E0,3.025350098E3
4.220759289E0,3.059505127E3
4.287445227E0,3.098722656E3
4.354093248E0,3.098722656E3
4.420759289E0,3.059505127E3
4.487423664E0,3.081037598E3
4.554108143E0,3.081037598E3
4.620787935E0,3.048637695E3
4.687457310E0,3.048637695E3
4.754088873E0,3.048637695E3
4.820754602E0,2.730712646E3
4.887431373E0,2.515995117E3
4.954110279E0,2.515995117E3
5.020791477E0,2.351835205E3
5.087435227E0,1.907010132E3
5.154090018E0,1.907010132E3
5.220750643E0,1.860097534E3
5.287430123E0,1.830937622E3
5.354095331E0,1.830937622E3
5.420748143E0,1.830937622E3
5.487409289E0,2.229457520E3
5.554082206E0,2.238570068E3
5.620766477E0,2.238570068E3
5.687427362E0,2.238570068E3
5.754081373E0,2.238570068E3
