"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.412625620E-1,5.236240020E1,4.880401400E0,2.419564600E0,0.000000000E0,0.000000000E0,2.868499947E1,1.246795273E1
4.322770780E0,5.236232188E1,4.881070950E0,5.882289061E1,2.410000086E0,3.171000061E2,1.631651688E1,1.674024773E1
5.326745363E0,5.236237502E1,4.881070890E0,6.912313639E1,3.269999981E0,3.098999939E2,1.623543358E1,1.693296051E1
6.324701925E0,5.236235048E1,4.880987740E0,7.403162307E1,3.319999933E0,2.942000122E2,1.519719028E1,1.550575161E1
7.325092498E0,5.236235613E1,4.880963880E0,8.042736920E1,2.339999914E0,3.041000061E2,1.359001732E1,1.365779400E1
8.330927445E0,5.236239159E1,4.880930260E0,8.342715562E1,2.930000067E0,3.060000000E2,1.282873058E1,1.319367123E1
9.328501143E0,5.236240458E1,4.880940210E0,8.893914257E1,4.449999809E0,3.196000061E2,1.077088737E1,1.172799873E1
1.032536739E1,5.236240264E1,4.880908950E0,8.658560615E1,3.460000038E0,3.193999939E2,9.877811432E0,1.049619865E1
1.132592474E1,5.236242716E1,4.880871040E0,8.597355826E1,4.219999790E0,3.445000000E2,7.439331055E0,8.381550789E0
1.232618572E1,5.236247346E1,4.880823520E0,8.307698962E1,4.760000229E0,3.311000061E2,7.841866016E0,8.221016884E0
1.332658671E1,5.236251431E1,4.880790430E0,8.266974048E1,4.150000095E0,3.383999939E2,8.271065712E0,7.487037182E0
1.432467765E1,5.236271405E1,4.880850020E0,7.566181675E1,1.088000011E1,1.119999981E1,1.032835960E1,7.930767059E0
1.532782296E1,5.236292114E1,4.880970520E0,6.846149474E1,1.539000034E1,1.820000076E1,1.091705513E1,7.961396217E0
1.632477208E1,5.236293971E1,4.880969940E0,6.269443074E1,7.289999962E0,2.120000076E1,8.843457222E0,7.693611145E0
1.732456791E1,5.236297155E1,4.880982740E0,5.923165344E1,3.059999943E0,1.339999962E1,7.957942009E0,7.846259117E0
1.832687786E1,5.236303865E1,4.881069710E0,5.475157369E1,4.780000210E0,5.800000000E1,7.586047649E0,7.988229752E0
1.932509364E1,5.236308126E1,4.881074790E0,5.510344334E1,4.079999924E0,3.709999847E1,6.766317844E0,7.623071194E0
2.032427963E1,5.236310785E1,4.881092770E0,5.334537354E1,3.539999962E0,5.900000000E1,6.536405563E0,7.476665974E0
2.132484765E1,5.236314020E1,4.881140190E0,5.119664285E1,4.360000134E0,5.150000000E1,6.645770550E0,7.538700104E0
2.233095843E1,5.236316469E1,4.881199480E0,5.064208518E1,4.760000229E0,5.840000153E1,7.166723251E0,7.775658131E0
2.332487301E1,5.236319442E1,4.881189920E0,4.977255370E1,4.079999924E0,3.160000038E1,6.751531124E0,7.695900440E0
2.432705202E1,5.236321424E1,4.881251270E0,4.883328605E1,4.239999771E0,5.340000153E1,7.392576218E0,8.071945190E0
2.532554197E1,5.236323983E1,4.881297870E0,4.547226508E1,4.639999866E0,5.229999924E1,7.935806274E0,7.850970745E0
2.632462468E1,5.236328336E1,4.881386220E0,3.927047323E1,5.429999828E0,5.420000076E1,8.061478615E0,7.810090542E0
2.732774009E1,5.236333414E1,4.881496470E0,3.525968326E1,4.889999866E0,4.859999847E1,7.757434368E0,7.741565228E0
2.832619869E1,5.236336797E1,4.881571250E0,3.301764773E1,5.110000134E0,5.109999847E1,7.738708019E0,7.664390087E0
2.932453218E1,5.236339767E1,4.881627240E0,3.119563945E1,5.269999981E0,5.120000076E1,7.586534500E0,7.335427284E0
3.032459072E1,5.236343520E1,4.881694060E0,2.936485941E1,5.050000191E0,4.650000000E1,7.643002510E0,7.285623550E0
3.132504957E1,5.236347858E1,4.881782760E0,2.766276238E1,5.340000153E0,4.790000153E1,8.171528816E0,7.496891499E0
3.232477030E1,5.236352395E1,4.881879830E0,2.550339760E1,5.849999905E0,4.800000000E1,9.544446945E0,7.804293156E0
3.332466900E1,5.236356366E1,4.881954740E0,2.453334309E1,4.949999809E0,4.550000000E1,9.294675827E0,8.093133926E0
3.432624853E1,5.236360778E1,4.882046890E0,2.251203524E1,4.789999962E0,4.920000076E1,9.576484680E0,8.410025597E0
3.532726051E1,5.236364204E1,4.882100690E0,2.200662148E1,4.619999886E0,4.890000153E1,1.086656857E1,8.724212646E0
3.632532176E1,5.236366421E1,4.882159140E0,2.172842726E1,4.090000153E0,5.179999924E1,1.155005264E1,9.111713409E0
3.732561816E1,5.236368778E1,4.882178890E0,2.279890648E1,2.359999895E0,3.329999924E1,1.159395218E1,9.174866676E0
3.832468749E1,5.236370849E1,4.882248500E0,2.267605113E1,4.360000134E0,4.520000076E1,1.210769081E1,9.191418648E0
3.932414561E1,5.236370828E1,4.882222820E0,2.408887778E1,2.849999905E0,3.116000061E2,9.904514313E0,8.962134361E0
4.032351618E1,5.236371156E1,4.882218810E0,2.247273018E1,1.509999990E0,3.400000000E2,1.007829189E1,9.106312752E0
4.132305634E1,5.236372005E1,4.882202700E0,2.263368255E1,1.350000024E0,3.356000061E2,1.058226681E1,8.846454620E0
4.232541889E1,5.236372776E1,4.882171660E0,2.185517205E1,3.319999933E0,3.327999878E2,8.334802628E0,7.813293457E0
4.332638040E1,5.236373668E1,4.882142650E0,2.005786561E1,3.130000114E0,3.340000000E2,7.477050781E0,7.238411903E0
4.432502566E1,5.236375457E1,4.882112920E0,1.932386485E1,3.710000038E0,3.380000000E2,6.416966438E0,6.608749390E0
4.532508035E1,5.236377345E1,4.882080000E0,2.129213416E1,3.140000105E0,3.313999939E2,6.332001686E0,6.719004631E0
4.632719196E1,5.236379902E1,4.882035400E0,2.103170741E1,4.610000134E0,3.228999939E2,5.856125832E0,6.365111828E0
4.732517733E1,5.236383119E1,4.881923690E0,1.906470819E1,5.230000019E0,3.112000122E2,5.489723682E0,6.007346153E0
4.832478097E1,5.236386553E1,4.881881040E0,1.808896291E1,5.059999943E0,3.073999939E2,5.434077740E0,5.833081722E0
4.932553555E1,5.236389775E1,4.881826150E0,1.749156448E1,5.230000019E0,3.177999878E2,5.426229954E0,5.711626053E0
5.032549696E1,5.236393542E1,4.881782420E0,1.791523733E1,5.150000095E0,3.208999939E2,5.916653633E0,5.710186005E0
5.132576717E1,5.236397548E1,4.881728220E0,1.760917116E1,4.909999847E0,3.223999939E2,5.182007790E0,5.325609207E0
5.232988420E1,5.236400816E1,4.881680120E0,1.820983639E1,4.079999924E0,3.225000000E2,5.279877186E0,5.506804466E0
5.332453993E1,5.236405124E1,4.881631420E0,1.798239094E1,4.849999905E0,3.230000000E2,5.397386551E0,5.728038788E0
5.432476576E1,5.236408659E1,4.881593170E0,1.913726485E1,4.309999943E0,3.183999939E2,5.638354778E0,6.040269375E0
5.532492342E1,5.236412162E1,4.881550500E0,1.979305128E1,4.320000172E0,3.225000000E2,5.860947609E0,6.279919624E0
5.632545430E1,5.236415094E1,4.881500490E0,1.981430393E1,4.420000076E0,3.128999939E2,5.985984802E0,6.440429688E0
5.732660420E1,5.236418849E1,4.881435800E0,1.957304749E1,5.170000076E0,3.165000000E2,6.144813538E0,6.653209209E0
5.832435472E1,5.236423139E1,4.881372130E0,1.882069078E1,5.599999905E0,3.200000000E2,6.160811901E0,6.735583305E0
5.932466618E1,5.236426798E1,4.881326700E0,1.894547195E1,5.070000172E0,3.217999878E2,6.752079964E0,6.858335972E0
6.032354842E1,5.236428868E1,4.881291590E0,1.913957262E1,3.210000038E0,3.136000061E2,7.172710419E0,7.021574497E0
6.132379638E1,5.236430475E1,4.881242470E0,1.982273337E1,3.279999971E0,2.931000061E2,7.372075081E0,6.749553680E0
6.232595008E1,5.236431420E1,4.881192720E0,1.926497867E1,3.359999895E0,2.830000000E2,7.249627113E0,6.635541916E0
6.332391831E1,5.236437542E1,4.881136870E0,1.852168551E1,5.559999943E0,3.267000122E2,6.751134396E0,6.420136452E0
6.432528305E1,5.236442092E1,4.881057940E0,1.926047353E1,5.809999943E0,3.168999939E2,1.126472664E1,6.410224915E0
6.532670758E1,5.236447405E1,4.881000020E0,1.959858866E1,5.880000114E0,3.220000000E2,1.121534729E1,6.505879402E0
6.632507956E1,5.236450511E1,4.880930360E0,1.909297693E1,5.570000172E0,3.122999878E2,1.104506397E1,6.337173939E0
6.732447529E1,5.236455706E1,4.880877390E0,1.891852001E1,5.739999771E0,3.188999939E2,1.099007416E1,6.280280113E0
6.832466878E1,5.236458767E1,4.880822120E0,1.852699067E1,5.409999847E0,3.166000061E2,1.099485302E1,6.315001488E0
6.932725570E1,5.236463154E1,4.880764390E0,1.795048104E1,5.260000229E0,3.175000000E2,1.080586243E1,6.060330868E0
7.032428940E1,5.236467198E1,4.880717490E0,1.689283269E1,5.050000191E0,3.200000000E2,1.083841705E1,5.976424217E0
7.132387607E1,5.236472564E1,4.880659270E0,1.658952994E1,5.619999886E0,3.222000122E2,1.088398170E1,6.021153450E0
7.232505393E1,5.236476325E1,4.880614100E0,1.595210565E1,5.320000172E0,3.241000061E2,1.069702911E1,5.702419281E0
7.332660018E1,5.236479430E1,4.880562910E0,1.575619696E1,5.070000172E0,3.172000122E2,1.063585854E1,5.548253536E0
7.432812112E1,5.236483862E1,4.880525840E0,1.541584493E1,5.389999866E0,3.272999878E2,1.060803604E1,5.583802223E0
7.532853409E1,5.236487619E1,4.880484210E0,1.542380838E1,4.610000134E0,3.292999878E2,1.062753487E1,5.417809010E0
7.632607638E1,5.236490933E1,4.880461330E0,1.549037018E1,3.920000076E0,3.287000122E2,1.057974529E1,5.564917088E0
7.732515929E1,5.236495250E1,4.880428460E0,1.696862247E1,4.829999924E0,3.342999878E2,1.051199150E1,5.496093273E0
7.832547487E1,5.236498973E1,4.880390060E0,1.697060586E1,4.510000229E0,3.295000000E2,1.084613132E1,5.659678936E0
7.932496419E1,5.236501470E1,4.880340650E0,1.668338103E1,4.519999981E0,3.188999939E2,1.151296139E1,5.953508854E0
8.032450815E1,5.236504082E1,4.880312170E0,1.716362598E1,4.070000172E0,3.278999939E2,1.203987217E1,6.245587349E0
8.132727221E1,5.236506959E1,4.880267630E0,1.748804263E1,4.429999828E0,3.247000122E2,1.237924671E1,6.247247696E0
8.232531612E1,5.236510258E1,4.880272840E0,1.869909068E1,3.990000010E0,3.406000061E2,1.180467606E1,6.277986050E0
8.332696033E1,5.236513550E1,4.880227840E0,1.850422580E1,5.059999943E0,3.406000061E2,1.178156757E1,6.524106026E0
8.432553674E1,5.236515170E1,4.880201400E0,1.979750726E1,4.090000153E0,3.355000000E2,1.151649094E1,6.460069180E0
8.532426247E1,5.236521912E1,4.880198360E0,1.752214887E1,4.699999809E0,3.377000122E2,1.097177887E1,5.793205261E0
8.632594950E1,5.236526119E1,4.880176520E0,1.632438060E1,5.000000000E0,3.408999939E2,1.074517822E1,5.532482147E0
8.732495820E1,5.236530502E1,4.880138290E0,1.640700083E1,5.150000095E0,3.407000122E2,1.069603348E1,5.501781940E0
8.832795257E1,5.236535045E1,4.880114910E0,1.667163874E1,5.010000229E0,3.418999939E2,1.049534416E1,5.259534836E0
8.932983424E1,5.236540452E1,4.880107370E0,1.715541421E1,5.309999943E0,3.437999878E2,1.048013401E1,5.197642326E0
