"event","experiment time","system time","system time text"
"START",0.000000000E0,1686146608.692,"2023-06-07 16:03:28.692 UTC+02:00"
"PAUSE",6.000759131E2,1686147208.768,"2023-06-07 16:13:28.768 UTC+02:00"
