"event","experiment time","system time","system time text"
"START",0.000000000E0,1686152664.790,"2023-06-07 17:44:24.790 UTC+02:00"
"PAUSE",1.499042172E2,1686152814.694,"2023-06-07 17:46:54.694 UTC+02:00"
"START",1.499042172E2,1686152840.594,"2023-06-07 17:47:20.594 UTC+02:00"
"PAUSE",5.100012696E2,1686153200.692,"2023-06-07 17:53:20.692 UTC+02:00"
