"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.834133090E-1,5.237722250E1,4.877688800E0,1.838879959E0,0.000000000E0,0.000000000E0,3.959999847E1,3.860446215E0
2.020241331E1,5.237730500E1,4.877729300E0,1.839019735E0,0.000000000E0,0.000000000E0,1.403699970E1,1.000000000E0
4.094041331E1,5.237730090E1,4.877728200E0,1.839013318E0,0.000000000E0,0.000000000E0,2.250000000E1,3.563807249E0
6.056441331E1,5.237729910E1,4.877726100E0,1.839009562E0,0.000000000E0,0.000000000E0,2.250000000E1,2.161948681E0
8.025941331E1,5.237727340E1,4.877710800E0,1.838964460E0,0.000000000E0,0.000000000E0,1.674799919E1,1.441819549E0
1.002384133E2,5.237728220E1,4.877714700E0,1.838979126E0,0.000000000E0,0.000000000E0,2.360000038E1,1.981071472E0
1.202584133E2,5.237728140E1,4.877716000E0,1.838978754E0,0.000000000E0,0.000000000E0,1.714500046E1,1.530206919E0
1.408464133E2,5.237729930E1,4.877720700E0,1.839006707E0,0.000000000E0,0.000000000E0,2.250000000E1,2.987910271E0
1.602814133E2,5.237722450E1,4.877696700E0,1.838887366E0,0.000000000E0,0.000000000E0,1.595800018E1,2.207354546E0
1.803144133E2,5.237727740E1,4.877716300E0,1.838973292E0,0.000000000E0,0.000000000E0,2.250000000E1,1.654449105E0
2.003094133E2,5.237730580E1,4.877728300E0,1.839020281E0,0.000000000E0,0.000000000E0,2.250000000E1,1.916429996E0
2.203694133E2,5.237731580E1,4.877746600E0,1.839045003E0,0.000000000E0,0.000000000E0,1.481400013E1,1.285295010E0
2.410454133E2,5.237729320E1,4.877717100E0,1.838996020E0,0.000000000E0,0.000000000E0,2.089999962E1,2.888505220E0
2.603484133E2,5.237726510E1,4.877700100E0,1.838946549E0,0.000000000E0,0.000000000E0,1.884099960E1,1.700953960E0
2.803514133E2,5.237728920E1,4.877723000E0,1.838993811E0,0.000000000E0,0.000000000E0,2.160000038E1,1.703372240E0
3.003694133E2,5.237728480E1,4.877717200E0,1.838984242E0,0.000000000E0,0.000000000E0,2.160000038E1,2.099810839E0
3.203884133E2,5.237727710E1,4.877714500E0,1.838971824E0,0.000000000E0,0.000000000E0,1.591800022E1,1.342617631E0
3.403804133E2,5.237728490E1,4.877713100E0,1.838982001E0,0.000000000E0,0.000000000E0,1.528600025E1,1.391581893E0
