"Time (s)","Illuminance (lx)"
6.417787300E-2,1.263735107E3
1.308280810E-1,1.263735107E3
1.974929770E-1,1.263330078E3
2.641582370E-1,1.263330078E3
3.308220390E-1,1.262655029E3
3.974902690E-1,1.262250000E3
4.641609980E-1,1.262250000E3
5.308220390E-1,1.262655029E3
5.974881850E-1,1.262047607E3
6.641542270E-1,1.261845093E3
7.308223000E-1,1.261642578E3
7.974908940E-1,1.261440063E3
8.641521440E-1,1.260157593E3
9.308159980E-1,1.260157593E3
9.974859980E-1,1.259685059E3
1.064149644E0,1.259482544E3
1.130816310E0,1.259280029E3
1.197484175E0,1.258200073E3
1.264150164E0,1.258200073E3
1.330811414E0,1.257322510E3
1.397481519E0,1.257119995E3
1.464150373E0,1.256917603E3
1.530809435E0,1.256512573E3
1.597478758E0,1.255635010E3
1.664146519E0,1.255432495E3
1.730808185E0,1.254825073E3
1.797478498E0,1.254150024E3
1.864141883E0,1.253744995E3
1.930805425E0,1.253542603E3
1.997473914E0,1.252665039E3
2.064142873E0,1.252260010E3
2.130804227E0,1.251585083E3
2.197474956E0,1.251585083E3
2.264138550E0,1.251180054E3
2.330802873E0,1.250775024E3
2.397473394E0,1.250505005E3
2.464136883E0,1.249492554E3
2.530804800E0,1.249222534E3
2.597469383E0,1.249222534E3
2.664135633E0,1.248614990E3
2.730798550E0,1.247737549E3
2.797466519E0,1.247737549E3
2.864137456E0,1.247332520E3
2.930796623E0,1.246927490E3
2.997465998E0,1.246725098E3
3.064133914E0,1.246927490E3
3.130794175E0,1.246725098E3
3.197462352E0,1.245847534E3
3.264137560E0,1.245442505E3
3.330791102E0,1.244767578E3
3.397460164E0,1.244565063E3
3.464126050E0,1.244160034E3
3.530792300E0,1.242877563E3
3.597457300E0,1.242675049E3
3.664123706E0,1.242202515E3
3.730786623E0,1.241797607E3
3.797455894E0,1.241392578E3
3.864122091E0,1.240110107E3
3.930786154E0,1.239840088E3
3.997453914E0,1.239840088E3
4.064120164E0,1.238355103E3
4.130782873E0,1.237342529E3
4.197451883E0,1.237342529E3
4.264118341E0,1.236667603E3
4.330781102E0,1.235790039E3
4.397450529E0,1.235385010E3
4.464118133E0,1.234980103E3
4.530779748E0,1.234980103E3
4.597455164E0,1.234305054E3
4.664114175E0,1.233292603E3
4.730779123E0,1.232617554E3
4.797445164E0,1.232212524E3
4.864114539E0,1.232010010E3
4.930775789E0,1.231132568E3
4.997442873E0,1.230457520E3
5.064110008E0,1.230052490E3
5.130772612E0,1.229647583E3
5.197441466E0,1.229242554E3
5.264109800E0,1.227960083E3
5.330772039E0,1.227690063E3
5.397439331E0,1.227690063E3
5.464104539E0,1.226407593E3
5.530769123E0,1.224720093E3
5.597438498E0,1.224720093E3
5.664106466E0,1.223032593E3
5.730767456E0,1.222830078E3
5.797437664E0,1.222627563E3
5.864101623E0,1.221952515E3
5.930765633E0,1.220670044E3
5.997437039E0,1.220467529E3
6.064100477E0,1.219387573E3
6.130762977E0,1.218982544E3
6.197433394E0,1.218577515E3
6.264098341E0,1.217902588E3
6.330765841E0,1.217025024E3
6.397429644E0,1.216012573E3
6.464097664E0,1.215810059E3
6.530758706E0,1.214730103E3
6.597429748E0,1.214055054E3
6.664097508E0,1.212570068E3
6.730756414E0,1.212165039E3
6.797426831E0,1.211287598E3
6.864095164E0,1.210207520E3
6.930754331E0,1.209195068E3
6.997426466E0,1.209195068E3
7.064088914E0,1.207440063E3
7.130753602E0,1.207035034E3
7.197423966E0,1.205550049E3
7.264088185E0,1.204672607E3
7.330752456E0,1.204672607E3
7.397420789E0,1.204267578E3
7.464086206E0,1.202985107E3
7.530749019E0,1.201702515E3
7.597419644E0,1.201297607E3
7.664084539E0,1.200622559E3
7.730747769E0,1.199340088E3
7.797415581E0,1.198530029E3
7.864082144E0,1.198530029E3
7.930744748E0,1.196572510E3
7.997416519E0,1.195965088E3
8.064080789E0,1.194885010E3
8.130743081E0,1.194682495E3
8.197409956E0,1.193197510E3
8.264079383E0,1.191915039E3
8.330742456E0,1.191239990E3
8.397409539E0,1.191037598E3
8.464075998E0,1.189350098E3
8.530738498E0,1.188067505E3
8.597409383E0,1.187392578E3
8.664073289E0,1.186110107E3
8.730739852E0,1.185705078E3
8.797406519E0,1.184422607E3
8.864073185E0,1.184220093E3
8.930733394E0,1.182330078E3
8.997402977E0,1.181655029E3
9.064070164E0,1.181250000E3
9.130732873E0,1.179765015E3
9.197406206E0,1.179292603E3
9.264067352E0,1.179292603E3
9.330730216E0,1.177605103E3
9.397401050E0,1.176997559E3
9.464065164E0,1.176119995E3
9.530728550E0,1.175917603E3
9.597397456E0,1.174837524E3
9.664062300E0,1.173555054E3
9.730728289E0,1.173555054E3
9.797399123E0,1.173352539E3
9.864060894E0,1.172475098E3
9.930724956E0,1.171192505E3
9.997394852E0,1.170787598E3
1.006405860E1,1.169100098E3
1.013072313E1,1.168897583E3
1.019739246E1,1.167817505E3
1.026405980E1,1.167345093E3
1.033072048E1,1.166130005E3
1.039739225E1,1.166130005E3
1.046405714E1,1.164577515E3
1.053071923E1,1.163970093E3
1.059739058E1,1.163565063E3
1.066405579E1,1.163295044E3
1.073071694E1,1.162080078E3
1.079739225E1,1.160797485E3
1.086405131E1,1.160527588E3
1.093072162E1,1.159920044E3
1.099738704E1,1.159244995E3
1.106405475E1,1.157760010E3
1.113071631E1,1.157557495E3
1.119738433E1,1.156747559E3
1.126404850E1,1.156747559E3
1.133071522E1,1.155195068E3
1.139738105E1,1.155195068E3
1.146404735E1,1.153912598E3
1.153070860E1,1.153710083E3
1.159738089E1,1.153305054E3
1.166404418E1,1.152697510E3
1.173070600E1,1.152225098E3
1.179737558E1,1.152022583E3
1.186404506E1,1.150942505E3
1.193070444E1,1.150739990E3
1.199737355E1,1.150537598E3
1.206404121E1,1.150132568E3
1.213070214E1,1.149862549E3
1.219737225E1,1.148647583E3
1.226403766E1,1.148377563E3
1.233070225E1,1.148175049E3
1.239737350E1,1.148175049E3
1.246403813E1,1.147095093E3
1.253069881E1,1.146690063E3
1.259737058E1,1.146285034E3
1.266403605E1,1.145812500E3
1.273069600E1,1.145205078E3
1.279736766E1,1.144530029E3
1.286403287E1,1.143922485E3
1.293069527E1,1.143720093E3
1.299736621E1,1.142842529E3
1.306403235E1,1.142640015E3
1.313069152E1,1.142437500E3
1.319736746E1,1.142032593E3
1.326402996E1,1.141155029E3
1.333069308E1,1.140952515E3
1.339736105E1,1.140750000E3
1.346402506E1,1.140480103E3
1.353069329E1,1.140480103E3
1.359735964E1,1.140075073E3
1.366402391E1,1.139467529E3
1.373068589E1,1.138994995E3
1.379735730E1,1.138792603E3
1.386402121E1,1.138590088E3
1.393068652E1,1.137982544E3
1.399735319E1,1.137712524E3
1.406402131E1,1.137982544E3
1.413068298E1,1.137712524E3
1.419735266E1,1.137307495E3
1.426401944E1,1.137307495E3
1.433068058E1,1.136700073E3
1.439735141E1,1.136430054E3
1.446401610E1,1.136430054E3
1.453067855E1,1.136025024E3
1.459734746E1,1.135822510E3
1.466401438E1,1.136025024E3
1.473067558E1,1.135822510E3
1.479734829E1,1.135822510E3
1.486401131E1,1.135417603E3
1.493067516E1,1.135619995E3
1.499734391E1,1.135417603E3
1.506401152E1,1.135619995E3
1.513067329E1,1.135417603E3
1.519735089E1,1.135619995E3
1.526401516E1,1.135147583E3
1.533067464E1,1.134945068E3
1.539734048E1,1.134945068E3
1.546400605E1,1.134945068E3
1.553066839E1,1.134742554E3
1.559734037E1,1.134742554E3
1.566400694E1,1.134742554E3
1.573066579E1,1.134742554E3
1.579733621E1,1.134742554E3
1.586400256E1,1.134742554E3
1.593067089E1,1.134945068E3
1.599733996E1,1.135619995E3
1.606400173E1,1.135619995E3
1.613066746E1,1.135619995E3
1.619734141E1,1.135619995E3
1.626399688E1,1.135619995E3
1.633066475E1,1.136025024E3
1.639732860E1,1.135619995E3
1.646399631E1,1.136025024E3
1.653065641E1,1.136227539E3
1.659732829E1,1.136430054E3
1.666399438E1,1.136430054E3
1.673065558E1,1.136700073E3
1.679732527E1,1.137307495E3
1.686398975E1,1.137510010E3
1.693065855E1,1.137510010E3
1.699732548E1,1.137510010E3
1.706398818E1,1.137982544E3
1.713065298E1,1.137982544E3
1.719732183E1,1.137982544E3
1.726398881E1,1.137982544E3
1.733065110E1,1.138185059E3
1.739732162E1,1.138590088E3
1.746398548E1,1.138792603E3
1.753064787E1,1.138994995E3
1.759732089E1,1.139265015E3
1.766398464E1,1.139872559E3
1.773064668E1,1.140075073E3
1.779732194E1,1.140277588E3
1.786398037E1,1.140480103E3
1.793064313E1,1.141357544E3
1.799731433E1,1.142032593E3
1.806398079E1,1.142032593E3
1.813064131E1,1.142640015E3
1.819730933E1,1.143315063E3
1.826398058E1,1.144327515E3
1.833063954E1,1.144800049E3
1.839731266E1,1.145002563E3
1.846397433E1,1.145002563E3
1.853063772E1,1.146285034E3
1.859730787E1,1.146892578E3
1.866397568E1,1.146892578E3
1.873063454E1,1.146892578E3
1.879730464E1,1.147972534E3
1.886397089E1,1.147972534E3
1.893063516E1,1.148647583E3
1.899730438E1,1.148647583E3
1.906396881E1,1.148850098E3
1.913063480E1,1.149457520E3
1.919730214E1,1.150739990E3
1.926396683E1,1.150739990E3
1.933062808E1,1.151617554E3
1.939729839E1,1.152022583E3
1.946396548E1,1.152427490E3
1.953063272E1,1.152427490E3
1.959729871E1,1.153102539E3
1.966396298E1,1.153507568E3
1.973062522E1,1.154587524E3
1.979730068E1,1.154790039E3
1.986396110E1,1.154790039E3
1.993062266E1,1.155869995E3
1.999729199E1,1.156275024E3
2.006396100E1,1.156477539E3
