"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.100032890E-1,1.097999960E-1,-4.390779877E1,-9.686799622E1
1.200032890E-1,2.439999953E-2,-4.404199982E1,-9.722180176E1
1.300032890E-1,-1.219999939E-1,-4.411520004E1,-9.745359802E1
1.400032890E-1,-1.341999918E-1,-4.405419922E1,-9.745359802E1
1.500032890E-1,4.879999906E-2,-4.405419922E1,-9.752679443E1
1.600032890E-1,0.000000000E0,-4.402980042E1,-9.755120087E1
1.700032890E-1,-6.099999696E-2,-4.406639862E1,-9.756340027E1
1.800032890E-1,-9.759999812E-2,-4.405419922E1,-9.755120087E1
1.900032890E-1,-1.464000046E-1,-4.405419922E1,-9.758779907E1
2.000032890E-1,-1.951999962E-1,-4.366379929E1,-9.805139923E1
2.100032890E-1,-1.708000004E-1,-4.366379929E1,-9.796599579E1
2.200032890E-1,-1.341999918E-1,-4.368819809E1,-9.794159698E1
2.300032890E-1,-2.928000093E-1,-4.368819809E1,-9.789279938E1
2.400032890E-1,-3.294000030E-1,-4.368819809E1,-9.780739594E1
2.500032890E-1,-3.172000051E-1,-4.368819809E1,-9.779519653E1
2.600032890E-1,-3.172000051E-1,-4.371260071E1,-9.778299713E1
2.700032890E-1,-3.537999988E-1,-4.368819809E1,-9.780739594E1
2.800032890E-1,-3.537999988E-1,-4.405419922E1,-9.725839996E1
2.900032890E-1,-3.294000030E-1,-4.404199982E1,-9.727059937E1
3.000032890E-1,-3.659999967E-1,-4.404199982E1,-9.728279877E1
3.100032890E-1,-3.537999988E-1,-4.405419922E1,-9.733159637E1
3.200032890E-1,-2.928000093E-1,-4.409079742E1,-9.742919922E1
3.300032890E-1,-2.928000093E-1,-4.406639862E1,-9.749019623E1
3.400032890E-1,-3.050000072E-1,-4.410300064E1,-9.749019623E1
3.500032890E-1,-2.317999899E-1,-4.416399765E1,-9.746579742E1
3.600032890E-1,-2.073999941E-1,-4.418840027E1,-9.751459503E1
3.700032890E-1,-2.195999920E-1,-4.421279907E1,-9.752679443E1
3.800032890E-1,-2.073999941E-1,-4.418840027E1,-9.752679443E1
3.900032890E-1,-1.951999962E-1,-4.417620087E1,-9.749019623E1
4.000032890E-1,-2.439999878E-1,-4.415179825E1,-9.739260101E1
4.100032890E-1,-2.195999920E-1,-4.413959885E1,-9.734379578E1
4.200032890E-1,-1.708000004E-1,-4.409079742E1,-9.734379578E1
4.300032890E-1,-1.708000004E-1,-4.402980042E1,-9.734379578E1
4.400032890E-1,-1.464000046E-1,-4.406639862E1,-9.731939697E1
4.500032890E-1,-1.829999983E-1,-4.405419922E1,-9.736819458E1
4.600032890E-1,-2.439999878E-1,-4.406639862E1,-9.738040161E1
4.700032890E-1,-2.317999899E-1,-4.406639862E1,-9.735599518E1
4.800032890E-1,-2.317999899E-1,-4.406639862E1,-9.741699982E1
4.900032890E-1,-2.317999899E-1,-4.406639862E1,-9.738040161E1
5.000032890E-1,-2.805999815E-1,-4.405419922E1,-9.739260101E1
5.100032890E-1,-2.928000093E-1,-4.407859802E1,-9.741699982E1
5.200032890E-1,-3.294000030E-1,-4.405419922E1,-9.746579742E1
5.300032890E-1,-3.659999967E-1,-4.402980042E1,-9.741699982E1
5.400032890E-1,-3.537999988E-1,-4.401760101E1,-9.741699982E1
5.500032890E-1,-3.781999946E-1,-4.402980042E1,-9.740480042E1
5.600032890E-1,-3.659999967E-1,-4.405419922E1,-9.735599518E1
5.700032890E-1,-3.903999925E-1,-4.406639862E1,-9.738040161E1
5.800032890E-1,-3.903999925E-1,-4.404199982E1,-9.735599518E1
5.900032890E-1,-3.903999925E-1,-4.409079742E1,-9.733159637E1
6.000032890E-1,-2.928000093E-1,-4.411520004E1,-9.734379578E1
6.100032890E-1,-2.073999941E-1,-4.412739944E1,-9.734379578E1
