"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.041639240E-1,5.237722790E1,4.878094000E0,2.639126022E0,0.000000000E0,0.000000000E0,1.342199993E1,1.233167648E0
3.633056769E0,5.237711967E1,4.877794200E0,2.998064200E1,0.000000000E0,0.000000000E0,2.044589996E1,3.204024124E1
4.633434321E0,5.237709896E1,4.877794560E0,3.713783959E1,0.000000000E0,0.000000000E0,1.892023659E1,2.973416901E1
5.634218800E0,5.237706909E1,4.877791640E0,4.540122354E1,0.000000000E0,0.000000000E0,1.580311203E1,2.491966057E1
6.632612602E0,5.237706687E1,4.877805300E0,4.503556672E1,0.000000000E0,0.000000000E0,1.448019218E1,2.294631958E1
7.635935622E0,5.237704417E1,4.877803000E0,4.950519893E1,0.000000000E0,0.000000000E0,1.224092960E1,1.937015152E1
8.632805778E0,5.237707434E1,4.877825200E0,4.166168744E1,0.000000000E0,0.000000000E0,1.195664120E1,1.892984581E1
9.634351715E0,5.237706198E1,4.877812770E0,4.415073751E1,0.000000000E0,0.000000000E0,1.163282585E1,1.828478813E1
1.063146901E1,5.237705292E1,4.877814520E0,4.628512518E1,0.000000000E0,0.000000000E0,1.113405037E1,1.744905281E1
1.163417526E1,5.237704796E1,4.877802760E0,4.769648831E1,0.000000000E0,0.000000000E0,1.097725868E1,1.709282684E1
1.263467312E1,5.237705401E1,4.877807460E0,4.622121880E1,0.000000000E0,0.000000000E0,1.068281269E1,1.656192398E1
1.363359437E1,5.237705669E1,4.877811400E0,4.583572682E1,0.000000000E0,0.000000000E0,8.952153206E0,1.378631687E1
1.463337630E1,5.237705754E1,4.877812380E0,4.568002791E1,0.000000000E0,0.000000000E0,7.868513584E0,1.209597206E1
1.563347718E1,5.237706246E1,4.877817610E0,4.453776493E1,0.000000000E0,0.000000000E0,7.430438995E0,1.140180206E1
1.663257755E1,5.237706194E1,4.877816900E0,4.467863292E1,0.000000000E0,0.000000000E0,6.682190418E0,1.023628235E1
1.763217369E1,5.237706663E1,4.877822400E0,4.360991714E1,0.000000000E0,0.000000000E0,6.501216888E0,9.948714256E0
1.863265458E1,5.237707037E1,4.877825560E0,4.288818352E1,0.000000000E0,0.000000000E0,6.261280537E0,9.582447052E0
1.963249156E1,5.237707035E1,4.877825480E0,4.288916001E1,0.000000000E0,0.000000000E0,6.097991943E0,9.313470840E0
2.063082359E1,5.237706980E1,4.877824560E0,4.303082130E1,0.000000000E0,0.000000000E0,5.673803329E0,8.642263412E0
2.163469432E1,5.237712585E1,4.877876420E0,3.184770287E1,0.000000000E0,0.000000000E0,5.098126411E0,7.871335983E0
2.263314442E1,5.237713160E1,4.877881560E0,3.079400302E1,0.000000000E0,0.000000000E0,5.076519012E0,7.792383194E0
2.363264963E1,5.237713240E1,4.877881550E0,3.059228295E1,0.000000000E0,0.000000000E0,4.944743156E0,7.456272125E0
2.463528218E1,5.237713305E1,4.877879530E0,3.004614011E1,0.000000000E0,0.000000000E0,4.926017284E0,7.348415852E0
2.563319614E1,5.237713306E1,4.877879810E0,3.003460464E1,0.000000000E0,0.000000000E0,4.918674469E0,7.203655243E0
2.663108030E1,5.237713300E1,4.877879780E0,3.005889653E1,0.000000000E0,0.000000000E0,4.816372395E0,6.941681862E0
2.763224259E1,5.237713332E1,4.877880300E0,2.996111897E1,0.000000000E0,0.000000000E0,4.861348629E0,6.991324902E0
2.863270025E1,5.237713512E1,4.877882370E0,2.965832730E1,0.000000000E0,0.000000000E0,4.849767685E0,6.927096367E0
2.963191738E1,5.237713495E1,4.877881020E0,2.979046739E1,0.000000000E0,0.000000000E0,4.731575966E0,6.665499210E0
3.063266452E1,5.237713540E1,4.877881510E0,2.962347612E1,0.000000000E0,0.000000000E0,4.628791332E0,6.423674107E0
3.163272988E1,5.237713540E1,4.877881490E0,2.961017044E1,0.000000000E0,0.000000000E0,4.424792767E0,5.978317738E0
3.263264165E1,5.237713626E1,4.877881840E0,2.943487889E1,0.000000000E0,0.000000000E0,4.319499016E0,5.734000683E0
