"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.085452370E-1,5.238703850E1,4.869648300E0,2.748025448E0,0.000000000E0,0.000000000E0,6.409999847E1,4.823478222E0
2.591104999E0,5.238755925E1,4.869512860E0,-1.053743054E1,1.899999976E0,6.909999847E1,6.684288502E0,8.752804756E0
3.591309686E0,5.238771231E1,4.869714450E0,-9.112720137E0,2.069999933E0,6.240000153E1,7.771135330E0,1.089644718E1
4.592134894E0,5.238771772E1,4.869727720E0,-5.285373242E0,1.899999976E0,6.909999847E1,7.265708447E0,1.039394760E1
5.592455414E0,5.238772354E1,4.869744140E0,8.797408195E0,1.669999957E0,5.609999847E1,6.513217926E0,8.514392853E0
6.592379007E0,5.238776015E1,4.869747450E0,3.684790753E0,2.069999933E0,5.570000076E1,5.077814102E0,6.458829880E0
7.592010674E0,5.238778604E1,4.869767480E0,-7.956542627E-2,1.860000014E0,5.379999924E1,4.861090183E0,6.314718723E0
8.593728330E0,5.238779033E1,4.869829280E0,3.298528406E0,2.190000057E0,7.069999695E1,4.579660416E0,5.756969929E0
9.591985204E0,5.238778453E1,4.869862750E0,2.717057825E0,2.059999943E0,6.200000000E1,3.966745615E0,4.639441490E0
1.059241656E1,5.238779782E1,4.869893060E0,3.674674771E0,2.720000029E0,6.129999924E1,3.790092468E0,3.887790918E0
1.159210546E1,5.238780501E1,4.869903900E0,1.706490528E0,2.039999962E0,7.119999695E1,3.790092468E0,3.452140331E0
1.259204322E1,5.238780608E1,4.869935500E0,7.193278431E-1,2.549999952E0,8.440000153E1,3.790092468E0,3.332752943E0
1.359155109E1,5.238781656E1,4.869969220E0,1.722291943E0,2.220000029E0,6.029999924E1,3.790092468E0,3.514718533E0
1.459128562E1,5.238782936E1,4.869999990E0,3.202857687E0,2.549999952E0,6.680000305E1,3.790092468E0,3.426896095E0
1.559242843E1,5.238784028E1,4.870032590E0,3.920970679E0,2.369999886E0,5.950000000E1,3.790092468E0,3.071465731E0
1.659226588E1,5.238785239E1,4.870064500E0,3.115464339E0,2.519999981E0,6.379999924E1,3.790092468E0,2.997546434E0
1.759471890E1,5.238786531E1,4.870098750E0,3.739770074E0,2.519999981E0,6.340000153E1,3.790092468E0,2.834902048E0
1.859152192E1,5.238787631E1,4.870128870E0,3.164180562E0,2.089999914E0,6.550000000E1,3.790092468E0,2.814783812E0
1.959105140E1,5.238788686E1,4.870159310E0,3.545316677E0,2.539999962E0,6.440000153E1,3.790092468E0,2.829373121E0
2.059043770E1,5.238789610E1,4.870188710E0,3.839536280E0,1.990000010E0,6.669999695E1,3.790092468E0,2.917615891E0
2.159167921E1,5.238790560E1,4.870217490E0,4.609585965E0,2.369999886E0,6.480000305E1,3.790092468E0,2.815243959E0
2.259388239E1,5.238791533E1,4.870251540E0,4.978516000E0,2.619999886E0,6.930000305E1,3.790092468E0,2.998802423E0
2.359224572E1,5.238792503E1,4.870277390E0,4.510954395E0,1.629999995E0,6.469999695E1,3.859963179E0,3.049190521E0
2.459026978E1,5.238793718E1,4.870302980E0,5.061523529E0,2.569999933E0,5.629999924E1,4.434086800E0,3.268525124E0
2.559378603E1,5.238794943E1,4.870325000E0,4.241363182E0,1.419999957E0,6.469999695E1,4.313642502E0,3.519681692E0
2.659214650E1,5.238795809E1,4.870340680E0,4.772756586E0,1.389999986E0,5.620000076E1,4.098453999E0,3.324359417E0
2.759228780E1,5.238796620E1,4.870357200E0,4.915538865E0,1.309999943E0,5.440000153E1,4.302908421E0,3.286913872E0
2.859186265E1,5.238797784E1,4.870386210E0,4.517806053E0,2.569999933E0,5.840000153E1,3.847475052E0,3.106069088E0
2.959297311E1,5.238799255E1,4.870424670E0,5.705166080E0,2.470000029E0,5.740000153E1,3.957013607E0,3.359770536E0
3.059391046E1,5.238800528E1,4.870460250E0,6.445133947E0,2.410000086E0,6.029999924E1,3.968196869E0,3.410775423E0
3.159307046E1,5.238801622E1,4.870498480E0,5.961956307E0,2.630000114E0,6.250000000E1,3.938545465E0,3.378803492E0
3.259215118E1,5.238802442E1,4.870533630E0,6.719373602E0,2.049999952E0,6.740000153E1,3.790092468E0,3.028465986E0
3.359294572E1,5.238803338E1,4.870568930E0,6.694626526E0,2.789999962E0,6.500000000E1,3.790092468E0,2.826471806E0
3.459193618E1,5.238804210E1,4.870604670E0,7.259234837E0,2.279999971E0,6.669999695E1,3.790092468E0,2.779155970E0
3.559446868E1,5.238805277E1,4.870647030E0,8.834530907E0,3.730000019E0,6.769999695E1,3.790092468E0,2.870412350E0
3.659355957E1,5.238806062E1,4.870679740E0,8.637295407E0,1.500000000E0,6.809999847E1,3.790092468E0,2.878942490E0
3.759346196E1,5.238806632E1,4.870701520E0,8.890612030E0,2.059999943E0,6.790000153E1,3.793979645E0,2.981383085E0
3.859434931E1,5.238807593E1,4.870735140E0,8.155171531E0,2.640000105E0,6.400000000E1,3.932562351E0,3.089615107E0
3.959316952E1,5.238808805E1,4.870769290E0,8.090511241E0,2.460000038E0,5.970000076E1,4.139351845E0,3.184582472E0
4.059157311E1,5.238809708E1,4.870791580E0,8.761679529E0,1.509999990E0,5.879999924E1,4.046337605E0,3.225496531E0
4.159409717E1,5.238810487E1,4.870811870E0,8.961592464E0,2.069999933E0,5.879999924E1,3.996497154E0,3.128946543E0
4.259269535E1,5.238811410E1,4.870842310E0,9.203932778E0,2.940000057E0,6.400000000E1,3.899410725E0,3.027076006E0
