"event","experiment time","system time","system time text"
"START",0.000000000E0,1686145547.514,"2023-06-07 15:45:47.514 UTC+02:00"
"PAUSE",3.001026883E2,1686145847.617,"2023-06-07 15:50:47.617 UTC+02:00"
