"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.788610930E-1,5.237724870E1,4.878073800E0,2.639143597E0,0.000000000E0,0.000000000E0,1.330700016E1,1.209019780E0
3.308342759E0,5.237727637E1,4.878040770E0,8.855822944E0,0.000000000E0,0.000000000E0,1.100846386E1,1.862728310E1
4.308986457E0,5.237727875E1,4.878012630E0,3.835546277E0,0.000000000E0,0.000000000E0,1.169590759E1,1.915242386E1
5.310611925E0,5.237726189E1,4.877968260E0,-1.008985679E0,0.000000000E0,0.000000000E0,1.233895493E1,1.999199104E1
6.309580466E0,5.237726330E1,4.877958660E0,-1.986650403E0,0.000000000E0,0.000000000E0,1.180825996E1,1.886609268E1
7.310851091E0,5.237724683E1,4.877953060E0,6.226981360E-1,0.000000000E0,0.000000000E0,1.065857983E1,1.693703651E1
8.319614893E0,5.237723162E1,4.877953100E0,-9.358559880E-1,0.000000000E0,0.000000000E0,9.046111107E0,1.414351845E1
9.310430622E0,5.237723116E1,4.877951120E0,2.594537721E0,0.000000000E0,0.000000000E0,9.066121101E0,1.407141781E1
1.030971515E1,5.237723537E1,4.877960940E0,1.570135296E0,0.000000000E0,0.000000000E0,9.211853981E0,1.428253651E1
1.131680635E1,5.237724636E1,4.877957890E0,2.238300866E0,0.000000000E0,0.000000000E0,8.093609810E0,1.255635929E1
1.231005573E1,5.237724503E1,4.877952100E0,2.844496800E0,0.000000000E0,0.000000000E0,8.064672470E0,1.242336369E1
1.331061974E1,5.237723512E1,4.877939190E0,5.910454339E0,0.000000000E0,0.000000000E0,7.395447731E0,1.142801476E1
1.431026484E1,5.237723514E1,4.877928070E0,6.247728181E0,0.000000000E0,0.000000000E0,7.071938992E0,1.087777424E1
1.531111098E1,5.237723301E1,4.877927180E0,6.884321342E0,0.000000000E0,0.000000000E0,6.640735149E0,1.017399025E1
1.631149656E1,5.237723258E1,4.877926940E0,7.055768351E0,0.000000000E0,0.000000000E0,6.311359882E0,9.677075386E0
1.731347223E1,5.237723107E1,4.877924740E0,7.351907523E0,0.000000000E0,0.000000000E0,5.703644753E0,8.750919342E0
1.831019124E1,5.237723088E1,4.877924340E0,7.416604288E0,0.000000000E0,0.000000000E0,5.483581066E0,8.405924797E0
1.931004103E1,5.237723012E1,4.877927220E0,7.843973055E0,0.000000000E0,0.000000000E0,5.615151882E0,8.562113762E0
2.030821437E1,5.237722976E1,4.877926180E0,7.960488056E0,0.000000000E0,0.000000000E0,5.385249138E0,8.211704254E0
2.130943077E1,5.237722965E1,4.877926010E0,7.968056162E0,0.000000000E0,0.000000000E0,5.323698997E0,8.124723434E0
2.231089655E1,5.237722677E1,4.877972060E0,9.546509033E0,0.000000000E0,0.000000000E0,4.691705704E0,7.349725723E0
2.331141702E1,5.237722676E1,4.877972090E0,9.569153079E0,0.000000000E0,0.000000000E0,4.821282864E0,7.404346466E0
2.431130921E1,5.237722761E1,4.877972850E0,9.411867120E0,0.000000000E0,0.000000000E0,4.712762833E0,7.213663578E0
2.531052994E1,5.237722749E1,4.877972480E0,9.471986365E0,0.000000000E0,0.000000000E0,4.581535816E0,6.988659859E0
2.631201634E1,5.237722868E1,4.877973540E0,9.283695201E0,0.000000000E0,0.000000000E0,4.630377769E0,6.978523254E0
2.731111562E1,5.237722866E1,4.877973330E0,9.292178937E0,0.000000000E0,0.000000000E0,4.675536156E0,6.932256699E0
2.831017619E1,5.237722772E1,4.877973930E0,9.881167219E0,0.000000000E0,0.000000000E0,4.542291164E0,6.708290100E0
2.931196030E1,5.237722717E1,4.877972360E0,1.014447120E1,0.000000000E0,0.000000000E0,4.755334377E0,7.026775360E0
3.031029087E1,5.237722701E1,4.877971650E0,1.024237095E1,0.000000000E0,0.000000000E0,4.902623653E0,7.252407551E0
3.131048369E1,5.237722294E1,4.877968990E0,1.144548867E1,0.000000000E0,0.000000000E0,4.615964413E0,6.818916798E0
3.231217348E1,5.237722298E1,4.877968900E0,1.146630166E1,0.000000000E0,0.000000000E0,4.426809788E0,6.399185181E0
3.331058988E1,5.237722284E1,4.877968510E0,1.152062253E1,0.000000000E0,0.000000000E0,4.445318699E0,6.428521633E0
3.430960832E1,5.237722196E1,4.877967760E0,1.171880200E1,0.000000000E0,0.000000000E0,4.599976540E0,6.780214787E0
3.531079056E1,5.237721297E1,4.877964050E0,1.327988337E1,4.199999869E-1,1.761000061E2,4.466365337E0,6.441921234E0
3.631304197E1,5.237721324E1,4.877954670E0,1.481326453E1,2.300000042E-1,3.006000061E2,4.534873009E0,6.581464767E0
3.731143124E1,5.237721357E1,4.877944740E0,1.412942134E1,2.199999988E-1,2.118999939E2,4.324586391E0,6.037323475E0
3.830965452E1,5.237720658E1,4.877930240E0,1.528119750E1,0.000000000E0,0.000000000E0,4.591310024E0,6.701033592E0
3.931223405E1,5.237720448E1,4.877930780E0,1.542938821E1,0.000000000E0,0.000000000E0,4.532167912E0,6.565791607E0
4.030858514E1,5.237720224E1,4.877932020E0,1.570898783E1,0.000000000E0,0.000000000E0,4.576647282E0,6.635258198E0
4.130967285E1,5.237720000E1,4.877931290E0,1.596740710E1,0.000000000E0,0.000000000E0,4.449268341E0,6.342999458E0
4.231123285E1,5.237720780E1,4.877944720E0,1.490907628E1,0.000000000E0,0.000000000E0,4.086067677E0,5.704195499E0
4.331066082E1,5.237720507E1,4.877945540E0,1.565272526E1,0.000000000E0,0.000000000E0,3.992728472E0,5.455083370E0
4.431206686E1,5.237720355E1,4.877946740E0,1.625379803E1,0.000000000E0,0.000000000E0,3.961327553E0,5.353002548E0
4.531306842E1,5.237720674E1,4.877946390E0,1.581709578E1,0.000000000E0,0.000000000E0,3.982068062E0,5.367022038E0
4.631050769E1,5.237720839E1,4.877954420E0,1.561037669E1,0.000000000E0,0.000000000E0,4.213333130E0,5.902209759E0
4.731192061E1,5.237720472E1,4.877952390E0,1.645515794E1,0.000000000E0,0.000000000E0,4.065438271E0,5.535306454E0
4.831159029E1,5.237720214E1,4.877950650E0,1.721119577E1,0.000000000E0,0.000000000E0,3.911795378E0,5.166440964E0
4.931055930E1,5.237719923E1,4.877949740E0,1.786634251E1,0.000000000E0,0.000000000E0,3.812756777E0,4.892308235E0
5.031003571E1,5.237720026E1,4.877950760E0,1.760981380E1,0.000000000E0,0.000000000E0,3.790092468E0,4.717729568E0
5.131023962E1,5.237720161E1,4.877952900E0,1.737959233E1,0.000000000E0,0.000000000E0,3.790092468E0,4.692953587E0
5.231190514E1,5.237720263E1,4.877953800E0,1.718446490E1,0.000000000E0,0.000000000E0,3.790092468E0,4.434507370E0
5.331427508E1,5.237720261E1,4.877953730E0,1.718763866E1,0.000000000E0,0.000000000E0,3.790092468E0,4.400853634E0
5.431063482E1,5.237720351E1,4.877954390E0,1.704689324E1,0.000000000E0,0.000000000E0,3.790092468E0,4.302488804E0
5.531050274E1,5.237720317E1,4.877954750E0,1.711677822E1,0.000000000E0,0.000000000E0,3.790092468E0,4.671792030E0
5.631127888E1,5.237720338E1,4.877955090E0,1.707509170E1,0.000000000E0,0.000000000E0,3.790092468E0,4.691817284E0
5.730962165E1,5.237720304E1,4.877954780E0,1.714686839E1,0.000000000E0,0.000000000E0,3.790092468E0,4.772136688E0
5.831014414E1,5.237720249E1,4.877954120E0,1.726619096E1,0.000000000E0,0.000000000E0,3.790092468E0,4.670829296E0
5.931028394E1,5.237720274E1,4.877953840E0,1.725447240E1,0.000000000E0,0.000000000E0,3.790092468E0,4.645247936E0
6.030823612E1,5.237720318E1,4.877954240E0,1.719148497E1,0.000000000E0,0.000000000E0,3.982618093E0,5.042675972E0
6.131170920E1,5.237720309E1,4.877954540E0,1.724586734E1,0.000000000E0,0.000000000E0,4.197685242E0,5.463687420E0
6.231072565E1,5.237720540E1,4.877959330E0,1.689730160E1,0.000000000E0,0.000000000E0,4.245361805E0,5.684763908E0
6.331220206E1,5.237720467E1,4.877959640E0,1.710121921E1,0.000000000E0,0.000000000E0,4.234824657E0,5.666119099E0
6.430996143E1,5.237720461E1,4.877959540E0,1.712099446E1,0.000000000E0,0.000000000E0,1.038127708E1,5.747014999E0
6.531090794E1,5.237720461E1,4.877959530E0,1.711806477E1,0.000000000E0,0.000000000E0,1.034255409E1,5.472517967E0
6.631085346E1,5.237720453E1,4.877959430E0,1.714296694E1,0.000000000E0,0.000000000E0,1.039175606E1,5.645672798E0
6.731050013E1,5.237720433E1,4.877959320E0,1.718141874E1,0.000000000E0,0.000000000E0,1.034802341E1,5.544561863E0
6.830956591E1,5.237720427E1,4.877959260E0,1.719277116E1,0.000000000E0,0.000000000E0,1.033199215E1,5.480744839E0
6.931229648E1,5.237720417E1,4.877959170E0,1.720467282E1,0.000000000E0,0.000000000E0,1.030583763E1,5.395421505E0
7.031181430E1,5.237720402E1,4.877959030E0,1.723390837E1,0.000000000E0,0.000000000E0,1.027349091E1,5.313649178E0
7.131039617E1,5.237720417E1,4.877959100E0,1.721535393E1,0.000000000E0,0.000000000E0,1.020085335E1,5.147234440E0
7.230917638E1,5.237720416E1,4.877959060E0,1.722603505E1,0.000000000E0,0.000000000E0,1.018294239E1,5.058477879E0
7.330861383E1,5.237720424E1,4.877959730E0,1.726259561E1,0.000000000E0,0.000000000E0,1.028048325E1,5.959987640E0
7.430838096E1,5.237720436E1,4.877959820E0,1.723647279E1,0.000000000E0,0.000000000E0,1.032513142E1,5.967092514E0
7.530857206E1,5.237720433E1,4.877959790E0,1.725215876E1,0.000000000E0,0.000000000E0,1.047242737E1,6.185940742E0
7.631140492E1,5.237719427E1,4.877964760E0,1.808900050E1,3.700000048E-1,1.726999969E2,1.039242744E1,6.041024208E0
7.730934086E1,5.237719791E1,4.877972060E0,1.665132676E1,2.000000030E-1,3.320000000E2,1.056004143E1,6.416798592E0
7.830935612E1,5.237719625E1,4.877964940E0,1.632185252E1,3.300000131E-1,1.355000000E2,1.062411785E1,6.713186264E0
7.930959742E1,5.237719636E1,4.877958620E0,1.806733240E1,0.000000000E0,0.000000000E0,1.083204174E1,7.389264107E0
8.030798356E1,5.237719869E1,4.877974670E0,1.727437625E1,4.600000083E-1,1.075999985E2,1.095772266E1,7.719950199E0
8.131023533E1,5.237719813E1,4.877964390E0,1.704615904E1,2.000000030E-1,4.970000076E1,1.097975349E1,7.713667870E0
8.230890471E1,5.237720314E1,4.877984010E0,1.603140699E1,3.000000119E-1,8.669999695E1,1.081820011E1,7.307016373E0
8.331008205E1,5.237720043E1,4.877967600E0,1.706203329E1,2.099999934E-1,3.466000061E2,1.103664207E1,7.629387856E0
8.431312632E1,5.237720091E1,4.877970570E0,1.752163042E1,0.000000000E0,0.000000000E0,1.086622429E1,7.677195549E0
8.530961872E1,5.237720110E1,4.877972690E0,1.757009383E1,0.000000000E0,0.000000000E0,1.089352226E1,7.778363228E0
8.631000507E1,5.237719911E1,4.877972610E0,1.830562565E1,0.000000000E0,0.000000000E0,1.067530346E1,7.230317593E0
8.731209434E1,5.237719815E1,4.877968390E0,1.814369558E1,0.000000000E0,0.000000000E0,1.060504532E1,7.051795483E0
8.830957356E1,5.237719752E1,4.877967730E0,1.887611618E1,0.000000000E0,0.000000000E0,1.059797668E1,6.979269981E0
8.930999549E1,5.237719621E1,4.877964460E0,1.920466468E1,0.000000000E0,0.000000000E0,1.060099316E1,6.900009632E0
9.031035351E1,5.237719702E1,4.877965660E0,1.853083839E1,0.000000000E0,0.000000000E0,1.044338703E1,6.491268158E0
9.130884981E1,5.237719680E1,4.877967140E0,1.854145906E1,0.000000000E0,0.000000000E0,1.078193378E1,7.407354832E0
9.231077377E1,5.237719384E1,4.877966950E0,1.941212128E1,0.000000000E0,0.000000000E0,1.121530342E1,8.480070114E0
9.330948825E1,5.237719020E1,4.877965800E0,2.013715211E1,0.000000000E0,0.000000000E0,1.195207214E1,1.025568008E1
9.431044882E1,5.237718731E1,4.877963110E0,2.068518114E1,0.000000000E0,0.000000000E0,1.298835754E1,1.272236919E1
9.531013252E1,5.237718382E1,4.877961240E0,2.136919613E1,2.300000042E-1,1.671999969E2,1.429861259E1,1.532649231E1
9.631141486E1,5.237718038E1,4.877959270E0,2.155369942E1,0.000000000E0,0.000000000E0,1.543110943E1,1.832629204E1
9.730918949E1,5.237717720E1,4.877954560E0,2.239909015E1,0.000000000E0,0.000000000E0,1.633923912E1,2.038409996E1
9.830858423E1,5.237717457E1,4.877951260E0,2.278726812E1,0.000000000E0,0.000000000E0,1.755730438E1,2.199142647E1
9.930940918E1,5.237717368E1,4.877950060E0,2.247482720E1,0.000000000E0,0.000000000E0,1.874518585E1,2.326930809E1
1.003096795E2,5.237717282E1,4.877949820E0,2.259707927E1,0.000000000E0,0.000000000E0,2.006088829E1,2.453030968E1
1.013084404E2,5.237717313E1,4.877949840E0,2.220871302E1,0.000000000E0,0.000000000E0,2.142481804E1,2.526834869E1
1.023105491E2,5.237717991E1,4.877967050E0,2.018346402E1,0.000000000E0,0.000000000E0,1.938614082E1,2.420322800E1
1.033106194E2,5.237718422E1,4.877976210E0,1.980682746E1,0.000000000E0,0.000000000E0,2.109219742E1,2.488732529E1
1.043089026E2,5.237718635E1,4.877979840E0,1.984974029E1,0.000000000E0,0.000000000E0,2.213227463E1,2.573923302E1
1.053097413E2,5.237718725E1,4.877980920E0,2.000226904E1,0.000000000E0,0.000000000E0,2.182463264E1,2.591307831E1
1.063088108E2,5.237718788E1,4.877981470E0,1.982789280E1,0.000000000E0,0.000000000E0,2.064389038E1,2.479549789E1
1.073098541E2,5.237718709E1,4.877979520E0,2.018696038E1,0.000000000E0,0.000000000E0,1.991489029E1,2.411665726E1
1.083100833E2,5.237718729E1,4.877978260E0,2.005573435E1,0.000000000E0,0.000000000E0,1.836682320E1,2.245257568E1
1.093094071E2,5.237718846E1,4.877975810E0,2.055262178E1,3.700000048E-1,2.998999939E2,1.678779602E1,2.056763077E1
