"Time (s)","Illuminance (lx)"
0.000000000E0,3.153600159E2
6.137610900E-2,3.172500000E2
1.280295460E-1,3.234600220E2
1.946931400E-1,3.400650024E2
2.613618900E-1,3.669300232E2
3.280297020E-1,4.064175110E2
3.946926190E-1,4.064175110E2
4.613594420E-1,4.064175110E2
5.280249110E-1,3.337200012E2
5.946895980E-1,3.044925232E2
6.613605880E-1,2.929500122E2
7.280247540E-1,2.820825195E2
7.946869420E-1,2.750625000E2
8.613557440E-1,2.701350098E2
9.280212130E-1,2.671650085E2
9.946856400E-1,2.669625244E2
1.061351056E0,2.669625244E2
1.128019286E0,2.669625244E2
1.194682931E0,2.686500244E2
1.261351473E0,2.940299988E2
1.328016890E0,3.140775146E2
1.394683452E0,3.321675110E2
1.461349546E0,3.390525208E2
1.528015379E0,3.543750000E2
1.594678348E0,3.595050049E2
1.661348609E0,3.611925049E2
1.728015171E0,3.613950195E2
1.794676734E0,3.633525085E2
1.861347359E0,3.648375244E2
1.928011421E0,3.648375244E2
1.994674546E0,3.978450012E2
2.061349390E0,4.375350037E2
2.128011629E0,4.765500183E2
2.194672515E0,5.503275146E2
2.261344546E0,5.720625000E2
2.328006369E0,5.720625000E2
2.394672046E0,5.720625000E2
2.461341004E0,5.499225464E2
2.528007150E0,5.304825439E2
2.594670171E0,5.102325134E2
2.661338400E0,4.729050293E2
2.728003765E0,4.550175171E2
2.794672254E0,4.405050049E2
2.861337671E0,4.230225220E2
2.928002775E0,3.927825012E2
2.994664338E0,3.823200073E2
3.061333504E0,3.729375000E2
3.128009442E0,3.516075134E2
3.194661525E0,3.456000061E2
3.261331629E0,3.428325195E2
3.327997879E0,3.411450195E2
3.394659754E0,3.306825256E2
3.461328556E0,3.217725220E2
3.527999181E0,3.119175110E2
3.594657879E0,3.089475098E2
3.661329234E0,3.089475098E2
3.727994859E0,3.089475098E2
3.794658609E0,3.707775269E2
3.861327671E0,4.198500061E2
3.927993504E0,4.575825195E2
3.994654650E0,4.782375183E2
4.061325431E0,4.940325317E2
4.127996265E0,4.940325317E2
4.194652931E0,4.940325317E2
4.261324181E0,4.835700073E2
4.327988296E0,4.822875061E2
4.394651109E0,4.822875061E2
4.461322671E0,4.801950073E2
4.527987098E0,4.635225220E2
4.594648765E0,4.475250244E2
4.661320796E0,4.261950073E2
4.727985900E0,3.838050232E2
4.794645900E0,3.696975098E2
4.861325692E0,3.597075195E2
4.927982671E0,3.530924988E2
4.994644181E0,3.396600037E2
5.061315692E0,3.315600281E2
5.127986213E0,3.225825195E2
5.194643765E0,3.115125122E2
5.261314338E0,3.115125122E2
5.327979754E0,3.115125122E2
5.394641004E0,3.151575012E2
5.461310431E0,3.271050110E2
5.527978921E0,3.354075012E2
5.594638609E0,3.431025085E2
5.661309442E0,3.607875061E2
5.727974338E0,3.722625122E2
5.794636629E0,3.889350281E2
5.861310431E0,4.108725281E2
5.927973400E0,4.565025330E2
5.994635015E0,4.720950317E2
6.061303504E0,4.848525085E2
6.127969129E0,4.933575134E2
6.194633192E0,4.933575134E2
