"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.024687650E-1,-6.380599976E1,-2.078879929E1,8.661999702E-1
1.124687650E-1,-6.374499893E1,-2.093519974E1,5.489999652E-1
1.224687650E-1,-6.385479736E1,-2.088640022E1,2.317999899E-1
1.324687650E-1,-6.390359879E1,-2.086199951E1,1.341999918E-1
1.424687650E-1,-6.392799759E1,-2.092300034E1,-3.660000116E-2
1.524687650E-1,-6.402559662E1,-2.070339966E1,-5.611999631E-1
1.624687650E-1,-6.403779602E1,-2.078879929E1,-7.075999975E-1
1.724687650E-1,-6.401339722E1,-2.081320000E1,-8.295999765E-1
1.824687650E-1,-6.402559662E1,-2.095960045E1,-1.207800031E0
1.924687650E-1,-6.402559662E1,-2.099619865E1,-1.537199974E0
2.024687650E-1,-6.401339722E1,-2.116699982E1,-1.854399920E0
2.124687650E-1,-6.401339722E1,-2.131340027E1,-2.244799852E0
2.224687650E-1,-6.396459961E1,-2.142319870E1,-2.562000036E0
2.324687650E-1,-6.391579819E1,-2.171599960E1,-2.622999907E0
2.424687650E-1,-6.387919998E1,-2.182579994E1,-2.903599977E0
2.524687650E-1,-6.387919998E1,-2.198439980E1,-3.208600044E0
2.624687650E-1,-6.385479736E1,-2.200880051E1,-3.476999998E0
2.724687650E-1,-6.385479736E1,-2.205760002E1,-3.757599831E0
2.824687650E-1,-6.379380035E1,-2.203319931E1,-3.952800035E0
2.924687650E-1,-6.376939774E1,-2.203319931E1,-4.123600006E0
3.024687650E-1,-6.376939774E1,-2.204539871E1,-4.355400085E0
3.124687650E-1,-6.373279953E1,-2.208199883E1,-4.587199688E0
3.224687650E-1,-6.368399811E1,-2.209420013E1,-4.818999767E0
3.324687650E-1,-6.359859848E1,-2.208199883E1,-4.989799976E0
3.424687650E-1,-6.353759766E1,-2.209420013E1,-5.221600056E0
3.524687650E-1,-6.336679840E1,-2.217959976E1,-5.380199909E0
3.624687650E-1,-6.337899780E1,-2.220400047E1,-5.587599754E0
3.724687650E-1,-6.331799698E1,-2.225279999E1,-5.770599842E0
3.824687650E-1,-6.326919937E1,-2.227719879E1,-5.941400051E0
3.924687650E-1,-6.326919937E1,-2.230159950E1,-6.075599670E0
4.024687650E-1,-6.326919937E1,-2.230159950E1,-6.197599888E0
4.124687650E-1,-6.330579758E1,-2.233819962E1,-6.343999863E0
4.224687650E-1,-6.333020020E1,-2.235039902E1,-6.380599976E0
4.324687650E-1,-6.346439743E1,-2.233819962E1,-6.429399967E0
4.424687650E-1,-6.339119720E1,-2.237479973E1,-6.392799854E0
4.524687650E-1,-6.334239960E1,-2.236260033E1,-6.417200089E0
4.624687650E-1,-6.304959869E1,-2.238699913E1,-6.368400097E0
4.724687650E-1,-6.295199966E1,-2.238699913E1,-6.295199871E0
4.824687650E-1,-6.287879944E1,-2.241139984E1,-6.246399879E0
4.924687650E-1,-6.282999802E1,-2.239920044E1,-6.112199783E0
5.024687650E-1,-6.284219742E1,-2.235039902E1,-6.075599670E0
5.124687650E-1,-6.281779861E1,-2.235039902E1,-6.002399921E0
5.224687650E-1,-6.286660004E1,-2.232600021E1,-6.026799679E0
5.324687650E-1,-6.292759705E1,-2.231379890E1,-5.904799938E0
5.424687650E-1,-6.322039795E1,-2.226499939E1,-5.819399834E0
5.524687650E-1,-6.330579758E1,-2.222839928E1,-5.831599712E0
5.624687650E-1,-6.336679840E1,-2.188679886E1,-6.258599758E0
5.724687650E-1,-6.341559982E1,-2.186240005E1,-6.319600105E0
5.824687650E-1,-6.337899780E1,-2.186240005E1,-6.234200001E0
5.924687650E-1,-6.340340042E1,-2.186240005E1,-6.160999775E0
6.024687650E-1,-6.343999863E1,-2.181359863E1,-6.014599800E0
6.124687650E-1,-6.339119720E1,-2.185019875E1,-5.916999817E0
6.224687650E-1,-6.340340042E1,-2.183799934E1,-5.770599842E0
6.324687650E-1,-6.341559982E1,-2.181359863E1,-5.538799763E0
6.424687650E-1,-6.337899780E1,-2.209420013E1,-4.806799889E0
6.524687650E-1,-6.337899780E1,-2.203319931E1,-4.477399826E0
6.624687650E-1,-6.343999863E1,-2.198439980E1,-4.160200119E0
6.724687650E-1,-6.346439743E1,-2.198439980E1,-3.903999805E0
6.824687650E-1,-6.346439743E1,-2.195999908E1,-3.611199856E0
6.924687650E-1,-6.353759766E1,-2.185019875E1,-3.391599894E0
7.024687650E-1,-6.352539825E1,-2.175259972E1,-3.135400057E0
7.124687650E-1,-6.352539825E1,-2.175259972E1,-2.866999865E0
7.224687650E-1,-6.356200027E1,-2.169159889E1,-2.659600019E0
7.324687650E-1,-6.356200027E1,-2.172819901E1,-2.452199936E0
7.424687650E-1,-6.353759766E1,-2.166720009E1,-2.269199848E0
7.524687650E-1,-6.356200027E1,-2.161839867E1,-2.086199999E0
7.624687650E-1,-6.353759766E1,-2.159399986E1,-1.866599917E0
7.724687650E-1,-6.351319885E1,-2.156959915E1,-1.573799968E0
7.824687650E-1,-6.353759766E1,-2.163059998E1,-1.378600001E0
