"event","experiment time","system time","system time text"
"START",0.000000000E0,1686147373.510,"2023-06-07 16:16:13.510 UTC+02:00"
"PAUSE",3.000852957E2,1686147673.595,"2023-06-07 16:21:13.595 UTC+02:00"
