"Time (s)","Illuminance (lx)"
0.000000000E0,6.859349976E2
5.857371200E-2,6.895800171E2
1.252652750E-1,6.933600464E2
1.918857960E-1,7.047000122E2
2.585505870E-1,7.543800049E2
3.252281920E-1,7.801650391E2
3.919026710E-1,8.002125244E2
4.585426710E-1,8.522550049E2
5.252162640E-1,9.001800537E2
5.918825140E-1,9.443250122E2
6.585360040E-1,9.788850098E2
7.252470460E-1,1.012770020E3
7.918884000E-1,1.012770020E3
8.585452750E-1,1.012770020E3
9.252127230E-1,9.564750366E2
9.918818370E-1,9.089550171E2
1.058538296E0,8.690625610E2
1.125224337E0,8.268750610E2
1.191876733E0,7.739550171E2
1.258552098E0,7.661250000E2
1.325212514E0,7.564725342E2
1.391885796E0,7.328475342E2
1.458533139E0,7.262325439E2
1.525209337E0,7.262325439E2
1.591870692E0,7.262325439E2
1.658526629E0,7.402725220E2
1.725209181E0,7.567425537E2
1.791864858E0,7.906275024E2
1.858529598E0,8.492850342E2
1.925206056E0,8.492850342E2
1.991866212E0,8.492850342E2
2.058527879E0,8.426700439E2
2.125227879E0,8.351775513E2
2.191878087E0,8.351775513E2
2.258526473E0,8.351775513E2
2.325202254E0,8.362575073E2
2.391880067E0,8.362575073E2
2.458542671E0,8.362575073E2
2.525238296E0,8.347725220E2
2.591865379E0,8.347725220E2
2.658525692E0,8.347725220E2
2.725218921E0,8.456400146E2
2.791878817E0,8.765550537E2
2.858519598E0,8.782425537E2
2.925188087E0,8.791200562E2
2.991857775E0,8.822925415E2
3.058517879E0,9.053100586E2
3.125222879E0,9.466875610E2
3.191891004E0,9.908325195E2
3.258516837E0,1.042200073E3
3.325187567E0,1.058602539E3
3.391855171E0,1.075882568E3
3.458513556E0,1.091475098E3
3.525187983E0,1.145609985E3
3.591851264E0,1.145609985E3
3.658522254E0,1.145609985E3
3.725185275E0,1.107877563E3
3.791877567E0,1.078042603E3
3.858511264E0,1.041592529E3
3.925180692E0,1.041592529E3
3.991846212E0,1.041592529E3
4.058508087E0,1.057387573E3
4.125180014E0,1.087627563E3
4.191884181E0,1.139467529E3
4.258507462E0,1.161607544E3
4.325185900E0,1.187662598E3
4.391844962E0,1.223032593E3
4.458507671E0,1.298295044E3
4.525212514E0,1.320232544E3
4.591841004E0,1.339875000E3
4.658505692E0,1.355197510E3
4.725172046E0,1.355197510E3
4.791837150E0,1.357155029E3
4.858536264E0,1.357155029E3
4.925174181E0,1.355197510E3
4.991838764E0,1.352430054E3
5.058497775E0,1.352430054E3
5.125190379E0,1.271227539E3
5.191834129E0,1.221952515E3
5.258519025E0,1.208722534E3
5.325163504E0,1.208722534E3
5.391830796E0,1.208722534E3
5.458494337E0,1.224315063E3
5.525195379E0,1.234305054E3
5.591882462E0,1.267582520E3
5.658498608E0,1.303425049E3
5.725168712E0,1.360800049E3
5.791831212E0,1.433700073E3
5.858487879E0,1.540755005E3
5.925176212E0,1.540755005E3
5.991827358E0,1.547302612E3
6.058487983E0,1.569307617E3
6.125157879E0,1.569307617E3
6.191826421E0,1.584427612E3
6.258487046E0,1.596172607E3
6.325158764E0,1.616625122E3
6.391827671E0,1.624117554E3
6.458483712E0,1.647945068E3
6.525148192E0,1.752232544E3
6.591824025E0,1.821082520E3
6.658512046E0,1.919430054E3
6.725161629E0,2.034112549E3
6.791824337E0,2.347110107E3
6.858478817E0,2.528347656E3
6.925181421E0,2.672257568E3
6.991819650E0,2.894872559E3
7.058485067E0,2.967570068E3
7.125144181E0,3.052687500E3
7.191820692E0,3.147525146E3
7.258474025E0,3.281647705E3
7.325149650E0,3.281647705E3
7.391819858E0,3.281647705E3
7.458478087E0,3.198960205E3
7.525177671E0,3.134565186E3
7.591817931E0,3.073140137E3
7.658473921E0,3.030682617E3
7.725135431E0,3.017047607E3
7.791807931E0,2.986335205E3
7.858468921E0,2.964195068E3
7.925171004E0,2.950290039E3
7.991846733E0,2.941785156E3
8.058468921E0,2.934562500E3
8.125137358E0,2.934562500E3
8.191805379E0,2.915797607E3
8.258482462E0,2.915797607E3
8.325157358E0,2.915797607E3
8.391805587E0,2.978910156E3
8.458462983E0,3.030682617E3
8.525136733E0,3.094672607E3
8.591801108E0,3.145635010E3
8.658462462E0,3.226635010E3
8.725134233E0,3.263355225E3
8.791797046E0,3.270172607E3
8.858458608E0,3.288667725E3
8.925145587E0,3.321742676E3
8.991829962E0,3.350565186E3
9.058462358E0,3.379320068E3
9.125130900E0,3.382492676E3
9.191804598E0,3.386542725E3
9.258458712E0,3.402540039E3
9.325159598E0,3.438382568E3
9.391803087E0,3.470580078E3
9.458458921E0,3.505342529E3
9.525128608E0,3.576352539E3
9.591798087E0,3.582090088E3
9.658451108E0,3.582090088E3
9.725124598E0,3.576352539E3
9.791788296E0,3.539902588E3
9.858458087E0,3.450532715E3
9.925163139E0,3.359070068E3
9.991809129E0,3.291705078E3
1.005844965E1,3.266730225E3
1.012511126E1,3.234937744E3
1.019178418E1,3.234937744E3
1.025844455E1,3.234937744E3
1.032514819E1,3.277597656E3
1.039178298E1,3.325792725E3
1.045844538E1,3.389310059E3
1.052512340E1,3.426435059E3
1.059178163E1,3.448845215E3
1.065844059E1,3.497647705E3
1.072510632E1,3.525390137E3
1.079177621E1,3.525390137E3
1.085843944E1,3.525390137E3
1.092510913E1,3.434130127E3
1.099177548E1,3.397207520E3
1.105844288E1,3.340305176E3
1.112510975E1,3.291030029E3
1.119176996E1,3.119377686E3
1.125843975E1,3.082117676E3
1.132509892E1,3.080835205E3
1.139180434E1,3.080835205E3
1.145843501E1,3.080835205E3
1.152510418E1,3.124710205E3
1.159177152E1,3.212392578E3
1.165843173E1,3.509392578E3
1.172513293E1,3.689550049E3
1.179176819E1,3.689550049E3
1.185842960E1,3.689550049E3
1.192509465E1,3.681045166E3
1.199181298E1,3.670380127E3
1.205842705E1,3.666330078E3
1.212509746E1,3.489952637E3
1.219177434E1,3.416175049E3
1.225843069E1,3.383977539E3
1.232511517E1,3.267810059E3
1.239179309E1,3.267810059E3
1.245842684E1,3.267810059E3
1.252508736E1,3.336660156E3
1.259176340E1,3.452692627E3
1.265842090E1,3.516615234E3
1.272512361E1,3.581010254E3
1.279176194E1,3.754350098E3
1.285842163E1,3.806190186E3
1.292508528E1,3.848850098E3
1.299175746E1,3.848850098E3
1.305841538E1,3.848850098E3
1.312508496E1,3.744562744E3
1.319175173E1,3.668422607E3
1.325841278E1,3.615367676E3
1.332508793E1,3.552660156E3
1.339175684E1,3.479760254E3
1.345841288E1,3.437302734E3
1.352508715E1,3.396600098E3
1.359175288E1,3.396600098E3
1.365840986E1,3.396600098E3
1.372507543E1,3.516210205E3
1.379175918E1,3.599370117E3
1.385841163E1,3.681045166E3
1.392508184E1,3.774397705E3
1.399174861E1,3.916822754E3
1.405841246E1,4.014495117E3
1.412507934E1,4.014495117E3
1.419174746E1,4.014495117E3
1.425840496E1,3.932617676E3
1.432507251E1,3.800857666E3
1.439174861E1,3.629880127E3
1.445840288E1,3.515332520E3
1.452507621E1,3.475507568E3
1.459173975E1,3.446482666E3
1.465840085E1,3.404497559E3
1.472507210E1,3.325590088E3
1.479177361E1,3.299332520E3
1.485840184E1,3.299332520E3
1.492506392E1,3.299332520E3
1.499172996E1,3.318772705E3
1.505840965E1,3.343950195E3
1.512510392E1,3.430890137E3
1.519174267E1,3.489952637E3
1.525839663E1,3.577162598E3
1.532507069E1,3.645000244E3
1.539174205E1,3.749220215E3
1.545839319E1,3.749220215E3
1.552506371E1,3.749220215E3
1.559174251E1,3.587827637E3
1.565838903E1,3.366090088E3
1.572510017E1,3.366090088E3
1.579175496E1,3.366090088E3
1.585838944E1,3.530047607E3
1.592506184E1,3.618135254E3
1.599172642E1,3.618135254E3
1.605838694E1,3.618135254E3
