"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.395720368E1,5.235493246E1,4.848826940E0,9.217715938E0,4.000000000E0,9.050000000E1,7.222324371E0,5.446375847E0
4.495527186E1,5.235493892E1,4.848872470E0,9.800881129E0,3.539999962E0,8.919999695E1,7.079387665E0,5.271695137E0
4.595533134E1,5.235493701E1,4.848919900E0,1.077252444E1,3.980000019E0,9.059999847E1,6.605970860E0,5.083625793E0
4.695617957E1,5.235490148E1,4.848945840E0,1.079311942E1,2.930000067E0,9.109999847E1,6.041821003E0,5.096888542E0
4.795509675E1,5.235490986E1,4.849008680E0,1.170765715E1,3.500000000E0,9.509999847E1,5.614384651E0,4.919516563E0
4.895677186E1,5.235492913E1,4.849078050E0,1.137428911E1,3.359999895E0,8.319999695E1,5.588615894E0,4.893450737E0
4.995624092E1,5.235494583E1,4.849154160E0,1.103524509E1,4.119999886E0,8.719999695E1,5.638109684E0,4.986579895E0
5.095548894E1,5.235496339E1,4.849227600E0,9.790011768E0,3.920000076E0,8.619999695E1,5.866601467E0,5.189230919E0
5.195728560E1,5.235496078E1,4.849286470E0,1.152167046E1,3.950000048E0,9.500000000E1,6.301730633E0,5.438335419E0
5.296212404E1,5.235495546E1,4.849384530E0,9.990957795E0,5.050000191E0,8.759999847E1,5.225529194E0,5.052068233E0
5.395757217E1,5.235497252E1,4.849474730E0,1.066882914E1,5.230000019E0,8.780000305E1,4.801531792E0,4.768673420E0
5.495577467E1,5.235496410E1,4.849547310E0,1.104691092E1,4.440000057E0,8.940000153E1,4.613750935E0,4.730974674E0
5.595565149E1,5.235495310E1,4.849609350E0,1.053997323E1,4.940000057E0,9.400000000E1,4.889896393E0,4.820272923E0
5.695525050E1,5.235494877E1,4.849694540E0,9.999733057E0,5.840000153E0,8.269999695E1,4.800165653E0,4.841150284E0
5.795478300E1,5.235495456E1,4.849766820E0,1.012563734E1,4.599999905E0,9.269999695E1,4.721789360E0,4.788741112E0
5.895623180E1,5.235495456E1,4.849843630E0,1.003022263E1,5.139999866E0,8.890000153E1,4.813310623E0,4.811614037E0
5.995545138E1,5.235495254E1,4.849918750E0,9.149647858E0,5.280000210E0,9.400000000E1,5.265510082E0,4.937674522E0
6.095348560E1,5.235495786E1,4.849986470E0,9.400060570E0,4.820000172E0,8.669999695E1,5.033091545E0,4.828273773E0
6.195683289E1,5.235495552E1,4.850057080E0,9.213879724E0,4.840000153E0,9.130000305E1,5.296306610E0,4.819875717E0
6.296746487E1,5.235495237E1,4.850130390E0,8.956471271E0,5.050000191E0,9.419999695E1,5.761413097E0,4.900321960E0
6.395654940E1,5.235495067E1,4.850194090E0,8.490746325E0,4.789999962E0,9.240000153E1,1.086592865E1,4.889900208E0
6.495545487E1,5.235496127E1,4.850261800E0,9.886674254E0,4.699999809E0,8.430000305E1,1.044743443E1,4.379624367E0
6.595726211E1,5.235495323E1,4.850341950E0,8.667653994E0,4.820000172E0,8.540000153E1,1.031803131E1,4.133840084E0
6.695636190E1,5.235493620E1,4.850410560E0,7.839483605E0,4.940000057E0,9.130000305E1,1.031439304E1,4.112674713E0
6.795621878E1,5.235493631E1,4.850488790E0,7.980825238E0,4.989999771E0,8.919999695E1,1.036006832E1,4.045819759E0
6.895535549E1,5.235493571E1,4.850560760E0,8.151886388E0,4.960000038E0,9.130000305E1,1.033205605E1,4.083856106E0
6.995536180E1,5.235493716E1,4.850635330E0,8.412429453E0,4.989999771E0,9.090000153E1,1.038638210E1,4.151512623E0
7.095815789E1,5.235493662E1,4.850710400E0,8.442989544E0,5.250000000E0,8.980000305E1,1.044827557E1,4.251335144E0
7.195649013E1,5.235493773E1,4.850784220E0,9.280863242E0,4.860000134E0,8.969999695E1,1.039990330E1,4.203157902E0
7.295594008E1,5.235492456E1,4.850851160E0,9.104003459E0,4.849999905E0,9.269999695E1,1.033862209E1,3.996354580E0
7.395546794E1,5.235492925E1,4.850924540E0,1.090446738E1,4.780000210E0,8.300000000E1,1.031915855E1,3.960117579E0
7.495570174E1,5.235492655E1,4.851004150E0,9.881377151E0,5.570000172E0,9.330000305E1,1.026889801E1,3.868536472E0
7.595987127E1,5.235492873E1,4.851081550E0,1.007295314E1,5.340000153E0,8.609999847E1,1.017221069E1,3.615614176E0
7.695551882E1,5.235493154E1,4.851161600E0,9.770574031E0,5.650000095E0,8.859999847E1,1.023141670E1,3.509356022E0
7.795495934E1,5.235493112E1,4.851240030E0,1.006804297E1,5.420000076E0,9.219999695E1,1.008538246E1,3.371350765E0
7.895575716E1,5.235492706E1,4.851309030E0,1.116896815E1,4.880000114E0,1.000000000E2,1.006988811E1,3.289867640E0
7.995524190E1,5.235491002E1,4.851383670E0,1.108872603E1,5.190000057E0,1.160000000E2,1.001832390E1,3.135529041E0
8.095469789E1,5.235486004E1,4.851448760E0,9.058603055E0,5.280000210E0,1.213000031E2,1.012422943E1,3.385145664E0
8.195563710E1,5.235485341E1,4.851524840E0,9.380781155E0,4.940000057E0,1.095000000E2,1.055927944E1,4.202472687E0
8.295520835E1,5.235483773E1,4.851579010E0,9.543510094E0,3.910000086E0,1.139000015E2,1.158885765E1,5.279950619E0
8.395465877E1,5.235481998E1,4.851650690E0,9.289559208E0,5.269999981E0,1.135000000E2,1.343957138E1,6.410126686E0
8.495466861E1,5.235482253E1,4.851723220E0,8.867119241E0,5.349999905E0,9.609999847E1,1.326244640E1,7.546864510E0
8.595674575E1,5.235482086E1,4.851788420E0,9.316861508E0,5.110000134E0,8.940000153E1,1.388210297E1,8.504274368E0
8.695560064E1,5.235481756E1,4.851877570E0,7.343214413E0,6.070000172E0,9.030000305E1,1.416596889E1,9.030940056E0
8.795486710E1,5.235481461E1,4.851958140E0,6.929560422E0,5.139999866E0,9.309999847E1,1.425756073E1,9.214798927E0
8.895589668E1,5.235481833E1,4.852040650E0,6.881090252E0,5.170000076E0,9.159999847E1,1.463840580E1,9.729624748E0
8.995529549E1,5.235481242E1,4.852102530E0,7.195997993E0,4.929999828E0,9.409999847E1,1.480574894E1,1.002381706E1
9.095561554E1,5.235479661E1,4.852196000E0,6.976608286E0,5.639999866E0,1.076999969E2,1.553006458E1,1.013353539E1
9.195492215E1,5.235479911E1,4.852289890E0,6.109661517E0,5.409999847E0,8.959999847E1,1.479334831E1,1.003533459E1
9.295508585E1,5.235478768E1,4.852380090E0,6.681413769E0,5.380000114E0,9.630000305E1,1.469085312E1,9.890654564E0
9.395617444E1,5.235478616E1,4.852463980E0,6.556032741E0,5.780000210E0,9.430000305E1,1.476101208E1,9.837025642E0
9.495455330E1,5.235478646E1,4.852535760E0,6.139692698E0,5.420000076E0,9.459999847E1,1.475066662E1,9.696837425E0
9.595451913E1,5.235477875E1,4.852610090E0,6.467117294E0,5.440000057E0,9.440000153E1,1.461119270E1,9.388888359E0
9.695600835E1,5.235477387E1,4.852683960E0,6.622060246E0,5.239999771E0,9.409999847E1,1.437806034E1,8.970913887E0
9.795586319E1,5.235476804E1,4.852766120E0,6.658964651E0,5.019999981E0,9.159999847E1,1.394769955E1,8.299375534E0
9.895523439E1,5.235476241E1,4.852846840E0,7.150580419E0,4.750000000E0,9.319999695E1,1.356424046E1,7.563550472E0
9.995646715E1,5.235477313E1,4.852936560E0,6.014172573E0,3.849999905E0,7.980000305E1,1.273899651E1,6.820470810E0
1.009549141E2,5.235477241E1,4.852986070E0,5.948037989E0,2.559999943E0,1.084000015E2,1.222274399E1,6.353325367E0
1.019579012E2,5.235479222E1,4.853066480E0,6.729972500E0,3.210000038E0,9.019999695E1,1.116266155E1,5.470266342E0
1.029561674E2,5.235478791E1,4.853123490E0,6.113544230E0,3.730000019E0,9.580000305E1,1.089640427E1,4.848427296E0
1.039578450E2,5.235477232E1,4.853148470E0,7.118175411E0,2.210000038E0,1.005999985E2,1.047838497E1,4.589486122E0
