"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.074480870E-1,2.220399857E0,-4.057719803E1,-2.369239998E1
1.174480870E-1,2.256999969E0,-4.033319855E1,-2.410719872E1
1.274480870E-1,2.622999907E0,-4.018679810E1,-2.427799988E1
1.374480870E-1,3.001199961E0,-4.008919907E1,-2.447319984E1
1.474480870E-1,3.269599915E0,-3.999160004E1,-2.463179970E1
1.574480870E-1,3.537999868E0,-3.986959839E1,-2.471719933E1
1.674480870E-1,4.013800144E0,-3.973539734E1,-2.494899940E1
1.774480870E-1,4.489599705E0,-3.954019928E1,-2.501000023E1
1.874480870E-1,5.270400047E0,-3.925959778E1,-2.524180031E1
1.974480870E-1,6.136600018E0,-3.897900009E1,-2.525399971E1
2.074480870E-1,7.002799988E0,-3.866180038E1,-2.529059982E1
2.174480870E-1,7.978799820E0,-3.832019806E1,-2.527840042E1
2.274480870E-1,9.235400200E0,-3.799079895E1,-2.526619911E1
2.374480870E-1,1.027239990E1,-3.762479782E1,-2.522959900E1
2.474480870E-1,1.113859940E1,-3.727099991E1,-2.508320045E1
2.574480870E-1,1.185839939E1,-3.696599960E1,-2.508320045E1
2.674480870E-1,1.254160023E1,-3.662440109E1,-2.518079948E1
2.774480870E-1,1.309060001E1,-3.608760071E1,-2.576639938E1
2.874480870E-1,1.352979946E1,-3.579479980E1,-2.597379875E1
2.974480870E-1,1.376159954E1,-3.552639771E1,-2.620559883E1
3.074480870E-1,1.365180016E1,-3.523360062E1,-2.655939865E1
3.174480870E-1,1.372499943E1,-3.496519852E1,-2.688879967E1
3.274480870E-1,1.368839931E1,-3.475780106E1,-2.730360031E1
3.374480870E-1,1.374940014E1,-3.455039978E1,-2.774279976E1
3.474480870E-1,1.367619991E1,-3.433079910E1,-2.799899864E1
3.574480870E-1,1.344439983E1,-3.437960052E1,-2.802339935E1
3.674480870E-1,1.323699951E1,-3.419659805E1,-2.840159988E1
3.774480870E-1,1.304179955E1,-3.398920059E1,-2.881639862E1
3.874480870E-1,1.284659958E1,-3.345240021E1,-2.953619957E1
3.974480870E-1,1.267579937E1,-3.333039856E1,-2.992659950E1
4.074480870E-1,1.246840000E1,-3.313520050E1,-3.018280029E1
4.174480870E-1,1.217560005E1,-3.297660065E1,-3.034140015E1
4.274480870E-1,1.199259949E1,-3.285459900E1,-3.069519997E1
4.374480870E-1,1.193159962E1,-3.265940094E1,-3.086599922E1
4.474480870E-1,1.184619999E1,-3.252519989E1,-3.108559990E1
4.574480870E-1,1.168760014E1,-3.246419907E1,-3.124419975E1
4.674480870E-1,1.156559944E1,-3.275699997E1,-3.097579956E1
4.774480870E-1,1.135820007E1,-3.274480057E1,-3.110999870E1
4.874480870E-1,1.117519951E1,-3.269599915E1,-3.123199844E1
4.974480870E-1,1.090679932E1,-3.270819855E1,-3.142720032E1
5.074480870E-1,1.065059948E1,-3.269599915E1,-3.158580017E1
5.174480870E-1,1.039439964E1,-3.276919937E1,-3.175659943E1
5.274480870E-1,1.002839947E1,-3.280579758E1,-3.195179939E1
5.374480870E-1,9.674599648E0,-3.281800079E1,-3.204940033E1
5.474480870E-1,9.296400070E0,-3.286679840E1,-3.218359756E1
5.574480870E-1,8.918199539E0,-3.289120102E1,-3.224459839E1
5.674480870E-1,8.552199364E0,-3.298880005E1,-3.232999802E1
5.774480870E-1,8.259399414E0,-3.303759766E1,-3.239099884E1
5.874480870E-1,8.015399933E0,-3.312300110E1,-3.229339981E1
5.974480870E-1,7.783599854E0,-3.319619751E1,-3.223239899E1
6.074480870E-1,7.698199749E0,-3.328160095E1,-3.206159973E1
6.174480870E-1,7.600599766E0,-3.336700058E1,-3.197620010E1
6.274480870E-1,7.563999653E0,-3.345240021E1,-3.186639977E1
6.374480870E-1,7.551799774E0,-3.348899841E1,-3.176879883E1
6.474480870E-1,7.612799644E0,-3.357439804E1,-3.161019897E1
6.574480870E-1,7.698199749E0,-3.365979767E1,-3.141499901E1
6.674480870E-1,7.783599854E0,-3.370859909E1,-3.131739998E1
6.774480870E-1,7.954400063E0,-3.374520111E1,-3.107339859E1
6.874480870E-1,8.173999786E0,-3.380619812E1,-3.095139885E1
6.974480870E-1,8.466799736E0,-3.385499954E1,-3.082939911E1
7.074480870E-1,8.771800041E0,-3.387939835E1,-3.063419914E1
7.174480870E-1,9.088999748E0,-3.389159775E1,-3.052439880E1
7.274480870E-1,9.430600166E0,-3.389159775E1,-3.041459846E1
7.374480870E-1,9.711199760E0,-3.390380096E1,-3.021939850E1
7.474480870E-1,1.034560013E1,-3.396479797E1,-3.003639984E1
7.574480870E-1,1.063840008E1,-3.406240082E1,-2.995100021E1
7.674480870E-1,1.100440025E1,-3.408679962E1,-2.975580025E1
7.774480870E-1,1.145580006E1,-3.415999985E1,-2.949959946E1
7.874480870E-1,1.184619999E1,-3.417219925E1,-2.926779938E1
7.974480870E-1,1.229759979E1,-3.422100067E1,-2.896279907E1
8.074480870E-1,1.273680019E1,-3.426979828E1,-2.859679985E1
8.174480870E-1,1.328579998E1,-3.429420090E1,-2.826739883E1
