"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.904762400E-2,-3.477000046E1,-2.797459984E1,-2.841379929E1
1.090476240E-1,-3.500180054E1,-2.795019913E1,-2.851140022E1
1.190476240E-1,-3.502619934E1,-2.791359901E1,-2.837719917E1
1.290476240E-1,-3.506279755E1,-2.787699890E1,-2.859679985E1
1.390476240E-1,-3.494079971E1,-2.784039879E1,-2.871879959E1
1.490476240E-1,-3.491640091E1,-2.781599998E1,-2.877979851E1
1.590476240E-1,-3.491640091E1,-2.782819939E1,-2.879199982E1
1.690476240E-1,-3.489199829E1,-2.784039879E1,-2.885299873E1
1.790476240E-1,-3.494079971E1,-2.786479950E1,-2.890180016E1
1.890476240E-1,-3.486759949E1,-2.782819939E1,-2.901159859E1
1.990476240E-1,-3.486759949E1,-2.781599998E1,-2.924339867E1
2.090476240E-1,-3.479439926E1,-2.784039879E1,-2.923119926E1
2.190476240E-1,-3.483099747E1,-2.785260010E1,-2.924339867E1
2.290476240E-1,-3.479439926E1,-2.788920021E1,-2.925559998E1
2.390476240E-1,-3.473339844E1,-2.790139961E1,-2.934099960E1
2.490476240E-1,-3.472119904E1,-2.786479950E1,-2.940199852E1
2.590476240E-1,-3.462360001E1,-2.784039879E1,-2.945079994E1
2.690476240E-1,-3.461140060E1,-2.786479950E1,-2.945079994E1
2.790476240E-1,-3.455039978E1,-2.788920021E1,-2.937759972E1
2.890476240E-1,-3.453820038E1,-2.788920021E1,-2.942639923E1
2.990476240E-1,-3.450159836E1,-2.791359901E1,-2.947519875E1
3.090476240E-1,-3.448939896E1,-2.787699890E1,-2.953619957E1
3.190476240E-1,-3.450159836E1,-2.781599998E1,-2.956060028E1
3.290476240E-1,-3.445280075E1,-2.788920021E1,-2.957279968E1
3.390476240E-1,-3.442839813E1,-2.787699890E1,-2.958499908E1
3.490476240E-1,-3.430640030E1,-2.790139961E1,-2.952400017E1
3.590476240E-1,-3.429420090E1,-2.788920021E1,-2.953619957E1
3.690476240E-1,-3.426979828E1,-2.787699890E1,-2.953619957E1
3.790476240E-1,-3.423320007E1,-2.785260010E1,-2.949959946E1
3.890476240E-1,-3.423320007E1,-2.786479950E1,-2.946299934E1
3.990476240E-1,-3.396479797E1,-2.793799973E1,-2.941419983E1
4.090476240E-1,-3.397700119E1,-2.791359901E1,-2.934099960E1
4.190476240E-1,-3.397700119E1,-2.796239853E1,-2.937759972E1
4.290476240E-1,-3.408679962E1,-2.795019913E1,-2.942639923E1
4.390476240E-1,-3.409899902E1,-2.798679924E1,-2.935319901E1
4.490476240E-1,-3.412339783E1,-2.775499916E1,-2.970699883E1
4.590476240E-1,-3.409899902E1,-2.777939987E1,-2.969479942E1
4.690476240E-1,-3.409899902E1,-2.782819939E1,-2.959719849E1
4.790476240E-1,-3.431859970E1,-2.784039879E1,-2.958499908E1
