"Time (s)","Distance (cm)"
0.000000000E0,5.000000000E0
0.000000000E0,0.000000000E0
1.104355516E2,5.000000000E0
1.017655156E2,0.000000000E0
3.096149802E2,5.000000000E0
3.106666773E2,0.000000000E0
3.109772565E2,5.000000000E0
3.010945333E2,0.000000000E0
