"event","experiment time","system time","system time text"
"START",0.000000000E0,1686149919.807,"2023-06-07 16:58:39.807 UTC+02:00"
"PAUSE",3.601105987E2,1686150279.918,"2023-06-07 17:04:39.918 UTC+02:00"
