"event","experiment time","system time","system time text"
"START",0.000000000E0,1686146149.295,"2023-06-07 15:55:49.295 UTC+02:00"
"PAUSE",3.001030026E2,1686146449.398,"2023-06-07 16:00:49.398 UTC+02:00"
