"event","experiment time","system time","system time text"
"START",0.000000000E0,1686155661.406,"2023-06-07 18:34:21.406 UTC+02:00"
"PAUSE",4.201180167E2,1686156081.524,"2023-06-07 18:41:21.524 UTC+02:00"
