"event","experiment time","system time","system time text"
"START",0.000000000E0,1686155164.085,"2023-06-07 18:26:04.085 UTC+02:00"
"PAUSE",4.200929815E2,1686155584.178,"2023-06-07 18:33:04.178 UTC+02:00"
