"event","experiment time","system time","system time text"
"START",0.000000000E0,1686154050.394,"2023-06-07 18:07:30.394 UTC+02:00"
"PAUSE",2.563352574E2,1686154306.729,"2023-06-07 18:11:46.729 UTC+02:00"
"START",2.563352574E2,1686154336.943,"2023-06-07 18:12:16.943 UTC+02:00"
"PAUSE",3.903002519E2,1686154470.908,"2023-06-07 18:14:30.908 UTC+02:00"
