,time,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,loc_speed,label,label_cycling,label_hammocking,label_running,label_sitting,label_walking,lin_acc_x_lowpass,lin_acc_y_lowpass,lin_acc_z_lowpass,acc_x_temp_mean_ws_50
0,2023-06-13 17:43:07.000,-3.503708299172,8.963105842615997,-1.5171050606176315,0.2664388899447577,0.23781716063631825,-0.7002388550447023,0.0,cycling,1.0,0.0,0.0,0.0,0.0,0.2664388899447577,0.23781716063631825,-0.7002388550447023,
1,2023-06-13 17:43:07.250,-4.062482397379033,8.631932204758066,-0.11463688869451615,-0.04624899386320968,0.12163590583975226,0.2027854929588634,0.0,cycling,1.0,0.0,0.0,0.0,0.0,-0.04624899386320968,0.12163590583975226,0.2027854929588634,
2,2023-06-13 17:43:07.500,-4.850566436776,7.392662796160001,0.17222929103903994,-0.17205763905353638,-0.3742240933276058,0.6729843220587306,0.200625002375,cycling,1.0,0.0,0.0,0.0,0.0,-0.17205763905353638,-0.3742240933276058,0.6729843220587306,
3,2023-06-13 17:43:07.750,-4.208610772374112,9.03802452154032,-0.7895507661764515,-0.0785323021624961,0.3546710053196843,-0.023139388590764955,0.40125000475,cycling,1.0,0.0,0.0,0.0,0.0,-0.0785323021624961,0.3546710053196843,-0.023139388590764955,
4,2023-06-13 17:43:08.000,-3.42650007866104,8.838554710255998,-2.2935877614623204,0.03663563472900352,0.5493885384566695,-0.6625920257818944,0.601875007125,cycling,1.0,0.0,0.0,0.0,0.0,0.03663563472900352,0.5493885384566695,-0.6625920257818944,
5,2023-06-13 17:43:08.250,-3.367748782508065,8.912724798685483,-2.516460442364226,-0.13594880030109596,0.16113441825276564,-0.40060797837192863,0.8025000095,cycling,1.0,0.0,0.0,0.0,0.0,-0.13594880030109596,0.16113441825276564,-0.40060797837192863,
6,2023-06-13 17:43:08.500,-3.5466267470162403,9.403270198911999,-0.8562622934717601,-0.21676362023970092,0.404073786138947,0.020921984183126102,1.003125011875,cycling,1.0,0.0,0.0,0.0,0.0,-0.21676362023970092,0.404073786138947,0.020921984183126102,
7,2023-06-13 17:43:08.750,-4.4110559705564505,8.077539390056451,-0.3942902579880645,0.11757426349700112,-0.13195178526799364,0.2428047916738888,1.20375001425,cycling,1.0,0.0,0.0,0.0,0.0,0.11757426349700112,-0.13195178526799364,0.2428047916738888,
8,2023-06-13 17:43:09.000,-3.61615436313792,8.535654644128003,-0.5679333730863199,0.2957125150495614,-0.2811615861265576,0.05383427089261651,1.404375016625,cycling,1.0,0.0,0.0,0.0,0.0,0.2957125150495614,-0.2811615861265576,0.05383427089261651,
9,2023-06-13 17:43:09.250,-3.8191137371620965,8.66383401801613,-1.8926164322840324,0.16632108669583495,0.2958760379048985,-0.12676729569450146,1.605000019,cycling,1.0,0.0,0.0,0.0,0.0,0.16632108669583495,0.2958760379048985,-0.12676729569450146,
10,2023-06-13 17:43:09.500,-3.7826615278199993,8.657093387671999,-2.4175020656586392,-0.13609196996211087,0.034134953164934236,-0.0201410927722467,1.805625021375,cycling,1.0,0.0,0.0,0.0,0.0,-0.13609196996211087,0.034134953164934236,-0.0201410927722467,
11,2023-06-13 17:43:09.750,-4.228951842057258,8.761484569112907,-1.0833714426863712,-0.3437783701921551,0.1086343967363322,-0.19803633329417755,2.00625002375,cycling,1.0,0.0,0.0,0.0,0.0,-0.3437783701921551,0.1086343967363322,-0.19803633329417755,
12,2023-06-13 17:43:10.000,-4.2479075546264005,8.60770579912,-0.70565262994672,0.243166460890864,0.0483901454366273,-0.01655844772559573,2.206875026125,cycling,1.0,0.0,0.0,0.0,0.0,0.243166460890864,0.0483901454366273,-0.01655844772559573,
13,2023-06-13 17:43:10.250,-3.028264502822815,7.991237059661291,-0.32379647113840315,0.6081112467498603,-0.5199523301152633,0.3193459848867838,2.4075000285,cycling,1.0,0.0,0.0,0.0,0.0,0.6081112467498603,-0.5199523301152633,0.3193459848867838,
14,2023-06-13 17:43:10.500,-3.5256439550216,9.274194080248,-2.3546638490764,-0.22709804193844746,0.1722641244066509,-0.2420294599402964,2.608125030875,cycling,1.0,0.0,0.0,0.0,0.0,-0.22709804193844746,0.1722641244066509,-0.2420294599402964,
15,2023-06-13 17:43:10.750,-3.92759618099,8.950781008556453,-2.9400555462878235,-0.5411086608678374,0.7623224550288215,-0.3758438161797934,2.80875003325,cycling,1.0,0.0,0.0,0.0,0.0,-0.5411086608678374,0.7623224550288215,-0.3758438161797934,
16,2023-06-13 17:43:11.000,-3.3863205655792004,9.544647897472002,-1.6086066626528002,0.10390296349340328,0.2862134616185371,0.08069916346595672,3.009375035625,cycling,1.0,0.0,0.0,0.0,0.0,0.10390296349340328,0.2862134616185371,0.08069916346595672,
17,2023-06-13 17:43:11.250,-3.64160491847121,7.920178489691048,-1.3661478995395158,0.3090292241196322,-0.16479855783225278,0.04173720233092637,3.210000038,cycling,1.0,0.0,0.0,0.0,0.0,0.3090292241196322,-0.16479855783225278,0.04173720233092637,
18,2023-06-13 17:43:11.500,-3.4578497489056,8.57728016664,-1.5569254248670399,0.11050038452777024,-0.4977946379166421,0.14886985191687538,2.76000002025,cycling,1.0,0.0,0.0,0.0,0.0,0.11050038452777024,-0.4977946379166421,0.14886985191687538,
19,2023-06-13 17:43:11.750,-3.2791440200629034,8.316843660629031,-2.5060968429057264,-0.10156574208968937,-0.13808269755527472,-0.016471945646358472,2.3100000025,cycling,1.0,0.0,0.0,0.0,0.0,-0.10156574208968937,-0.13808269755527472,-0.016471945646358472,
