"event","experiment time","system time","system time text"
"START",0.000000000E0,1686156191.331,"2023-06-07 18:43:11.331 UTC+02:00"
"PAUSE",4.201032974E2,1686156611.435,"2023-06-07 18:50:11.435 UTC+02:00"
