"Time (s)","Illuminance (lx)"
0.000000000E0,3.128152588E3
4.678605300E-2,3.046072510E3
1.134361570E-1,2.963520020E3
1.801101150E-1,2.897842529E3
2.467715220E-1,2.804895020E3
3.134348030E-1,2.749477539E3
3.801025110E-1,2.661862549E3
4.467680840E-1,2.501482666E3
5.134318340E-1,2.362905029E3
5.801055320E-1,2.302965088E3
6.467665740E-1,2.302965088E3
7.134299590E-1,2.302965088E3
7.800994900E-1,2.350755127E3
8.467645420E-1,2.440530029E3
9.134281880E-1,2.547787598E3
9.800971990E-1,2.557372559E3
1.046762147E0,2.563515137E3
1.113425011E0,2.578702637E3
1.180094647E0,2.668410156E3
1.246759803E0,2.679952637E3
1.313425219E0,2.679952637E3
1.380092459E0,2.679952637E3
1.446758084E0,2.650320068E3
1.513423917E0,2.632432617E3
1.580090792E0,2.610022705E3
1.646755897E0,2.600640137E3
1.713420688E0,2.599155029E3
1.780088709E0,2.561827637E3
1.846755063E0,2.406847656E3
1.913417667E0,2.302965088E3
1.980087147E0,2.201310059E3
2.046753188E0,2.040727539E3
2.113415011E0,1.942650024E3
2.180089022E0,1.897425049E3
2.246757459E0,1.886760132E3
2.313413553E0,1.850107544E3
2.380082772E0,1.810890015E3
2.446749803E0,1.810890015E3
2.513410792E0,1.810890015E3
2.580080584E0,1.818517578E3
2.646746261E0,1.902150024E3
2.713409542E0,2.036272583E3
2.780079230E0,2.101275146E3
2.846745011E0,2.110050049E3
2.913407459E0,2.145420166E3
2.980075949E0,2.387205078E3
3.046743397E0,2.421562500E3
3.113406938E0,2.424735107E3
3.180074542E0,2.430067627E3
3.246741730E0,2.511945068E3
3.313405376E0,2.511945068E3
3.380071730E0,2.511945068E3
3.446737928E0,2.447550049E3
3.513401105E0,2.443702637E3
3.580071261E0,2.384235107E3
3.646737511E0,2.235600098E3
3.713399022E0,2.188080078E3
3.780068397E0,2.188080078E3
3.846734855E0,2.188080078E3
3.913398292E0,2.234992676E3
3.980067667E0,2.265030029E3
4.046734230E0,2.352239990E3
4.113397980E0,2.463345215E3
4.180064751E0,2.605567627E3
4.246731626E0,2.605567627E3
4.313392459E0,2.605567627E3
4.380066522E0,2.557372559E3
4.446728501E0,2.557372559E3
4.513389855E0,2.557372559E3
4.580059438E0,2.566080078E3
4.646729334E0,2.607862549E3
4.713388917E0,2.686972656E3
4.780058813E0,2.686972656E3
4.846724907E0,2.686972656E3
4.913387042E0,2.636887695E3
4.980058084E0,2.636887695E3
5.046724438E0,2.636887695E3
5.113385272E0,2.652682617E3
5.180055688E0,2.652682617E3
5.246721001E0,2.652682617E3
5.313384803E0,2.218320068E3
5.380056209E0,2.088517578E3
5.446718917E0,2.088517578E3
5.513381209E0,2.088517578E3
5.580051417E0,2.252205078E3
5.646722563E0,2.310457520E3
5.713380376E0,2.335635010E3
5.780053917E0,2.498917480E3
5.846716417E0,2.557170166E3
5.913377667E0,2.557170166E3
5.980047251E0,2.557170166E3
6.046716001E0,2.553525146E3
6.113374855E0,2.413665039E3
6.180043605E0,2.346907715E3
6.246711053E0,2.340697510E3
6.313373344E0,2.336647705E3
6.380042355E0,2.340697510E3
6.446708292E0,2.335364990E3
6.513371417E0,2.293177490E3
6.580042147E0,2.335364990E3
6.646714542E0,2.380387695E3
6.713369751E0,2.368440186E3
6.780039230E0,2.368440186E3
6.846704959E0,2.368440186E3
6.913361522E0,2.284200195E3
6.980036522E0,2.284200195E3
7.046702980E0,2.284200195E3
7.113365688E0,2.186594971E3
7.180034647E0,2.365065186E3
7.246701834E0,2.428582520E3
7.313362980E0,2.428582520E3
7.380034126E0,2.650117676E3
7.446702876E0,2.788695068E3
7.513360584E0,2.815560059E3
7.580028709E0,2.822782715E3
7.646697459E0,3.059302734E3
7.713360480E0,3.059302734E3
7.780030167E0,3.059302734E3
7.846693969E0,3.018532715E3
7.913360063E0,2.838172607E3
7.980026990E0,2.733885010E3
8.046699438E0,2.606377686E3
8.113355792E0,2.606377686E3
8.180025897E0,2.606377686E3
8.246690792E0,2.654167725E3
8.313353553E0,2.701890137E3
8.380023865E0,2.728147705E3
8.446688969E0,2.728147705E3
8.513351209E0,2.728147705E3
8.580020272E0,2.712352539E3
8.646686001E0,2.685690186E3
8.713351209E0,2.655247559E3
8.780017407E0,2.572897705E3
8.846686261E0,2.519370117E3
8.913347303E0,2.479342529E3
8.980018501E0,2.457337646E3
9.046683917E0,2.444580078E3
9.113344959E0,2.444580078E3
9.180019126E0,2.444580078E3
9.246681105E0,2.480354980E3
9.313343657E0,2.502562500E3
9.380014386E0,2.543940186E3
9.446681105E0,2.565000000E3
9.513342147E0,2.627707520E3
9.580010272E0,2.677185059E3
9.646676105E0,2.683800049E3
9.713340063E0,2.683800049E3
9.780007980E0,2.683800049E3
9.846677147E0,2.683800049E3
9.913336626E0,2.683800049E3
9.980008084E0,2.686567627E3
1.004667277E1,2.709585205E3
1.011333486E1,2.734762695E3
1.018000381E1,2.749275146E3
1.024667121E1,2.749275146E3
1.031333298E1,2.749275146E3
1.037999965E1,2.712555176E3
1.044666965E1,2.639857666E3
1.051333058E1,2.592135010E3
1.058000131E1,2.557372559E3
1.064666657E1,2.494867676E3
1.071332986E1,2.478667480E3
1.077999881E1,2.478667480E3
1.084666730E1,2.478667480E3
1.091332965E1,2.496150146E3
1.097999694E1,2.516400146E3
1.104666251E1,2.541375000E3
1.111332439E1,2.574854980E3
1.117999933E1,2.596387695E3
1.124665975E1,2.626425049E3
1.131332308E1,2.674417725E3
1.137999251E1,2.674417725E3
1.144666048E1,2.674417725E3
1.151332058E1,2.640532715E3
1.157999277E1,2.602125000E3
1.164665605E1,2.597467529E3
1.171331767E1,2.591864990E3
1.177998892E1,2.591864990E3
1.184665834E1,2.591864990E3
1.191331767E1,2.596185059E3
1.197998558E1,2.596185059E3
1.204665121E1,2.596185059E3
1.211331683E1,2.577420166E3
1.217998538E1,2.474820068E3
1.224664975E1,2.343060059E3
1.231331918E1,2.155207520E3
1.237998350E1,2.088247559E3
1.244664621E1,2.052472656E3
1.251331267E1,1.947105103E3
1.257997725E1,1.865227539E3
1.264664600E1,1.821082520E3
1.271331058E1,1.821082520E3
1.277997902E1,1.821082520E3
1.284664423E1,1.873530029E3
1.291330767E1,1.891485107E3
1.297998006E1,1.898910034E3
1.304664246E1,1.900665039E3
1.311330746E1,1.945012573E3
1.317998236E1,1.966072632E3
1.324664142E1,2.014942627E3
1.331330642E1,2.053282471E3
1.337997308E1,2.053282471E3
1.344663829E1,2.053282471E3
1.351330496E1,1.960335083E3
1.357997475E1,1.960335083E3
1.364664256E1,1.960335083E3
1.371330329E1,2.017710083E3
1.377996814E1,2.043697632E3
1.384663496E1,2.043697632E3
1.391329767E1,2.043697632E3
1.397996558E1,1.988077637E3
1.404663256E1,1.934347534E3
1.411329621E1,1.882102539E3
1.417996756E1,1.762897583E3
1.424663371E1,1.693575073E3
1.431329808E1,1.569105103E3
1.437995975E1,1.356075073E3
1.444662642E1,1.322797607E3
1.451329126E1,1.306192505E3
1.457996163E1,1.271025024E3
1.464662647E1,1.271025024E3
1.471328715E1,1.271025024E3
1.477995756E1,1.284660034E3
1.484662308E1,1.289992554E3
1.491328694E1,1.308285034E3
1.497995663E1,1.309162598E3
1.504662017E1,1.312335083E3
1.511328251E1,1.312335083E3
1.517995819E1,1.312335083E3
1.524662340E1,1.312335083E3
1.531328246E1,1.322595093E3
1.537995048E1,1.322595093E3
1.544661814E1,1.412977539E3
1.551328022E1,1.803870117E3
1.557994892E1,2.087437500E3
1.564661933E1,2.087437500E3
1.571327751E1,2.087437500E3
1.577994756E1,2.040930054E3
1.584661741E1,2.026890137E3
1.591327522E1,2.010217529E3
1.597994480E1,2.003197632E3
1.604661840E1,1.992937622E3
1.611327308E1,1.974172607E3
1.617994376E1,1.959930054E3
1.624661038E1,1.847137573E3
1.631327246E1,1.756485107E3
1.637994100E1,1.756485107E3
1.644660923E1,1.847137573E3
1.651327006E1,2.211705078E3
1.657993834E1,2.251597656E3
1.664660725E1,2.273535156E3
1.671326808E1,2.336242676E3
1.677993715E1,2.404890137E3
1.684660522E1,2.440530029E3
1.691326501E1,2.702970215E3
1.697992824E1,2.702970215E3
1.704660366E1,2.702970215E3
1.711326548E1,2.685285156E3
1.717993329E1,2.575665039E3
1.724660048E1,2.440732666E3
1.731326105E1,2.241337646E3
1.737993715E1,1.668262573E3
1.744660579E1,1.477845093E3
1.751325860E1,1.297417603E3
1.757992902E1,1.142437500E3
1.764659631E1,9.213075562E2
1.771325933E1,9.008550415E2
1.777992548E1,9.008550415E2
1.784659277E1,9.008550415E2
1.791325517E1,9.326475220E2
1.797992522E1,9.486450195E2
1.804659215E1,1.024515015E3
1.811326017E1,1.379497559E3
1.817992142E1,1.511527588E3
1.824659022E1,1.614060059E3
1.831325064E1,1.991925049E3
1.837992475E1,2.191657471E3
1.844658777E1,2.347312500E3
1.851324954E1,2.428987549E3
1.857991975E1,2.527537598E3
1.864658845E1,2.547787598E3
1.871324834E1,2.584845215E3
1.877991970E1,2.721937500E3
1.884658163E1,2.776950195E3
1.891324496E1,2.776950195E3
1.897991881E1,2.776950195E3
1.904658413E1,2.733277588E3
1.911324308E1,2.684205078E3
1.917991277E1,2.636010010E3
1.924657855E1,2.543940186E3
1.931324131E1,2.509582520E3
1.937991069E1,2.468677490E3
1.944658506E1,2.438370117E3
1.951323876E1,2.383762695E3
1.957990871E1,2.352037598E3
1.964657715E1,2.324295166E3
1.971323725E1,2.196989990E3
1.977990892E1,2.148390137E3
1.984657267E1,2.036677612E3
1.991323522E1,1.967557617E3
1.997990350E1,1.716660034E3
2.004657293E1,1.572075073E3
2.011323288E1,1.572075073E3
2.017990204E1,1.572075073E3
2.024656767E1,1.597455078E3
2.031323022E1,1.802992554E3
2.037990001E1,1.916392578E3
2.044656564E1,1.922400024E3
2.051322850E1,1.925167603E3
2.057989788E1,1.925167603E3
2.064656355E1,1.925167603E3
2.071322595E1,1.886760132E3
2.077989751E1,1.859692627E3
2.084656048E1,1.843695068E3
2.091322392E1,1.756687622E3
2.097989324E1,1.723882568E3
2.104655913E1,1.693845093E3
2.111321798E1,1.579972534E3
2.117989105E1,1.532655029E3
2.124656064E1,1.532655029E3
2.131322058E1,1.532655029E3
2.137988913E1,1.563097534E3
2.144655600E1,1.604880005E3
2.151321840E1,1.648822510E3
2.157989105E1,1.753717529E3
2.164655871E1,1.799347534E3
2.171321694E1,1.858207520E3
2.177988746E1,1.992937622E3
2.184655647E1,2.082104980E3
2.191321538E1,2.166547607E3
2.197988538E1,2.233912598E3
2.204655386E1,2.301885010E3
2.211321230E1,2.336040039E3
2.217988334E1,2.339212646E3
2.224655636E1,2.339212646E3
2.231321121E1,2.339212646E3
2.237988522E1,2.282310059E3
2.244654673E1,2.182072510E3
2.251321256E1,1.936912598E3
2.257987996E1,1.936912598E3
2.264654465E1,1.936912598E3
2.271320626E1,2.201715088E3
2.277987605E1,2.259697510E3
2.284654215E1,2.259697510E3
2.291320558E1,2.259697510E3
2.297987350E1,2.109780029E3
2.304654215E1,2.066107666E3
2.311320246E1,2.005087524E3
2.317987355E1,1.874205078E3
2.324654230E1,1.741567627E3
2.331320189E1,1.538392578E3
2.337986855E1,1.388475098E3
2.344653538E1,1.186380005E3
2.351319881E1,1.122187500E3
2.357986923E1,1.106392578E3
2.364653501E1,1.105312500E3
2.371319642E1,1.099980103E3
2.377986902E1,1.099980103E3
2.384654334E1,1.105312500E3
2.391319642E1,1.171665039E3
2.397986433E1,1.245645020E3
2.404652944E1,1.261845093E3
2.411319225E1,1.301062500E3
2.417986204E1,1.318747559E3
2.424653168E1,1.334947510E3
2.431319173E1,1.353510010E3
2.437985871E1,1.527727539E3
2.444652798E1,1.574842529E3
2.451318782E1,1.597657593E3
2.457985657E1,1.604070068E3
2.464652694E1,1.687837524E3
2.471318600E1,1.806367554E3
2.477985725E1,1.906200073E3
2.484652131E1,2.036475098E3
2.491318397E1,2.070765137E3
2.497985418E1,2.107485107E3
2.504651850E1,2.184637695E3
2.511318204E1,2.220479980E3
2.517985183E1,2.244104980E3
2.524651918E1,2.273332520E3
2.531317980E1,2.378902588E3
2.537984902E1,2.451397705E3
2.544651465E1,2.523690186E3
2.551317819E1,2.626020020E3
2.557984751E1,2.650522705E3
2.564651006E1,2.650522705E3
2.571317642E1,2.650522705E3
2.577984631E1,2.648632568E3
2.584651454E1,2.622577637E3
2.591317975E1,2.569050049E3
2.597984871E1,2.431552490E3
2.604651100E1,2.347312500E3
2.611317105E1,2.271442627E3
2.617984246E1,2.214742676E3
2.624650975E1,2.077177490E3
2.631316996E1,2.014065063E3
2.637983996E1,2.014065063E3
2.644650543E1,2.014065063E3
2.651316965E1,2.056320068E3
2.657983923E1,2.116395020E3
2.664650564E1,2.191657471E3
2.671316954E1,2.269755127E3
2.677983704E1,2.293582520E3
2.684650204E1,2.306407471E3
2.691316308E1,2.392335205E3
2.697983527E1,2.392335205E3
2.704650090E1,2.392335205E3
2.711316173E1,2.298510010E3
2.717983183E1,1.712812622E3
2.724649902E1,1.330290039E3
2.731315996E1,1.082497559E3
2.737983433E1,7.541775513E2
2.744649590E1,7.113150024E2
2.751315798E1,5.778000488E2
2.757982798E1,4.596750183E2
2.764649605E1,4.596750183E2
2.771315642E1,4.596750183E2
2.777982418E1,5.232600098E2
2.784649142E1,5.496525269E2
2.791315392E1,5.496525269E2
2.797982527E1,5.496525269E2
2.804649209E1,5.277150269E2
2.811315251E1,5.215050049E2
2.817982100E1,5.215050049E2
2.824648939E1,5.215050049E2
2.831314850E1,5.358150024E2
2.837981965E1,5.383800049E2
2.844648527E1,5.418225098E2
2.851314704E1,5.635574951E2
2.857981829E1,5.748300171E2
2.864648423E1,5.782725220E2
2.871314501E1,5.874525146E2
2.877981183E1,6.232275391E2
2.884648288E1,6.411824951E2
2.891314350E1,6.445574951E2
2.897981381E1,6.480000000E2
2.904648204E1,6.558300171E2
2.911314157E1,6.558300171E2
2.917981100E1,6.558300171E2
2.924647954E1,6.535350342E2
2.931313881E1,6.498900146E2
2.937981131E1,6.486075439E2
2.944647548E1,6.296400146E2
2.951313725E1,6.166125488E2
2.957980475E1,6.021000366E2
2.964647225E1,5.831325073E2
2.971313694E1,5.326425171E2
2.977980433E1,5.155650024E2
2.984647152E1,4.946400146E2
2.991313329E1,4.627125244E2
2.997980236E1,4.556250305E2
3.004646840E1,4.556250305E2
3.011313256E1,4.556250305E2
3.017979866E1,4.741875305E2
3.024646845E1,4.893075256E2
3.031312876E1,5.098275146E2
3.037979850E1,5.505300293E2
3.044646522E1,5.671350098E2
3.051312923E1,5.836050415E2
3.057979491E1,6.000075073E2
3.064646183E1,6.097950439E2
3.071312454E1,6.104700317E2
3.077979600E1,6.155325317E2
3.084646142E1,6.413850098E2
3.091312308E1,6.548175049E2
3.097979360E1,6.627150269E2
3.104645782E1,6.627150269E2
3.111312121E1,6.627150269E2
3.117979449E1,6.594750366E2
3.124646256E1,6.556275024E2
3.131311902E1,6.224175415E2
3.137979215E1,6.031800537E2
3.144645496E1,5.906250000E2
3.151311793E1,5.782725220E2
3.157978730E1,5.567400513E2
3.164645194E1,5.441174927E2
3.171311546E1,5.368950195E2
3.177978712E1,5.185350342E2
3.184645525E1,5.127975464E2
3.191311473E1,5.127975464E2
3.197978358E1,5.127975464E2
3.204645129E1,5.313600464E2
3.211311191E1,5.552550049E2
3.217978275E1,5.801625366E2
3.224645535E1,6.166125488E2
3.231310900E1,6.351750488E2
3.237978014E1,6.526575317E2
3.244644733E1,6.741900024E2
3.251311316E1,6.842474976E2
3.257977650E1,6.910650024E2
3.264644337E1,6.982875366E2
3.271310608E1,7.093575439E2
3.277977816E1,7.093575439E2
3.284644233E1,7.093575439E2
3.291310358E1,6.961950073E2
3.297977608E1,6.895800171E2
3.304643843E1,6.850575562E2
3.311310066E1,6.784425049E2
3.317977441E1,6.616350098E2
3.324643738E1,6.409125366E2
3.331309962E1,6.180975342E2
3.337976947E1,5.784750366E2
3.344643566E1,5.624775391E2
3.351309806E1,5.468850098E2
3.357976858E1,5.317650146E2
3.364643639E1,5.157675171E2
3.371309556E1,5.157675171E2
3.377976483E1,5.157675171E2
3.384643035E1,5.368950195E2
3.391309410E1,5.571450195E2
3.397976785E1,5.786775513E2
3.404643150E1,6.038550415E2
3.411309087E1,6.388200073E2
3.417976525E1,6.575850220E2
3.424643634E1,6.797250366E2
3.431308889E1,7.174575195E2
3.437975816E1,7.279200439E2
3.444642504E1,7.336575317E2
3.451308816E1,7.362225342E2
3.457976212E1,7.368975220E2
3.464642827E1,7.402725220E2
3.471308525E1,7.473600464E2
3.477975556E1,7.935975342E2
3.484642191E1,8.140500488E2
3.491308254E1,8.140500488E2
3.497975337E1,8.140500488E2
3.504641879E1,7.917075195E2
3.511308129E1,7.682175293E2
3.517975233E1,7.358175049E2
3.524642025E1,6.797250366E2
3.531307983E1,6.642000122E2
3.537975035E1,6.524550171E2
3.544641962E1,6.469200439E2
3.551307655E1,6.079050293E2
3.557974785E1,6.079050293E2
3.564641608E1,6.079050293E2
3.571307504E1,6.366600342E2
3.577974572E1,6.515775146E2
3.584641066E1,6.656849976E2
3.591307483E1,6.799275513E2
3.597973931E1,6.863400269E2
3.604641072E1,6.918750000E2
