"Time (s)","Distance (cm)"
0.000000000E0,5.000000000E0
2.330416564E1,0.000000000E0
2.470243892E1,5.000000000E0
2.682555433E1,0.000000000E0
5.696299608E1,5.000000000E0
5.763624332E1,0.000000000E0
