"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.983430890E-1,5.237714860E1,4.878178700E0,2.639063483E0,0.000000000E0,0.000000000E0,1.870999908E1,1.259356737E0
3.019866926E0,5.237716311E1,4.878031110E0,5.727728047E0,0.000000000E0,0.000000000E0,2.036988640E1,4.136174011E1
4.020212134E0,5.237714154E1,4.878042120E0,1.057908344E1,0.000000000E0,0.000000000E0,1.780036926E1,3.152059174E1
5.021541457E0,5.237712611E1,4.877980700E0,2.386930922E1,0.000000000E0,0.000000000E0,1.426675892E1,2.500883293E1
6.023499946E0,5.237711825E1,4.877965650E0,2.034200669E1,0.000000000E0,0.000000000E0,1.157709408E1,2.002240944E1
7.020709893E0,5.237714490E1,4.877949160E0,1.823101171E1,0.000000000E0,0.000000000E0,1.000664616E1,1.709338379E1
8.021007497E0,5.237713269E1,4.877925060E0,2.358632719E1,0.000000000E0,0.000000000E0,9.709323883E0,1.605241394E1
9.029267340E0,5.237713510E1,4.877917090E0,2.715261013E1,0.000000000E0,0.000000000E0,9.794822693E0,1.563770676E1
1.001946708E1,5.237714235E1,4.877923620E0,2.545004846E1,0.000000000E0,0.000000000E0,9.508222580E0,1.488239098E1
1.102152593E1,5.237715078E1,4.877936640E0,2.258745804E1,0.000000000E0,0.000000000E0,8.830635071E0,1.345858765E1
1.202133072E1,5.237713190E1,4.877913850E0,2.921815550E1,0.000000000E0,0.000000000E0,9.371687889E0,1.400740147E1
1.302312994E1,5.237712788E1,4.877900760E0,3.019446059E1,0.000000000E0,0.000000000E0,8.450016022E0,1.277372169E1
1.402386567E1,5.237712889E1,4.877902560E0,3.045361833E1,0.000000000E0,0.000000000E0,7.879248619E0,1.191728306E1
1.502011380E1,5.237712441E1,4.877896800E0,3.092809598E1,0.000000000E0,0.000000000E0,8.504439354E0,1.270592499E1
1.602040390E1,5.237712420E1,4.877896440E0,3.062554420E1,0.000000000E0,0.000000000E0,9.613092422E0,1.402276230E1
1.702008359E1,5.237712374E1,4.877896120E0,3.032854630E1,0.000000000E0,0.000000000E0,1.095565796E1,1.558379173E1
1.802356400E1,5.237712318E1,4.877895670E0,3.033464876E1,0.000000000E0,0.000000000E0,1.063903618E1,1.518940163E1
1.902216604E1,5.237711889E1,4.877890710E0,3.099949579E1,0.000000000E0,0.000000000E0,1.096979141E1,1.565495491E1
2.002436567E1,5.237711833E1,4.877890750E0,3.084831095E1,0.000000000E0,0.000000000E0,1.033313465E1,1.477776432E1
2.102090452E1,5.237711693E1,4.877890870E0,3.037424898E1,0.000000000E0,0.000000000E0,1.031475735E1,1.474049187E1
2.202204583E1,5.237712456E1,4.877900100E0,2.880743160E1,0.000000000E0,0.000000000E0,9.766320229E0,1.421310329E1
2.302160635E1,5.237712668E1,4.877900480E0,2.876483227E1,0.000000000E0,0.000000000E0,9.651386261E0,1.401656055E1
2.402135707E1,5.237712531E1,4.877900560E0,2.857330207E1,0.000000000E0,0.000000000E0,9.032515526E0,1.308546829E1
2.502012343E1,5.237712356E1,4.877900510E0,2.808941285E1,0.000000000E0,0.000000000E0,9.034448624E0,1.303285217E1
2.602344666E1,5.237712468E1,4.877900400E0,2.811889435E1,0.000000000E0,0.000000000E0,8.436082840E0,1.224032021E1
2.702435874E1,5.237712399E1,4.877900370E0,2.804369805E1,0.000000000E0,0.000000000E0,7.867824078E0,1.141253853E1
2.802170551E1,5.237712398E1,4.877900370E0,2.809936209E1,0.000000000E0,0.000000000E0,7.527298927E0,1.087391567E1
2.902212488E1,5.237712394E1,4.877900490E0,2.807537529E1,0.000000000E0,0.000000000E0,8.041228294E0,1.146526337E1
3.002163343E1,5.237712416E1,4.877900630E0,2.810509980E1,0.000000000E0,0.000000000E0,8.204474449E0,1.161833191E1
3.102365416E1,5.237712422E1,4.877900500E0,2.814660372E1,0.000000000E0,0.000000000E0,8.128046036E0,1.143749428E1
3.202340124E1,5.237712443E1,4.877900860E0,2.813451926E1,0.000000000E0,0.000000000E0,9.299065590E0,1.276379585E1
3.302271082E1,5.237712476E1,4.877901000E0,2.814404129E1,0.000000000E0,0.000000000E0,9.840051651E0,1.317317390E1
3.402182894E1,5.237712499E1,4.877901150E0,2.816522090E1,0.000000000E0,0.000000000E0,9.952578545E0,1.303141403E1
