"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.154902200E-2,-8.832799911E0,1.711660004E1,-5.813299942E1
9.154902200E-2,-8.576600075E0,1.704339981E1,-5.823059845E1
1.015490220E-1,-8.466799736E0,1.711660004E1,-5.830379868E1
1.115490220E-1,-8.393599510E0,1.707999992E1,-5.829159927E1
1.215490220E-1,-8.381400108E0,1.711660004E1,-5.830379868E1
1.315490220E-1,-8.308199883E0,1.710439873E1,-5.841359711E1
1.415490220E-1,-8.259399414E0,1.711660004E1,-5.848679733E1
1.515490220E-1,-8.222800255E0,1.712879944E1,-5.851119995E1
1.615490220E-1,-8.149600029E0,1.715320015E1,-5.854779816E1
1.715490220E-1,-8.112999916E0,1.715320015E1,-5.855999756E1
1.815490220E-1,-8.003199577E0,1.714099884E1,-5.863319778E1
1.915490220E-1,-7.978799820E0,1.721419907E1,-5.865760040E1
2.015490220E-1,-7.893399715E0,1.722640038E1,-5.866979980E1
2.115490220E-1,-7.600599766E0,1.727519989E1,-5.859659958E1
2.215490220E-1,-7.466399670E0,1.728739929E1,-5.854779816E1
2.315490220E-1,-7.344399929E0,1.732399940E1,-5.859659958E1
2.415490220E-1,-7.100399971E0,1.736059952E1,-5.859659958E1
2.515490220E-1,-6.868599892E0,1.744599915E1,-5.860879898E1
2.615490220E-1,-6.758800030E0,1.753139877E1,-5.855999756E1
2.715490220E-1,-6.551399708E0,1.755579948E1,-5.857220078E1
2.815490220E-1,-6.343999863E0,1.760459900E1,-5.858440018E1
2.915490220E-1,-6.417200089E0,1.756799889E1,-5.857220078E1
3.015490220E-1,-6.307399750E0,1.760459900E1,-5.868199921E1
3.115490220E-1,-6.197599888E0,1.759239960E1,-5.860879898E1
3.215490220E-1,-5.782799721E0,1.753139877E1,-5.869419861E1
3.315490220E-1,-5.611999989E0,1.754360008E1,-5.879179764E1
3.415490220E-1,-5.343599796E0,1.753139877E1,-5.874300003E1
3.515490220E-1,-5.111799717E0,1.751919937E1,-5.880399704E1
3.615490220E-1,-4.880000114E0,1.755579948E1,-5.885279846E1
3.715490220E-1,-4.587199688E0,1.771439934E1,-5.885279846E1
3.815490220E-1,-4.318799973E0,1.779979897E1,-5.871859741E1
3.915490220E-1,-3.989399910E0,1.789739990E1,-5.869419861E1
4.015490220E-1,-3.989399910E0,1.806819916E1,-5.864539719E1
4.115490220E-1,-3.794199944E0,1.814139938E1,-5.853559875E1
4.215490220E-1,-3.537999868E0,1.823900032E1,-5.851119995E1
4.315490220E-1,-3.269599915E0,1.839760017E1,-5.840139771E1
4.415490220E-1,-2.976799965E0,1.847080040E1,-5.838919830E1
4.515490220E-1,-2.671799898E0,1.853179932E1,-5.837699890E1
4.615490220E-1,-2.415600061E0,1.861719894E1,-5.843799973E1
4.715490220E-1,-2.061800003E0,1.869039917E1,-5.837699890E1
