"event","experiment time","system time","system time text"
"START",0.000000000E0,1686153319.763,"2023-06-07 17:55:19.763 UTC+02:00"
"PAUSE",1.448606711E2,1686153464.624,"2023-06-07 17:57:44.624 UTC+02:00"
"START",1.448606711E2,1686153490.999,"2023-06-07 17:58:10.999 UTC+02:00"
"PAUSE",5.049655869E2,1686153851.104,"2023-06-07 18:04:11.104 UTC+02:00"
