"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.883870430E-1,-6.209799957E1,-2.082539940E1,1.372499943E1
9.983870430E-1,-6.217119980E1,-2.087419891E1,1.359079933E1
1.008387043E0,-6.226879883E1,-2.084980011E1,1.344439983E1
1.018387043E0,-6.232979965E1,-2.091079903E1,1.328579998E1
1.028387043E0,-6.239080048E1,-2.089859962E1,1.311499977E1
1.038387043E0,-6.245179749E1,-2.127680016E1,1.351760006E1
1.048387043E0,-6.253719711E1,-2.128899956E1,1.338339996E1
1.058387043E0,-6.256159973E1,-2.124020004E1,1.329799938E1
1.068387043E0,-6.263479996E1,-2.130119896E1,1.310279942E1
1.078387043E0,-6.264699936E1,-2.126459885E1,1.291979980E1
1.088387043E0,-6.268359756E1,-2.133779907E1,1.274899960E1
1.098387043E0,-6.269579697E1,-2.138660049E1,1.256599998E1
1.108387043E0,-6.270800018E1,-2.145979881E1,1.238299942E1
1.118387043E0,-6.269579697E1,-2.150860023E1,1.215119934E1
1.128387043E0,-6.275679779E1,-2.156959915E1,1.193159962E1
1.138387043E0,-6.282999802E1,-2.161839867E1,1.169979954E1
1.148387043E0,-6.287879944E1,-2.161839867E1,1.156559944E1
1.158387043E0,-6.285440063E1,-2.171599960E1,1.135820007E1
1.168387043E0,-6.285440063E1,-2.176479912E1,1.117519951E1
1.178387043E0,-6.296419907E1,-2.180139923E1,1.093120003E1
1.188387043E0,-6.298859787E1,-2.178919983E1,1.067500019E1
1.198387043E0,-6.308619690E1,-2.182579994E1,1.047980022E1
1.208387043E0,-6.317160034E1,-2.191119957E1,1.023579979E1
1.218387043E0,-6.312279892E1,-2.197220039E1,9.979599953E0
1.228387043E0,-6.313499832E1,-2.205760002E1,9.723400116E0
1.238387043E0,-6.315939713E1,-2.205760002E1,9.515999794E0
1.248387043E0,-6.314719772E1,-2.210639954E1,9.296400070E0
1.258387043E0,-6.313499832E1,-2.215519905E1,9.101200104E0
1.268387043E0,-6.313499832E1,-2.219179916E1,8.857199669E0
1.278387043E0,-6.322039795E1,-2.224059868E1,8.600999832E0
1.288387043E0,-6.322039795E1,-2.226499939E1,8.320400238E0
1.298387043E0,-6.325699997E1,-2.228940010E1,8.064199448E0
1.308387043E0,-6.328139877E1,-2.226499939E1,7.783599854E0
1.318387043E0,-6.313499832E1,-2.242359924E1,7.502999783E0
1.328387043E0,-6.323259735E1,-2.248460007E1,7.332200050E0
1.338387043E0,-6.330579758E1,-2.252120018E1,7.100399971E0
1.348387043E0,-6.339119720E1,-2.259440041E1,6.844199657E0
1.358387043E0,-6.329359818E1,-2.266759872E1,6.636799812E0
1.368387043E0,-6.335459900E1,-2.244799995E1,6.099999905E0
1.378387043E0,-6.336679840E1,-2.248460007E1,5.819399834E0
1.388387043E0,-6.340340042E1,-2.252120018E1,5.611999989E0
1.398387043E0,-6.369619751E1,-2.248460007E1,5.368000031E0
1.408387043E0,-6.372060013E1,-2.253339958E1,4.989799976E0
1.418387043E0,-6.375719833E1,-2.259440041E1,4.757999897E0
1.428387043E0,-6.368399811E1,-2.259440041E1,4.574999809E0
1.438387043E0,-6.374499893E1,-2.261879921E1,4.245599747E0
1.448387043E0,-6.368399811E1,-2.288719940E1,4.306600094E0
1.458387043E0,-6.373279953E1,-2.292379951E1,4.062600136E0
1.468387043E0,-6.373279953E1,-2.300919914E1,3.818599939E0
1.478387043E0,-6.370839691E1,-2.267980003E1,3.062199831E0
1.488387043E0,-6.372060013E1,-2.265539932E1,2.842599869E0
1.498387043E0,-6.369619751E1,-2.269199944E1,2.586400032E0
1.508387043E0,-6.376939774E1,-2.275300026E1,2.391200066E0
1.518387043E0,-6.378159714E1,-2.276519966E1,2.244799852E0
1.528387043E0,-6.383039856E1,-2.281399918E1,2.061800003E0
1.538387043E0,-6.390359879E1,-2.281399918E1,1.927599907E0
1.548387043E0,-6.387919998E1,-2.283839989E1,1.732399940E0
1.558387043E0,-6.391579819E1,-2.320439911E1,2.171599865E0
1.568387043E0,-6.395240021E1,-2.325319862E1,2.025199890E0
1.578387043E0,-6.389139938E1,-2.328979874E1,1.842199922E0
1.588387043E0,-6.387919998E1,-2.330200005E1,1.646999955E0
1.598387043E0,-6.386700058E1,-2.328979874E1,1.488399982E0
1.608387043E0,-6.385479736E1,-2.327759933E1,1.378600001E0
1.618387043E0,-6.375719833E1,-2.331419945E1,1.293200016E0
1.628387043E0,-6.378159714E1,-2.330200005E1,1.207800031E0
1.638387043E0,-6.373279953E1,-2.333860016E1,1.000399947E0
1.648387043E0,-6.369619751E1,-2.335079956E1,9.149999619E-1
1.658387043E0,-6.374499893E1,-2.331419945E1,7.929999828E-1
1.668387043E0,-6.375719833E1,-2.331419945E1,7.075999975E-1
1.678387043E0,-6.379380035E1,-2.332639885E1,6.953999996E-1
1.688387043E0,-6.379380035E1,-2.332639885E1,5.611999631E-1
1.698387043E0,-6.379380035E1,-2.333860016E1,4.147999883E-1
1.708387043E0,-6.378159714E1,-2.336299896E1,2.928000093E-1
1.718387043E0,-6.381819916E1,-2.336299896E1,2.561999857E-1
1.728387043E0,-6.379380035E1,-2.337520027E1,1.708000004E-1
1.738387043E0,-6.374499893E1,-2.339959908E1,1.097999960E-1
1.748387043E0,-6.376939774E1,-2.341180038E1,1.219999976E-2
1.758387043E0,-6.370839691E1,-2.341180038E1,-1.708000004E-1
1.768387043E0,-6.373279953E1,-2.347279930E1,-2.195999920E-1
1.778387043E0,-6.375719833E1,-2.347279930E1,-2.195999920E-1
1.788387043E0,-6.375719833E1,-2.349720001E1,-2.805999815E-1
1.798387043E0,-6.369619751E1,-2.348499870E1,-3.172000051E-1
1.808387043E0,-6.367179871E1,-2.350939941E1,-3.050000072E-1
1.818387043E0,-6.370839691E1,-2.346059990E1,-2.195999920E-1
1.828387043E0,-6.369619751E1,-2.344840050E1,-1.951999962E-1
1.838387043E0,-6.335459900E1,-2.349720001E1,-1.341999918E-1
1.848387043E0,-6.331799698E1,-2.346059990E1,-0.000000000E0
1.858387043E0,-6.326919937E1,-2.346059990E1,2.439999953E-2
1.868387043E0,-6.326919937E1,-2.342399979E1,1.341999918E-1
1.878387043E0,-6.330579758E1,-2.339959908E1,2.073999941E-1
1.888387043E0,-6.337899780E1,-2.321660042E1,6.099999696E-2
1.898387043E0,-6.334239960E1,-2.325319862E1,9.759999812E-2
1.908387043E0,-6.330579758E1,-2.324099922E1,2.195999920E-1
1.918387043E0,-6.365959930E1,-2.320439911E1,3.537999988E-1
1.928387043E0,-6.363520050E1,-2.321660042E1,4.025999904E-1
1.938387043E0,-6.370839691E1,-2.319219971E1,5.245999694E-1
1.948387043E0,-6.368399811E1,-2.319219971E1,6.466000080E-1
1.958387043E0,-6.373279953E1,-2.319219971E1,7.929999828E-1
1.968387043E0,-6.370839691E1,-2.332639885E1,1.171200037E0
