"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.097338050E-1,-6.400119781E1,-1.073600006E1,-1.140699959E1
1.197338050E-1,-6.419639587E1,-1.047980022E1,-1.166319942E1
1.297338050E-1,-6.429399872E1,-1.045539951E1,-1.178520012E1
1.397338050E-1,-6.368399811E1,-1.050419998E1,-1.200479984E1
1.497338050E-1,-6.383039856E1,-1.043099976E1,-1.213899994E1
1.597338050E-1,-6.390359879E1,-1.038220024E1,-1.227320004E1
1.697338050E-1,-6.386700058E1,-1.038220024E1,-1.237080002E1
1.797338050E-1,-6.392799759E1,-1.039439964E1,-1.245619965E1
1.897338050E-1,-6.391579819E1,-1.030900002E1,-1.268799973E1
1.997338050E-1,-6.391579819E1,-1.033339977E1,-1.287099934E1
2.097338050E-1,-6.380599976E1,-1.032119942E1,-1.305399990E1
2.197338050E-1,-6.402559662E1,-1.026019955E1,-1.322480011E1
2.297338050E-1,-6.392799759E1,-1.024800014E1,-1.340779972E1
2.397338050E-1,-6.384259796E1,-1.022359943E1,-1.355420017E1
2.497338050E-1,-6.353759766E1,-1.018700027E1,-1.374940014E1
2.597338050E-1,-6.352539825E1,-1.016259956E1,-1.390799999E1
2.697338050E-1,-6.347660065E1,-1.012599945E1,-1.411539936E1
2.797338050E-1,-6.337899780E1,-1.004059982E1,-1.428619957E1
2.897338050E-1,-6.339119720E1,-9.979599953E0,-1.448139954E1
2.997338050E-1,-6.346439743E1,-9.833199501E0,-1.467659950E1
3.097338050E-1,-6.351319885E1,-9.808799744E0,-1.479859924E1
3.197338050E-1,-6.358639908E1,-9.796599388E0,-1.489620018E1
3.297338050E-1,-6.386700058E1,-9.808799744E0,-1.498159981E1
3.397338050E-1,-6.383039856E1,-9.760000229E0,-1.510359955E1
3.497338050E-1,-6.390359879E1,-9.625800133E0,-1.539639950E1
3.597338050E-1,-6.392799759E1,-9.650199890E0,-1.548180008E1
3.697338050E-1,-6.394019699E1,-9.760000229E0,-1.553059959E1
3.797338050E-1,-6.391579819E1,-9.930799484E0,-1.543299961E1
3.897338050E-1,-6.391579819E1,-9.979599953E0,-1.545739937E1
3.997338050E-1,-6.385479736E1,-1.002839947E1,-1.553059959E1
4.097338050E-1,-6.392799759E1,-1.000399971E1,-1.554279995E1
