"Time (s)","Illuminance (lx)"
0.000000000E0,2.285550079E2
5.773166900E-2,2.285550079E2
1.243909400E-1,2.285550079E2
1.910530240E-1,2.285550079E2
2.577216170E-1,2.285550079E2
3.243863570E-1,2.336850128E2
3.910518260E-1,2.413800049E2
4.577199510E-1,2.479950104E2
5.243833880E-1,2.526525116E2
5.910492740E-1,2.579850159E2
6.577172940E-1,2.620350037E2
7.243838050E-1,2.677725220E2
7.910467210E-1,2.754674988E2
8.577147940E-1,2.754674988E2
9.243797940E-1,2.754674988E2
9.910452630E-1,2.735775146E2
1.057714951E0,2.693250122E2
1.124380940E0,2.693250122E2
1.191043544E0,2.690550232E2
1.257710576E0,2.690550232E2
1.324376513E0,2.688525085E2
1.391040315E0,2.660850220E2
1.457712034E0,2.660850220E2
1.524373492E0,2.660850220E2
1.591039274E0,2.667600098E2
1.657707919E0,2.706075134E2
1.724371357E0,2.752650146E2
1.791039430E0,2.752650146E2
1.857712815E0,2.752650146E2
1.924370107E0,2.658825073E2
1.991035003E0,2.607525024E2
2.057703440E0,2.537325134E2
2.124370888E0,2.481975098E2
2.191033961E0,2.405025024E2
2.257702138E0,2.400975037E2
2.324366096E0,2.379375153E2
2.391031253E0,2.379375153E2
2.457700524E0,2.349675140E2
2.524363128E0,2.221425018E2
2.591028753E0,2.066175079E2
2.657700055E0,1.795500031E2
2.724361044E0,1.688850098E2
2.791031669E0,1.573424988E2
2.857700263E0,1.402649994E2
2.924360315E0,1.352024994E2
2.991026149E0,1.317600098E2
3.057694586E0,1.311525116E2
3.124361044E0,1.260225067E2
3.191024482E0,1.221750031E2
3.257693805E0,1.192050018E2
3.324355003E0,1.181250076E2
3.391020628E0,1.181250076E2
3.457690107E0,1.181250076E2
3.524355107E0,1.204875031E2
3.591022451E0,1.251450043E2
3.657687086E0,1.268325043E2
3.724351461E0,1.273050079E2
3.791016305E0,1.287900085E2
3.857685471E0,1.339199982E2
3.924349378E0,1.451925049E2
3.991015576E0,1.626750031E2
4.057683961E0,2.049300079E2
4.124350628E0,2.095875092E2
4.191013649E0,2.095875092E2
4.257687711E0,2.095875092E2
4.324345003E0,2.055375061E2
4.391011044E0,2.053350067E2
4.457681565E0,2.049300079E2
4.524343596E0,1.912275085E2
4.591011044E0,1.799550018E2
4.657678180E0,1.674000092E2
4.724342294E0,1.413450012E2
4.791007294E0,1.339199982E2
4.857675628E0,1.275075073E2
