"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.026835390E-1,5.237719120E1,4.878172000E0,2.639119621E0,0.000000000E0,0.000000000E0,1.915900040E1,1.074961424E0
9.573219320E0,5.237738408E1,4.878062170E0,-6.130972330E1,1.639999986E0,3.026000061E2,5.209292984E1,1.105496063E2
1.056655364E1,5.237736006E1,4.878049370E0,-3.938010760E1,1.460000038E0,3.128999939E2,3.886948013E1,6.509563446E1
1.156874979E1,5.237713998E1,4.877956410E0,1.621428536E1,1.190000057E0,3.056000061E2,3.725696945E1,5.464744568E1
1.256700963E1,5.237710980E1,4.877962620E0,3.200044029E1,2.300000042E-1,2.516000061E2,3.184656715E1,4.703256226E1
1.357020020E1,5.237713122E1,4.877976000E0,1.862596653E1,5.500000119E-1,3.387000122E2,2.303771019E1,3.033541298E1
1.456919052E1,5.237714193E1,4.877973020E0,2.200458096E1,0.000000000E0,0.000000000E0,2.026569748E1,2.710106277E1
1.556856588E1,5.237714698E1,4.877959910E0,2.551220985E1,4.699999988E-1,3.375000000E2,1.410148907E1,1.911565781E1
1.656896869E1,5.237714492E1,4.877938260E0,3.229741166E1,2.800000012E-1,3.347999878E2,1.265037823E1,1.739675522E1
1.756961942E1,5.237713725E1,4.877887440E0,2.622986645E1,0.000000000E0,0.000000000E0,9.924512863E0,1.404847908E1
1.856935452E1,5.237713292E1,4.877865980E0,2.521294114E1,0.000000000E0,0.000000000E0,9.506657600E0,1.349755669E1
1.956908713E1,5.237713873E1,4.877860350E0,2.113512623E1,0.000000000E0,0.000000000E0,8.763131142E0,1.240769482E1
2.057353994E1,5.237713937E1,4.877859310E0,2.195403522E1,0.000000000E0,0.000000000E0,8.287307739E0,1.174898911E1
2.156703041E1,5.237713793E1,4.877850650E0,2.415623763E1,0.000000000E0,0.000000000E0,8.262773514E0,1.166272926E1
2.256894806E1,5.237714658E1,4.877857610E0,2.070911031E1,0.000000000E0,0.000000000E0,7.324425697E0,1.053652573E1
2.356788004E1,5.237715063E1,4.877863180E0,2.003413146E1,0.000000000E0,0.000000000E0,7.355081081E0,1.058383751E1
2.456754879E1,5.237715508E1,4.877863930E0,2.120851561E1,2.399999946E-1,3.328999939E2,7.085299969E0,1.013778782E1
2.556979952E1,5.237715232E1,4.877862060E0,2.455995106E1,0.000000000E0,0.000000000E0,8.710893631E0,1.234477329E1
2.656788707E1,5.237714736E1,4.877862130E0,2.592542263E1,0.000000000E0,0.000000000E0,1.097083282E1,1.554843903E1
2.756754812E1,5.237714605E1,4.877864210E0,2.511780480E1,0.000000000E0,0.000000000E0,1.215012169E1,1.717396927E1
