"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.399207810E-1,-2.452199936E0,-4.773859787E1,-9.448899841E1
1.499207810E-1,-2.500999928E0,-4.773859787E1,-9.458660126E1
1.599207810E-1,-2.537600040E0,-4.776300049E1,-9.454999542E1
1.699207810E-1,-2.562000036E0,-4.781179810E1,-9.451339722E1
1.799207810E-1,-2.500999928E0,-4.783620071E1,-9.446459961E1
1.899207810E-1,-2.476599932E0,-4.783620071E1,-9.450119781E1
1.999207810E-1,-2.537600040E0,-4.782399750E1,-9.452559662E1
2.099207810E-1,-2.549799919E0,-4.777519989E1,-9.463539886E1
2.199207810E-1,-2.598599911E0,-4.781179810E1,-9.464759827E1
2.299207810E-1,-2.598599911E0,-4.778739929E1,-9.457440186E1
2.399207810E-1,-2.635200024E0,-4.773859787E1,-9.458660126E1
2.499207810E-1,-2.610800028E0,-4.772639847E1,-9.469639587E1
2.599207810E-1,-2.659600019E0,-4.766539764E1,-9.469639587E1
2.699207810E-1,-2.659600019E0,-4.765319824E1,-9.463539886E1
2.799207810E-1,-2.574199915E0,-4.766539764E1,-9.465979767E1
2.899207810E-1,-2.281399965E0,-4.770199966E1,-9.457440186E1
2.999207810E-1,-2.232599974E0,-4.762879944E1,-9.452559662E1
3.099207810E-1,-2.159399986E0,-4.766539764E1,-9.456219482E1
3.199207810E-1,-2.086199999E0,-4.772639847E1,-9.454999542E1
3.299207810E-1,-2.086199999E0,-4.772639847E1,-9.450119781E1
3.399207810E-1,-2.122799873E0,-4.771419907E1,-9.448899841E1
3.499207810E-1,-2.147199869E0,-4.770199966E1,-9.454999542E1
3.599207810E-1,-2.195999861E0,-4.768980026E1,-9.452559662E1
3.699207810E-1,-2.440000057E0,-4.770199966E1,-9.450119781E1
3.799207810E-1,-2.476599932E0,-4.773859787E1,-9.448899841E1
3.899207810E-1,-2.391200066E0,-4.772639847E1,-9.450119781E1
3.999207810E-1,-2.366800070E0,-4.770199966E1,-9.453779602E1
4.099207810E-1,-2.378999949E0,-4.771419907E1,-9.451339722E1
4.199207810E-1,-2.366800070E0,-4.776300049E1,-9.452559662E1
4.299207810E-1,-2.378999949E0,-4.777519989E1,-9.450119781E1
4.399207810E-1,-2.366800070E0,-4.743359756E1,-9.496479797E1
4.499207810E-1,-2.378999949E0,-4.740919876E1,-9.496479797E1
4.599207810E-1,-2.342400074E0,-4.738479996E1,-9.512339783E1
4.699207810E-1,-2.537600040E0,-4.734819794E1,-9.507460022E1
4.799207810E-1,-2.598599911E0,-4.731159973E1,-9.508679962E1
4.899207810E-1,-2.598599911E0,-4.725059891E1,-9.509899902E1
4.999207810E-1,-2.525399923E0,-4.722620010E1,-9.514779663E1
5.099207810E-1,-2.537600040E0,-4.718959808E1,-9.518439484E1
5.199207810E-1,-2.513200045E0,-4.750679779E1,-9.469639587E1
5.299207810E-1,-2.537600040E0,-4.751899719E1,-9.470859528E1
5.399207810E-1,-2.598599911E0,-4.751899719E1,-9.457440186E1
5.499207810E-1,-2.586400032E0,-4.754339981E1,-9.459880066E1
5.599207810E-1,-2.610800028E0,-4.754339981E1,-9.453779602E1
5.699207810E-1,-2.635200024E0,-4.753120041E1,-9.452559662E1
