"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.666139540E-1,5.237729810E1,4.877722000E0,1.839005771E0,0.000000000E0,0.000000000E0,2.089999962E1,1.873869300E0
2.023161395E1,5.237727730E1,4.877711200E0,1.838970188E0,0.000000000E0,0.000000000E0,2.089999962E1,1.724455953E0
4.023761395E1,5.237728410E1,4.877717100E0,1.838983197E0,0.000000000E0,0.000000000E0,2.124099922E1,1.993597388E0
6.093661395E1,5.237730070E1,4.877728200E0,1.839013037E0,0.000000000E0,0.000000000E0,2.010000038E1,2.958400011E0
8.027061395E1,5.237728340E1,4.877717000E0,1.838982153E0,0.000000000E0,0.000000000E0,2.108099937E1,1.895210385E0
1.002936140E2,5.237728660E1,4.877716400E0,1.838986313E0,0.000000000E0,0.000000000E0,1.489400005E1,1.473741651E0
1.202986140E2,5.237722570E1,4.877684100E0,1.838881737E0,0.000000000E0,0.000000000E0,3.690000153E1,5.501156807E0
1.403336140E2,5.237728440E1,4.877743500E0,1.838998958E0,0.000000000E0,0.000000000E0,1.805599976E1,1.000000000E0
1.603256140E2,5.237728150E1,4.877736600E0,1.838990863E0,0.000000000E0,0.000000000E0,1.702799988E1,1.024937510E0
1.802966140E2,5.237859680E1,4.876925700E0,0.000000000E0,0.000000000E0,0.000000000E0,6.000000000E2,0.000000000E0
2.003456140E2,5.237722000E1,4.877688900E0,1.838876494E0,0.000000000E0,0.000000000E0,1.610899925E1,2.465333223E0
2.203586140E2,5.237728340E1,4.877717000E0,1.838982153E0,0.000000000E0,0.000000000E0,2.108099937E1,1.895210385E0
2.403776140E2,5.237729310E1,4.877725500E0,1.839000759E0,0.000000000E0,0.000000000E0,2.039999962E1,1.623952270E0
2.603816140E2,5.237731710E1,4.877742600E0,1.839044511E0,0.000000000E0,0.000000000E0,1.442199993E1,1.429434538E0
2.804186140E2,5.237728940E1,4.877720100E0,1.838992408E0,0.000000000E0,0.000000000E0,1.728100014E1,1.491351724E0
3.004086140E2,5.237728770E1,4.877746800E0,1.839005525E0,0.000000000E0,0.000000000E0,1.699699974E1,1.035567880E0
3.203856140E2,5.237859680E1,4.876925700E0,0.000000000E0,0.000000000E0,0.000000000E0,6.000000000E2,0.000000000E0
3.404476140E2,5.237730040E1,4.877726700E0,1.839011742E0,0.000000000E0,0.000000000E0,2.010000038E1,2.014377832E0
