"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.702071490E-1,5.238835780E1,4.871598300E0,6.951020294E0,0.000000000E0,0.000000000E0,6.409999847E1,5.844644070E0
3.218751978E0,5.238807350E1,4.870751050E0,-1.249668803E0,1.269999981E0,2.586000061E2,1.022099495E1,1.370756912E1
4.223360102E0,5.238809967E1,4.870685430E0,-1.754125800E0,1.220000029E0,2.576000061E2,7.781115055E0,9.773576736E0
5.220336144E0,5.238809909E1,4.870688300E0,-2.435155216E0,1.269999981E0,2.508000031E2,5.796052933E0,7.282790661E0
6.224985518E0,5.238810856E1,4.870658170E0,-3.526407015E0,1.110000014E0,2.593999939E2,5.504526615E0,6.773167133E0
7.220134580E0,5.238809256E1,4.870647230E0,-3.405952518E0,1.259999990E0,2.545000000E2,5.667718410E0,6.932075024E0
8.221457445E0,5.238808832E1,4.870655960E0,-3.279000271E0,9.599999785E-1,3.012000122E2,5.548362732E0,6.662035465E0
9.221433434E0,5.238807497E1,4.870668920E0,-3.081867950E0,8.999999762E-1,2.593999939E2,5.600175381E0,6.905457973E0
1.021913593E1,5.238810078E1,4.870649860E0,-3.748114844E-1,1.220000029E0,2.330000000E2,5.377044201E0,6.604810715E0
1.121963088E1,5.238810064E1,4.870620590E0,3.915286709E-1,1.419999957E0,2.483999939E2,5.262239933E0,6.547626972E0
1.222267776E1,5.238810026E1,4.870581330E0,2.027247428E0,2.269999981E0,2.546000061E2,5.620019436E0,6.349318504E0
1.322102057E1,5.238810074E1,4.870553770E0,2.785410743E0,8.999999762E-1,2.593999939E2,5.676258087E0,6.331873894E0
1.422975994E1,5.238810242E1,4.870532130E0,2.519897558E0,1.639999986E0,2.696000061E2,5.437813282E0,6.409267902E0
1.521920374E1,5.238810317E1,4.870509950E0,3.942126890E0,1.320000052E0,2.690000000E2,5.066570759E0,6.007389545E0
1.623148749E1,5.238810478E1,4.870494850E0,6.175457752E0,9.300000072E-1,2.582999878E2,4.704205513E0,5.529418945E0
1.721931171E1,5.238810187E1,4.870477440E0,6.151090476E0,1.570000052E0,2.478000031E2,4.356818199E0,4.968765259E0
1.822119249E1,5.238809666E1,4.870454490E0,5.679634212E0,1.350000024E0,2.508000031E2,4.223721504E0,4.721335888E0
1.922067504E1,5.238809211E1,4.870432080E0,5.221362785E0,1.340000033E0,2.523999939E2,4.428996086E0,4.611329556E0
2.021809327E1,5.238808906E1,4.870415550E0,5.496739477E0,9.499999881E-1,2.523999939E2,7.349015713E0,6.660531998E0
2.121839056E1,5.238807484E1,4.870390890E0,4.249207522E0,3.109999895E0,2.291000061E2,9.277521133E0,8.702173233E0
2.222120036E1,5.238806346E1,4.870374430E0,3.993627706E0,8.100000024E-1,2.226999969E2,1.134119034E1,1.081594467E1
2.322040374E1,5.238805432E1,4.870368800E0,3.966450913E0,1.629999995E0,2.126000061E2,1.354569817E1,1.289208984E1
2.422263275E1,5.238804717E1,4.870354970E0,3.684328292E0,1.740000010E0,2.453000031E2,1.510762215E1,1.452233696E1
2.521905874E1,5.238804526E1,4.870339130E0,3.741750448E0,1.179999948E0,2.565000000E2,1.755171204E1,1.583656883E1
2.621872280E1,5.238804195E1,4.870323520E0,3.779578483E0,1.700000048E0,2.582999878E2,1.878590012E1,1.715091515E1
2.721922931E1,5.238803583E1,4.870312720E0,3.671592379E0,9.800000191E-1,2.268000031E2,2.122096252E1,1.825405884E1
2.821970962E1,5.238802444E1,4.870316930E0,3.917916693E0,1.500000000E0,1.883000031E2,2.480509758E1,1.939522171E1
2.922050296E1,5.238801395E1,4.870313000E0,4.626212624E0,1.600000024E0,2.068999939E2,2.429750252E1,2.030702019E1
3.021969155E1,5.238800188E1,4.870309370E0,3.524875159E0,1.590000033E0,2.123000031E2,2.467806435E1,2.136972046E1
3.122033957E1,5.238799213E1,4.870298530E0,3.338758923E0,1.539999962E0,2.346999969E2,2.671615601E1,2.228264809E1
3.222012775E1,5.238798312E1,4.870283220E0,2.995353524E0,1.580000043E0,2.221000061E2,2.741667747E1,2.289302063E1
3.321909639E1,5.238797837E1,4.870271480E0,2.956765773E0,1.169999957E0,2.428000031E2,2.701859093E1,2.289373779E1
3.421964124E1,5.238797398E1,4.870258880E0,2.635219043E0,1.700000048E0,2.406000061E2,2.623445511E1,2.275647163E1
3.521928457E1,5.238797008E1,4.870245360E0,2.277661725E0,1.210000038E0,2.436000061E2,2.406301498E1,2.161915970E1
3.622151452E1,5.238797156E1,4.870226610E0,5.939370533E-1,1.169999957E0,2.438000031E2,2.046436119E1,1.924701118E1
3.722119134E1,5.238797072E1,4.870201570E0,1.134875859E0,1.190000057E0,2.438999939E2,1.839944458E1,1.742053223E1
3.822016999E1,5.238797113E1,4.870173390E0,4.544400810E-1,1.210000038E0,2.418999939E2,1.472325134E1,1.532955742E1
3.922053061E1,5.238797087E1,4.870147050E0,1.744768593E0,1.179999948E0,2.423000031E2,1.185564709E1,1.304290390E1
4.021878103E1,5.238797172E1,4.870119360E0,3.668581767E0,1.539999962E0,2.426000061E2,1.014296150E1,1.137134552E1
4.121923269E1,5.238797076E1,4.870090410E0,4.875228573E0,1.529999971E0,2.465000000E2,8.622630119E0,9.711284637E0
4.221991660E1,5.238796889E1,4.870062270E0,3.988307676E0,1.230000019E0,2.466000061E2,7.614080906E0,8.687409401E0
4.322182483E1,5.238796496E1,4.870030630E0,3.290590823E0,1.730000019E0,2.466999969E2,6.941857338E0,7.665711403E0
4.422019530E1,5.238796176E1,4.870001270E0,3.489665877E0,1.220000029E0,2.546999969E2,6.046180725E0,6.883856297E0
4.521961483E1,5.238796093E1,4.869977140E0,3.015163333E0,1.139999986E0,2.548000031E2,5.587406635E0,6.432917595E0
4.622299092E1,5.238795896E1,4.869955240E0,3.591319665E0,1.149999976E0,2.548000031E2,5.763882637E0,6.372387409E0
4.722019410E1,5.238795614E1,4.869930890E0,4.637993391E0,1.480000019E0,2.486999969E2,5.043262482E0,5.724221706E0
4.822083764E1,5.238795341E1,4.869907850E0,4.889990273E0,1.230000019E0,2.486000061E2,4.622832298E0,5.386730671E0
4.921937394E1,5.238795211E1,4.869884080E0,3.859334933E0,1.149999976E0,2.483999939E2,4.432866096E0,5.170933723E0
5.021943884E1,5.238795179E1,4.869856000E0,2.532413811E0,1.830000043E0,2.668999939E2,4.642832279E0,5.355280399E0
5.122148269E1,5.238795238E1,4.869832580E0,2.097891707E0,8.600000143E-1,2.670000000E2,6.143969536E0,6.630146027E0
5.222152790E1,5.238795196E1,4.869810390E0,2.187660891E0,1.740000010E0,2.670000000E2,8.137091637E0,8.030667305E0
5.321911258E1,5.238794835E1,4.869779890E0,2.144119958E0,2.130000114E0,2.670000000E2,1.044044209E1,9.541440964E0
5.422068118E1,5.238794296E1,4.869753530E0,1.517204910E0,1.570000052E0,2.670000000E2,1.072186375E1,9.905965805E0
5.521878602E1,5.238793878E1,4.869732600E0,1.990331354E0,1.389999986E0,2.670000000E2,1.113339806E1,9.749568939E0
5.621874498E1,5.238793440E1,4.869717890E0,3.202291709E0,9.800000191E-1,2.421000061E2,9.014999390E0,8.867554665E0
5.721947644E1,5.238792972E1,4.869703750E0,2.725897482E0,1.169999957E0,2.433999939E2,8.082411766E0,8.013563156E0
5.821807232E1,5.238792560E1,4.869689320E0,4.171134733E0,1.080000043E0,2.670000000E2,8.204657555E0,7.688136101E0
5.921892961E1,5.238792169E1,4.869675070E0,4.404336253E0,1.049999952E0,2.670000000E2,8.485282898E0,7.245992184E0
6.021887227E1,5.238791908E1,4.869656690E0,5.102136803E0,1.190000057E0,2.538999939E2,6.703850746E0,6.501547337E0
6.122300935E1,5.238791655E1,4.869634000E0,4.798470108E0,1.080000043E0,2.498000031E2,6.002583027E0,6.030375481E0
6.222139091E1,5.238791351E1,4.869605490E0,4.833056138E0,1.570000052E0,2.476000061E2,5.841364384E0,5.823709965E0
6.321972341E1,5.238790734E1,4.869577050E0,4.972374132E0,1.710000038E0,2.391999969E2,6.411128998E0,5.856615067E0
6.422193847E1,5.238790280E1,4.869555860E0,5.360722085E0,1.019999981E0,2.446999969E2,1.114695930E1,5.467883587E0
