"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.420776600E-1,-7.161399841E0,-4.545719910E1,-4.562799931E0
8.520776600E-1,-7.332200050E0,-4.535960007E1,-4.855599880E0
8.620776600E-1,-7.393199921E0,-4.528639984E1,-5.184999943E0
8.720776600E-1,-7.490799904E0,-4.518880081E1,-5.428999901E0
8.820776600E-1,-7.661599636E0,-4.513999939E1,-5.709599972E0
8.920776600E-1,-7.844599724E0,-4.507899857E1,-5.929199696E0
9.020776600E-1,-8.100799561E0,-4.501799774E1,-6.185400009E0
9.120776600E-1,-8.356999397E0,-4.498139954E1,-6.343999863E0
9.220776600E-1,-8.637599945E0,-4.487159729E1,-6.551399708E0
9.320776600E-1,-8.857199669E0,-4.482279968E1,-6.673399925E0
9.420776600E-1,-9.125599861E0,-4.472520065E1,-6.868599892E0
9.520776600E-1,-9.345199585E0,-4.466419983E1,-7.039400101E0
9.620776600E-1,-9.674599648E0,-4.456660080E1,-7.197999954E0
9.720776600E-1,-9.894199371E0,-4.449340057E1,-7.417599678E0
9.820776600E-1,-1.004059982E1,-4.433480072E1,-7.563999653E0
9.920776600E-1,-1.023579979E1,-4.421279907E1,-7.929999828E0
1.002077660E0,-1.038220024E1,-4.420059967E1,-8.088600159E0
1.012077660E0,-1.054080009E1,-4.413959885E1,-8.430199623E0
1.022077660E0,-1.062619972E1,-4.401760101E1,-8.771800041E0
1.032077660E0,-1.071159935E1,-4.389559937E1,-9.101200104E0
1.042077660E0,-1.077260017E1,-4.377359772E1,-9.515999794E0
1.052077660E0,-1.087020016E1,-4.363940048E1,-9.906399727E0
1.062077660E0,-1.099219990E1,-4.352959824E1,-1.047980022E1
1.072077660E0,-1.096780014E1,-4.338319778E1,-1.084579945E1
1.082077660E0,-1.104099941E1,-4.317580032E1,-1.139480019E1
1.092077660E0,-1.106540012E1,-4.294400024E1,-1.194379997E1
1.102077660E0,-1.117519951E1,-4.280979919E1,-1.243179989E1
1.112077660E0,-1.127279949E1,-4.257799911E1,-1.304179955E1
1.122077660E0,-1.130939960E1,-4.204119873E1,-1.410319996E1
1.132077660E0,-1.129720020E1,-4.183379745E1,-1.472539997E1
1.142077660E0,-1.127279949E1,-4.167519760E1,-1.516459942E1
1.152077660E0,-1.133379936E1,-4.147999954E1,-1.568919945E1
1.162077660E0,-1.124839973E1,-4.129700089E1,-1.616499901E1
1.172077660E0,-1.121179962E1,-4.108959961E1,-1.654319954E1
1.182077660E0,-1.112639999E1,-4.089439774E1,-1.700679970E1
1.192077660E0,-1.097999954E1,-4.072359848E1,-1.736059952E1
1.202077660E0,-1.087020016E1,-4.091880035E1,-1.718980026E1
1.212077660E0,-1.071159935E1,-4.073579788E1,-1.749480057E1
1.222077660E0,-1.046759987E1,-4.058939743E1,-1.788520050E1
1.232077660E0,-1.026019955E1,-4.050399780E1,-1.821459961E1
1.242077660E0,-1.010159969E1,-4.035759735E1,-1.850740051E1
1.252077660E0,-9.833199501E0,-4.029660034E1,-1.887339973E1
1.262077660E0,-9.625800133E0,-4.018679810E1,-1.915399933E1
1.272077660E0,-9.503799438E0,-4.013800049E1,-1.938579941E1
1.282077660E0,-9.333000183E0,-4.005260086E1,-1.956879997E1
1.292077660E0,-9.235400200E0,-4.004039764E1,-1.971520042E1
1.302077660E0,-9.259799957E0,-3.995499802E1,-1.980060005E1
1.312077660E0,-9.186599731E0,-3.988179779E1,-1.988599968E1
1.322077660E0,-9.125599861E0,-3.980859756E1,-1.998359871E1
1.332077660E0,-9.137800217E0,-3.979639816E1,-2.005679893E1
1.342077660E0,-9.125599861E0,-3.974760056E1,-2.012999916E1
