"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.122097868E1,5.238556434E1,4.883726460E0,1.307973783E1,1.220000029E0,9.459999847E1,1.226983833E1,9.110120773E0
5.222273342E1,5.238556444E1,4.883756470E0,1.335282674E1,2.119999886E0,7.209999847E1,1.135775471E1,8.987765312E0
5.322192107E1,5.238556421E1,4.883783000E0,1.374639656E1,1.340000033E0,6.550000000E1,1.221781254E1,8.864914894E0
5.422078029E1,5.238556359E1,4.883798140E0,1.318170724E1,9.800000191E-1,5.270000076E1,1.300658798E1,8.856220245E0
5.522151790E1,5.238556953E1,4.883812640E0,1.524825239E1,1.539999962E0,4.359999847E1,1.310044479E1,8.594751358E0
5.622106821E1,5.238557521E1,4.883826130E0,1.413596357E1,1.179999948E0,3.820000076E1,1.444883823E1,8.363982201E0
5.722116774E1,5.238557987E1,4.883838890E0,1.361858256E1,1.250000000E0,4.240000153E1,1.634573936E1,8.190143585E0
5.822281982E1,5.238558446E1,4.883852120E0,1.363416071E1,1.230000019E0,4.629999924E1,1.816186523E1,8.102929115E0
5.922277555E1,5.238559105E1,4.883867880E0,1.393764598E1,1.230000019E0,4.590000153E1,2.027736282E1,8.049544334E0
6.021957951E1,5.238559786E1,4.883883070E0,1.394566004E1,1.230000019E0,4.600000000E1,2.364774323E1,8.086489677E0
6.122071550E1,5.238560448E1,4.883899760E0,1.401904336E1,1.259999990E0,4.759999847E1,2.736322212E1,8.178003311E0
6.222117253E1,5.238560124E1,4.883912180E0,1.402722474E1,8.799999952E-1,5.700000000E1,2.725353241E1,8.161543846E0
6.322140784E1,5.238559828E1,4.883927100E0,1.411664576E1,1.000000000E0,6.900000000E1,3.089767075E1,8.135511398E0
6.421923831E1,5.238559504E1,4.883943400E0,1.411726104E1,1.000000000E0,8.109999847E1,3.558465958E1,8.224529266E0
6.522102034E1,5.238557384E1,4.883984290E0,1.385028719E1,2.099999905E0,9.940000153E1,3.715342712E1,8.164262772E0
6.622073367E1,5.238555193E1,4.884028210E0,1.384765737E1,2.099999905E0,1.105999985E2,4.138374329E1,8.149357796E0
6.722105971E1,5.238553134E1,4.884064730E0,1.385021309E1,1.970000029E0,1.173000031E2,4.422891617E1,7.993861198E0
6.821978440E1,5.238551319E1,4.884096710E0,1.377989362E1,1.929999948E0,1.160000000E2,4.217898560E1,7.709601402E0
6.922166596E1,5.238552148E1,4.884151270E0,1.371176083E1,2.529999971E0,1.005000000E2,3.957667160E1,7.734449387E0
7.022086065E1,5.238553261E1,4.884206830E0,1.371821759E1,2.529999971E0,8.709999847E1,4.439132309E1,7.938165188E0
7.121925107E1,5.238554614E1,4.884258390E0,1.372180676E1,2.529999971E0,7.750000000E1,4.961788940E1,8.142602921E0
7.222034924E1,5.238556261E1,4.884326440E0,1.374439161E1,2.589999914E0,7.919999695E1,5.812595749E1,9.251011848E0
7.322072544E1,5.238561856E1,4.884738010E0,1.373225916E1,3.809999943E0,8.819999695E1,6.829167175E1,1.048133373E1
7.422008966E1,5.238558107E1,4.884834540E0,1.382772151E1,4.030000210E0,9.500000000E1,6.631736755E1,1.147233200E1
7.522031862E1,5.238558423E1,4.884916010E0,1.363160644E1,4.199999809E0,8.790000153E1,7.705053711E1,1.263754749E1
7.622197685E1,5.238559867E1,4.884979650E0,1.364454231E1,4.000000000E0,8.669999695E1,8.091047668E1,1.335321140E1
7.722107221E1,5.238563858E1,4.885038370E0,1.368467188E1,4.269999981E0,7.459999847E1,7.621813965E1,1.416357231E1
7.822263867E1,5.238566918E1,4.885078180E0,1.361747750E1,3.690000057E0,6.379999924E1,7.237673187E1,1.459970951E1
7.922110471E1,5.238567047E1,4.884117340E0,1.341605276E1,1.450000048E0,3.588999939E2,2.859330368E1,1.347550106E1
8.021911653E1,5.238574768E1,4.884126280E0,1.267495592E1,1.309999943E0,2.789999962E1,1.849929047E1,1.175099468E1
8.122084382E1,5.238577933E1,4.884128020E0,1.291206212E1,8.399999738E-1,1.629999924E1,1.422667503E1,1.017378235E1
8.222139934E1,5.238580178E1,4.884131960E0,1.426536756E1,6.200000048E-1,2.350000000E1,1.301658630E1,9.252557755E0
8.322232497E1,5.238581332E1,4.884134370E0,1.171301708E1,3.700000048E-1,2.460000038E1,1.315097904E1,8.984130859E0
8.422047627E1,5.238582625E1,4.884134120E0,1.031038624E1,1.610000014E0,5.699999809E0,1.276783276E1,8.692550659E0
8.522054262E1,5.238584907E1,4.884130590E0,1.025652233E1,1.570000052E0,3.561000061E2,1.271522999E1,8.160848618E0
8.622161137E1,5.238587138E1,4.884122750E0,1.144868790E1,1.559999943E0,3.491000061E2,1.302033520E1,7.910263062E0
8.722174445E1,5.238588748E1,4.884120680E0,1.342429534E1,9.599999785E-1,3.496000061E2,1.342538261E1,8.001438141E0
8.822231903E1,5.238589523E1,4.884123770E0,1.429314352E1,1.169999957E0,3.411000061E2,1.429271889E1,1.064902687E1
8.922452778E1,5.238589852E1,4.884123580E0,1.447362900E1,1.019999981E0,3.260000000E2,1.808564949E1,1.495956421E1
9.022231637E1,5.238589960E1,4.884125000E0,1.543878028E1,1.110000014E0,3.207000122E2,2.099812126E1,1.887297821E1
9.122114470E1,5.238590050E1,4.884122940E0,1.546325545E1,1.320000052E0,3.171000061E2,2.512274170E1,2.215707779E1
9.222161476E1,5.238591418E1,4.884107360E0,1.147016263E1,1.509999990E0,3.251000061E2,1.724946404E1,1.877164459E1
9.322082705E1,5.238592683E1,4.884094850E0,1.435097152E1,1.549999952E0,3.167999878E2,1.473932648E1,1.604800606E1
9.422085090E1,5.238593529E1,4.884077760E0,1.174617613E1,1.240000010E0,3.017999878E2,1.375833988E1,1.409437370E1
9.522103267E1,5.238594240E1,4.884063690E0,1.170705443E1,9.300000072E-1,3.017000122E2,1.307770824E1,1.228997135E1
9.622161418E1,5.238594654E1,4.884047700E0,9.229084639E0,1.149999976E0,3.017999878E2,1.270654106E1,1.089262581E1
9.722194345E1,5.238595500E1,4.884032130E0,1.163344541E1,1.440000057E0,3.017000122E2,1.247332668E1,1.056337929E1
9.822159819E1,5.238596427E1,4.884018620E0,1.205862151E1,1.330000043E0,3.017000122E2,1.232475948E1,9.718760490E0
9.922145132E1,5.238597179E1,4.883999440E0,9.356411463E0,1.419999957E0,3.017999878E2,1.229288578E1,9.047699928E0
1.002191228E2,5.238597802E1,4.883978310E0,1.042562180E1,1.389999986E0,3.017000122E2,1.210681629E1,8.119123459E0
1.012200124E2,5.238598109E1,4.883960970E0,1.040419269E1,8.700000048E-1,3.017999878E2,1.222317600E1,7.577477932E0
1.022299786E2,5.238598428E1,4.883943690E0,1.121644298E1,1.360000014E0,2.852000122E2,1.147771931E1,6.849066257E0
1.032225750E2,5.238599294E1,4.883916220E0,1.179969114E1,2.049999952E0,2.896000061E2,1.154186153E1,6.518319130E0
1.042216730E2,5.238600158E1,4.883895580E0,1.251020155E1,1.179999948E0,2.965000000E2,1.106739044E1,6.115664005E0
1.052212926E2,5.238601310E1,4.883883010E0,1.358925100E1,1.460000038E0,3.043999939E2,1.095250988E1,5.936053276E0
1.062220358E2,5.238602493E1,4.883865530E0,1.350124480E1,1.590000033E0,3.042000122E2,1.112393284E1,5.649670124E0
1.072204063E2,5.238603595E1,4.883844190E0,1.309127476E1,1.720000029E0,3.008999939E2,1.145193481E1,5.194349289E0
1.082215495E2,5.238604603E1,4.883822290E0,1.280148129E1,1.450000048E0,3.012999878E2,1.140980911E1,5.013486385E0
1.092203641E2,5.238605475E1,4.883803600E0,1.264523270E1,1.269999981E0,3.021000061E2,1.186930752E1,5.177117348E0
1.102206605E2,5.238606806E1,4.883786010E0,1.217350049E1,1.620000005E0,3.113999939E2,1.205652905E1,5.148007393E0
1.112209275E2,5.238607758E1,4.883768970E0,1.245267880E1,1.320000052E0,3.087000122E2,1.237265396E1,4.868348122E0
1.122219465E2,5.238607990E1,4.883747540E0,1.084439321E1,1.210000038E0,2.957999878E2,1.180879116E1,4.579650402E0
1.132230007E2,5.238608615E1,4.883730470E0,7.939973133E0,1.019999981E0,2.880000000E2,1.183733654E1,4.937527657E0
1.142219786E2,5.238609573E1,4.883714910E0,9.616735388E0,1.379999995E0,3.015000000E2,1.126144505E1,4.840863705E0
1.152215340E2,5.238610543E1,4.883697990E0,1.008066743E1,1.379999995E0,3.177999878E2,1.112981033E1,4.281774998E0
1.162221378E2,5.238611765E1,4.883681040E0,9.800645488E0,1.470000029E0,3.187000122E2,1.111176777E1,4.173381329E0
1.172207103E2,5.238612579E1,4.883667180E0,8.718983852E0,8.199999928E-1,3.150000000E2,1.115405083E1,4.736512184E0
1.182226427E2,5.238613224E1,4.883659110E0,9.069879358E0,8.399999738E-1,3.255000000E2,1.119145203E1,5.282819271E0
1.192210263E2,5.238613959E1,4.883655000E0,9.105959106E0,8.700000048E-1,3.423999939E2,1.162606430E1,6.132320881E0
1.202194107E2,5.238614715E1,4.883655880E0,8.715589421E0,7.500000000E-1,3.561000061E2,1.164330292E1,6.377754688E0
1.212198001E2,5.238615668E1,4.883659480E0,8.234586892E0,1.159999967E0,1.000000000E0,1.176345444E1,6.603340149E0
1.222234750E2,5.238617234E1,4.883679220E0,7.787782102E0,2.509999990E0,4.950000000E1,1.151134586E1,6.565149784E0
1.232199896E2,5.238618754E1,4.883702050E0,6.777990183E0,1.399999976E0,4.779999924E1,1.145005894E1,6.450269699E0
1.242222525E2,5.238619569E1,4.883715390E0,6.333429373E0,7.799999714E-1,4.770000076E1,1.170687103E1,6.577276230E0
1.252221705E2,5.238620623E1,4.883726310E0,6.813919352E0,1.269999981E0,4.750000000E1,1.160908318E1,6.576998711E0
1.262203108E2,5.238621935E1,4.883734480E0,6.332131092E0,1.240000010E0,4.750000000E1,1.160504627E1,6.403345585E0
1.272209015E2,5.238623280E1,4.883740770E0,5.974731851E0,1.289999962E0,4.759999847E1,1.170361805E1,6.183407307E0
1.282203892E2,5.238624670E1,4.883744160E0,5.834555676E0,1.240000010E0,4.750000000E1,1.204805851E1,6.095443726E0
1.292200696E2,5.238626259E1,4.883748300E0,5.361252862E0,1.399999976E0,4.759999847E1,1.257807159E1,6.134165764E0
1.302206667E2,5.238627887E1,4.883753320E0,4.644176696E0,1.370000005E0,4.759999847E1,1.299501324E1,6.125828266E0
1.312202180E2,5.238629385E1,4.883757650E0,5.293919584E0,1.259999990E0,4.750000000E1,1.357402039E1,6.130845547E0
1.322206961E2,5.238630834E1,4.883761420E0,5.132443193E0,1.389999986E0,8.199999809E0,1.232966042E1,5.926211834E0
1.332206433E2,5.238632195E1,4.883767840E0,5.788105777E0,1.129999995E0,1.430000019E1,1.233905411E1,5.994400024E0
1.342199700E2,5.238633497E1,4.883772220E0,4.533488020E0,1.470000029E0,2.010000038E1,1.226821709E1,5.984817982E0
1.352210879E2,5.238634931E1,4.883780790E0,4.237981011E0,1.539999962E0,2.060000038E1,1.231289768E1,6.066261292E0
1.362202898E2,5.238636317E1,4.883791630E0,5.563080118E0,1.509999990E0,2.070000076E1,1.219848347E1,5.990402699E0
1.372221474E2,5.238637610E1,4.883802060E0,5.261651795E0,1.370000005E0,2.479999924E1,1.202602768E1,5.792822838E0
1.382221162E2,5.238638656E1,4.883809170E0,6.824781042E0,1.279999971E0,2.420000076E1,1.199677563E1,5.751572609E0
1.392198955E2,5.238639786E1,4.883819340E0,6.179050953E0,1.389999986E0,2.450000000E1,1.192963982E1,5.742592812E0
1.402194124E2,5.238641171E1,4.883828460E0,6.612303340E0,1.639999986E0,1.939999962E1,1.193528938E1,5.771036625E0
1.412201172E2,5.238642446E1,4.883832890E0,7.123737477E0,1.200000048E0,2.429999924E1,1.214772797E1,5.997742653E0
1.422211349E2,5.238643632E1,4.883833240E0,7.359838392E0,1.429999948E0,1.289999962E1,1.190470600E1,6.002201557E0
1.432217563E2,5.238645036E1,4.883837430E0,7.899960732E0,1.830000043E0,2.110000038E1,1.195944977E1,5.968858719E0
1.442205754E2,5.238646411E1,4.883842460E0,7.685810692E0,1.679999948E0,2.370000076E1,1.180530262E1,5.819485188E0
1.452231032E2,5.238647747E1,4.883848920E0,7.252483690E0,1.509999990E0,2.550000000E1,1.210620213E1,6.075573921E0
1.462224097E2,5.238648716E1,4.883851830E0,8.158016630E0,1.080000043E0,3.729999924E1,1.186352539E1,5.936937332E0
1.472206514E2,5.238649586E1,4.883865500E0,7.850541750E0,1.500000000E0,5.259999847E1,1.148227787E1,5.769746780E0
1.482222832E2,5.238650199E1,4.883881190E0,8.214634247E0,1.019999981E0,5.290000153E1,1.137456512E1,5.669098377E0
1.492217692E2,5.238650590E1,4.883901820E0,8.293142996E0,1.519999981E0,6.580000305E1,1.098782921E1,5.336307526E0
1.502221255E2,5.238650900E1,4.883922790E0,8.849495040E0,1.190000057E0,6.590000153E1,1.076727486E1,5.054752827E0
1.512204042E2,5.238651244E1,4.883941200E0,8.192345094E0,1.149999976E0,6.580000305E1,1.060845947E1,4.789963722E0
1.522203674E2,5.238651452E1,4.883965680E0,8.561686026E0,1.820000052E0,8.619999695E1,1.032136822E1,4.445462227E0
1.532204060E2,5.238651495E1,4.883994950E0,7.984250079E0,1.429999948E0,8.680000305E1,1.013674355E1,4.172466755E0
1.542194311E2,5.238651228E1,4.884018930E0,7.587043494E0,1.470000029E0,1.118000031E2,9.964142799E0,3.904520273E0
1.552206145E2,5.238650764E1,4.884045880E0,7.011796310E0,1.450000048E0,1.118000031E2,1.005915928E1,4.008366108E0
1.562198805E2,5.238650159E1,4.884070360E0,6.648764936E0,1.450000048E0,1.118000031E2,1.012441635E1,3.941937685E0
1.572212888E2,5.238649447E1,4.884094190E0,6.018702865E0,1.399999976E0,1.118000031E2,1.020834827E1,4.008555412E0
1.582217472E2,5.238648921E1,4.884118660E0,6.077791740E0,1.360000014E0,1.118000031E2,1.033902454E1,4.113460541E0
1.592221586E2,5.238648406E1,4.884144720E0,6.023905623E0,1.470000029E0,1.118000031E2,1.040980148E1,4.240177155E0
1.602217147E2,5.238648055E1,4.884164940E0,6.250474958E0,9.100000262E-1,1.118000031E2,1.056319714E1,4.156658649E0
1.612208454E2,5.238647488E1,4.884185250E0,6.861501747E0,1.559999943E0,1.200000000E2,1.062184334E1,4.236573696E0
1.622226276E2,5.238647133E1,4.884206700E0,7.247800746E0,1.210000038E0,1.131999969E2,1.058850098E1,4.269897461E0
1.632223360E2,5.238646842E1,4.884225850E0,8.085576358E0,1.250000000E0,1.139000015E2,1.050366497E1,4.190226555E0
1.642222020E2,5.238646492E1,4.884246880E0,8.532727234E0,1.360000014E0,1.119000015E2,1.054182625E1,4.196204185E0
1.652255254E2,5.238646219E1,4.884267150E0,8.699055998E0,1.240000010E0,1.128000031E2,1.102079964E1,4.897603989E0
1.662210473E2,5.238646180E1,4.884287500E0,8.944062426E0,1.309999943E0,1.053000031E2,1.155684566E1,6.234378815E0
1.672203883E2,5.238646375E1,4.884309550E0,8.924119532E0,1.409999967E0,9.409999847E1,1.245648956E1,7.785518646E0
1.682208892E2,5.238646584E1,4.884331880E0,8.777834225E0,1.409999967E0,9.230000305E1,1.363910103E1,9.449034691E0
1.692215196E2,5.238646836E1,4.884353380E0,8.755328338E0,1.360000014E0,9.119999695E1,1.523971462E1,1.102116108E1
1.702219998E2,5.238646668E1,4.884373490E0,8.470059369E0,1.429999948E0,1.065999985E2,1.552842522E1,1.253422642E1
1.712205927E2,5.238646433E1,4.884390380E0,8.303623027E0,1.019999981E0,1.123000031E2,1.604363060E1,1.357416821E1
1.722282558E2,5.238646225E1,4.884406800E0,8.424967554E0,1.279999971E0,1.181999969E2,1.694476700E1,1.448613548E1
1.732204384E2,5.238645843E1,4.884424590E0,7.916854860E0,1.330000043E0,1.210000000E2,1.661077499E1,1.444432449E1
1.742210601E2,5.238645373E1,4.884438370E0,7.209886047E0,9.499999881E-1,1.303999939E2,1.618686676E1,1.405297852E1
1.752218812E2,5.238644708E1,4.884445630E0,6.858623575E0,9.499999881E-1,1.488999939E2,1.588055134E1,1.370694256E1
1.762223827E2,5.238643542E1,4.884451370E0,6.381315553E0,1.509999990E0,1.571000061E2,1.497282314E1,1.307029247E1
1.772201665E2,5.238642166E1,4.884456630E0,8.569226457E0,1.190000057E0,1.616000061E2,1.424283123E1,1.225413704E1
1.782203207E2,5.238641089E1,4.884456740E0,9.720029202E0,8.299999833E-1,1.708999939E2,1.351318169E1,1.141313076E1
1.792264221E2,5.238639705E1,4.884453570E0,1.076413625E1,1.120000005E0,1.828999939E2,1.292164040E1,1.062246323E1
1.802195524E2,5.238638266E1,4.884447310E0,1.090119727E1,1.110000014E0,2.000000000E2,1.253042793E1,1.010488796E1
1.812175659E2,5.238636720E1,4.884438400E0,1.194487144E1,1.110000014E0,1.951999969E2,1.228388214E1,9.681149483E0
1.822207563E2,5.238635196E1,4.884431430E0,1.261550018E1,1.039999962E0,2.008000031E2,1.200257969E1,9.249855042E0
1.832202040E2,5.238633523E1,4.884421480E0,1.259477987E1,1.789999962E0,2.033999939E2,1.186395645E1,9.018500328E0
1.842190912E2,5.238631711E1,4.884409510E0,1.277791384E1,1.330000043E0,2.070000000E2,1.168855572E1,8.611722946E0
1.852205576E2,5.238630164E1,4.884400910E0,1.267467656E1,1.289999962E0,2.058000031E2,1.160833549E1,8.321126938E0
1.862207642E2,5.238628646E1,4.884393810E0,1.360171400E1,1.269999981E0,2.016999969E2,1.169490433E1,8.446235657E0
1.872195416E2,5.238627220E1,4.884390560E0,1.373249033E1,1.210000038E0,1.976999969E2,1.176501846E1,8.269624710E0
1.882200812E2,5.238626030E1,4.884389510E0,1.411046366E1,9.300000072E-1,1.978000031E2,1.198420048E1,8.074980736E0
1.892200824E2,5.238624466E1,4.884384470E0,1.316335614E1,1.629999995E0,1.991000061E2,1.211080074E1,7.733967781E0
1.902202779E2,5.238622763E1,4.884383460E0,1.203906396E1,1.129999995E0,1.926000061E2,1.145957279E1,7.054353237E0
1.912204862E2,5.238621156E1,4.884383370E0,1.140873118E1,1.330000043E0,1.933000031E2,1.111909294E1,6.494074821E0
1.922201785E2,5.238619634E1,4.884385570E0,1.167519049E1,1.240000010E0,1.891999969E2,1.088236523E1,6.107086658E0
1.932218424E2,5.238618361E1,4.884387400E0,1.191272243E1,9.800000191E-1,1.920000000E2,1.068004036E1,5.685465336E0
1.942204027E2,5.238616953E1,4.884387140E0,1.165739236E1,1.600000024E0,1.928999939E2,1.063235283E1,5.597088337E0
1.952191297E2,5.238615466E1,4.884383040E0,1.201491294E1,1.480000019E0,1.951999969E2,1.062109089E1,5.577702522E0
1.962207602E2,5.238614249E1,4.884376520E0,1.193621766E1,1.230000019E0,2.005000000E2,1.054812241E1,5.464488029E0
1.972206985E2,5.238613372E1,4.884370600E0,1.329514960E1,1.090000033E0,1.990000000E2,1.065741634E1,5.664785385E0
1.982211370E2,5.238612309E1,4.884364820E0,1.264583924E1,1.539999962E0,1.991000061E2,1.049227619E1,5.389119625E0
1.992215547E2,5.238611211E1,4.884359800E0,1.226087210E1,1.059999943E0,2.003000031E2,1.035857487E1,5.097603798E0
2.002197811E2,5.238610077E1,4.884356020E0,1.146587099E1,1.379999995E0,1.998000031E2,1.032353020E1,4.979029179E0
2.012181359E2,5.238608948E1,4.884355830E0,1.086063035E1,1.059999943E0,1.893999939E2,1.040724754E1,4.793511391E0
2.022201977E2,5.238607656E1,4.884356700E0,9.864701991E0,1.429999948E0,1.893999939E2,1.060576248E1,4.974845886E0
2.032225186E2,5.238605889E1,4.884354300E0,1.030083290E1,2.210000038E0,1.868999939E2,1.100267029E1,5.343220711E0
2.042186817E2,5.238604687E1,4.884356960E0,1.057419396E1,7.200000286E-1,1.865000000E2,1.072379780E1,5.313419819E0
2.052195158E2,5.238603939E1,4.884360540E0,1.167678559E1,1.100000024E0,1.738000031E2,1.070447922E1,5.244031906E0
2.062186312E2,5.238603039E1,4.884358330E0,1.229902503E1,1.179999948E0,1.813999939E2,1.067894650E1,5.329853058E0
2.072207832E2,5.238602078E1,4.884352560E0,1.281493829E1,1.279999971E0,1.921000061E2,1.048432827E1,5.005850792E0
2.082204430E2,5.238601216E1,4.884344460E0,1.377994827E1,1.190000057E0,2.086999969E2,1.028982067E1,5.031108379E0
2.092203511E2,5.238600458E1,4.884337290E0,1.315774101E1,9.900000095E-1,2.031999969E2,1.014696217E1,4.928890228E0
2.102216559E2,5.238599661E1,4.884330200E0,1.346998150E1,1.009999990E0,2.045000000E2,1.020596027E1,5.126640797E0
2.112206505E2,5.238598767E1,4.884322580E0,1.391863388E1,1.220000029E0,2.073999939E2,1.020108128E1,5.183089733E0
2.122229383E2,5.238597856E1,4.884313410E0,1.515036618E1,1.460000038E0,2.153999939E2,1.039009666E1,5.472747326E0
2.132240293E2,5.238596953E1,4.884303410E0,1.501893893E1,1.379999995E0,2.200000000E2,1.095798111E1,6.496689796E0
2.142219127E2,5.238596146E1,4.884298350E0,1.481958378E1,1.129999995E0,2.133999939E2,1.207391834E1,8.219366074E0
2.152223094E2,5.238595087E1,4.884289350E0,1.398850891E1,1.759999990E0,2.120000000E2,1.259233284E1,1.019727135E1
2.162203250E2,5.238593964E1,4.884279950E0,1.387014042E1,1.379999995E0,2.120000000E2,1.362478065E1,1.193416405E1
2.172208714E2,5.238592987E1,4.884270690E0,1.376465250E1,1.419999957E0,2.165000000E2,1.535608292E1,1.392659950E1
